Chùa,N,
Cầu_là,V,
một,M,
trong,E,
những,L,
Di_sản,N,
Văn_hóa,N,
Thế_giới,N,
ở,E,
Hội_An,Np,
nên,C,
không,R,
khó,A,
để,E,
biểu_tượng,V,
này,P,
thu_hút,V,
khách,N,
tham_quan,V,
du_lịch,V,
và,C,
trở_thành,V,
biểu_tượng,N,
không_thể,R,
thiếu,V,
khi,N,
nhắc,V,
đến,E,
phố,N,
cổ,N,
Hội_An,Np,
.,F,
Chính,T,
vì_thế,V,
",",F,
một,M,
chùa,N,
Cầu,N,
phiên_bản,N,
nhỏ,A,
hơn,A,
đã,R,
trở_thành,V,
món,Nc,
quà,N,
tặng,V,
tuyệt_vời,A,
cho,E,
thành_phố,N,
Thanh_Hóa,Np,
để,E,
thắt,V,
chặt,A,
thêm,V,
tình_cảm,N,
thắm_thiết,N,
của,E,
2,M,
địa_phương,N,
.,F,
Chùa,Np,
Cầu,Np,
phiên_bản,N,
nhỏ,A,
xuất_hiện,V,
ở,E,
xứ,N,
Thanh,Np,
cũng,R,
làm,V,
du_khách,N,
không,R,
khỏi,V,
ngạc_nhiên,V,
và,C,
thích_thú,V,
vì,E,
sự,Nc,
giống,V,
nhau,N,
như,C,
đúc,N,
của,E,
2,M,
ngôi,Nc,
chùa,N,
này,P,
.,F,
Chùa,Np,
Cầu,Np,
phiên_bản,N,
nhỏ,A,
ở,E,
Thanh_Hóa,Np,
được,V,
xây_dựng,V,
giống_hệt,N,
chùa,N,
Cầu,Np,
ở,E,
Phố,N,
cổ,N,
Hội_An,Np,
.,F,
Ảnh,Np,
:,F,
zing,V,
.,F,
vnPhiên,V,
bản,Nc,
chùa,N,
Cầu,Np,
Hội_An,Np,
tại,E,
Thanh_Hóa,Np,
được,V,
xây_dựng,V,
trong,E,
công_viên,Nc,
Hội_An,Np,
(,F,
TP.,Ny,
Thanh_Hóa,Np,
),F,
với,E,
chiều,N,
dài,A,
10m,M,
",",F,
rộng,A,
4m,M,
",",F,
lòng,N,
cầu,N,
"2,2",M,
m,Nu,
.,F,
Các,L,
chuyên_gia,N,
đã,R,
tìm_hiểu,V,
nguyên,N,
vật_liệu,N,
xây_dựng,V,
chùa,N,
Cầu,Np,
Hội_An,Np,
trước,E,
đây,P,
để,E,
mô_phỏng,V,
như,C,
hệt,V,
với,E,
chùa,N,
Cầu,Np,
ở,E,
Thanh_Hóa,Np,
.,F,
Không,R,
chỉ,R,
vậy,P,
",",F,
toàn_bộ,N,
phần,N,
mộc,N,
và,C,
điêu_khắc,N,
dều,V,
được,R,
thực_hiện,V,
hoàn_toàn,A,
tại,E,
Hội_An,Np,
sau,E,
đó,P,
mới,R,
chuyển,V,
ra,R,
cho,E,
người,N,
anh_em,N,
xứ,N,
Thanh,Np,
.,F,
Chùa,Np,
được,V,
bắc,V,
qua,V,
hồ,N,
nước,N,
nhỏ,A,
",",F,
để,E,
người,N,
lữ_khách,V,
đứng,V,
an_nhiên,V,
ngắm,V,
nhìn,V,
khung_cảnh,N,
tươi,A,
xinh,A,
xung_quanh,N,
.,F,
Bên,N,
cạnh,N,
chiếc,Nc,
cầu,N,
nên_thơ,A,
là,V,
khu,N,
nhà_thờ,N,
