Theo,E,
Đại_Việt,Np,
Sử_ký,V,
toàn,R,
thư,N,
",",F,
chùa,N,
được,V,
xây_dựng,V,
vào,E,
năm,N,
Kỷ_Sửu,Np,
",",F,
niên_hiệu,N,
Sùng,Np,
Hưng,Np,
Đại_Bảo,Np,
thứ,N,
1,M,
(,F,
1049,M,
),F,
đời,N,
Lý_Thánh_Tông,Np,
.,F,
Truyền_thuyết,N,
kể,V,
rằng,C,
",",F,
Vua,Np,
Lý_Thái_Tông,Np,
(,F,
1028,M,
-,F,
1054,M,
),F,
chiêm_bao,V,
thấy,V,
mình,P,
được,V,
Đức,Np,
Phật_Quan_Âm,Np,
đưa,V,
tay,N,
dắt,V,
lên,V,
tòa_sen,N,
",",F,
trầm_hương,N,
nghi_ngút,A,
",",F,
lấp_lánh,V,
hào_quang,N,
.,F,
Tỉnh,Np,
dậy,V,
",",F,
Nhà_Vua,Np,
kể,V,
lại,R,
chuyện,N,
trên,A,
cho,E,
cận_thần,N,
nghe,V,
.,F,
Sư,Np,
Thiên_Tuế,Np,
tâu,V,
lời,N,
khuyên,V,
Nhà_Vua,Np,
nên,C,
xây,V,
một,M,
ngôi,Nc,
chùa,N,
trên,E,
cột,N,
đá,N,
giữa,E,
hồ,N,
làm,V,
tòa_sen,A,
như,C,
đã,R,
thấy,V,
trong,E,
mộng,N,
.,F,
Thực_hiện,V,
ý_tưởng,N,
đó,P,
",",F,
tháng,N,
mười,M,
năm,N,
Kỷ_Sửu,Np,
(,F,
11,M,
-,F,
1049,M,
),F,
Nhà_Vua,Np,
cho,V,
tu_sửa,V,
lại,R,
ao,N,
Bích,Np,
Từ,Np,
thuộc,V,
xã,N,
Thanh_Bảo,Np,
",",F,
tổng,N,
Yên_Thành,Np,
",",F,
huyên,N,
Vĩnh_Thuận,Np,
(,F,
tên,N,
cũ,A,
giữa,E,
thế_kỷ,N,
thứ,N,
mười,M,
),F,
thành,V,
một,M,
cái,Nc,
hồ,N,
",",F,
đặt,V,
tên,N,
là,C,
hồ,N,
Linh_Chiểu,Np,
",",F,
cạnh,N,
hồ,N,
xây,V,
một,M,
ngôi,Nc,
chùa,N,
gọi,V,
là,C,
chùa,N,
Diên_Hựu,Np,
(,F,
Diên,Np,
Hựu_Tự,Np,
),F,
",",F,
có,V,
hai,M,
ngọn,Nc,
tháp,N,
Lưu_Ly,Np,
.,F,
Tháp_chuông,N,
xây,V,
trên,E,
đất,N,
ruộng,N,
nơi,N,
có,V,
nhiều,A,
rùa,N,
sinh_sống,V,
nên,C,
ruộng,N,
có,V,
tên,N,
tên,N,
là,C,
Quy_Điền,Np,
(,F,
ruộng,N,
rùa,N,
),F,
",",F,
tháp,N,
cũng,R,
được,V,
gọi_là,X,
tháp,V,
Quy_Điền,Np,
.,F,
Tháp,Np,
cao,A,
8,M,
trượng,N,
(,F,
24m,M,
),F,
.,F,
Hồ,Np,
Linh_Chiểu,Np,
hình_vuông,V,
",",F,
trồng,V,
sen,N,
",",F,
giữa,E,
hồ,N,
dựng,V,
cột,N,
đá,N,
",",F,
trên,E,
cột,N,
xây,V,
Đài_Liên_Hoa,Np,
hình_dáng,V,
như,C,
một,M,
bông,Nc,
sen_tỏa,N,
rộng,A,
nhiều,A,
cánh,N,
",",F,
đài,N,
là,V,
điện,N,
thờ,V,
Đức,Np,
Phật_Quan_Âm,Np,
.,F,
Trong,E,
điện,N,
đặt,V,
một,M,
pho,Nc,
tượng,N,
lấp_lánh,N,
vàng,A,
đang,R,
ngồi,V,
trên,E,
tòa,N,
tâm_niệm,V,
.,F,
Quanh,N,
hồ,N,
có,V,
đường,N,
hành_lang,N,
thoáng,V,
rộng,A,
để,E,
các,L,
nhà_sư,N,
khi,N,
làm,V,
lễ,N,
đi,V,
vòng_quanh,V,
chùa,N,
niệm,V,
phật,N,
cầu_phúc,V,
cho,E,
vua,N,
sống,V,
lâu,A,
.,F,
Chùa,Np,
xây,V,
hai,M,
năm,N,
mới,R,
xong,V,
.,F,
Từ,E,
khi,N,
xây,V,
xong,V,
",",F,
hàng,N,
năm,N,
cứ,R,
đến,V,
ngày,N,
mồng,N,
8,M,
tháng,N,
4,M,
Âm_lịch,N,
",",F,
vua,N,
lại,R,
tới,E,
chùa,N,
làm,V,
lễ,N,
tắm,V,
Phật,Np,
",",F,
các,L,
nhà_sư,N,
và,C,
nhân_dân,N,
khắp,A,
Kinh_thành,N,
Thăng_Long,Np,
cùng,A,
về,V,
dự,V,
lễ,N,
.,F,
Sau,E,
lễ,N,
tắm,V,
phật,A,
",",F,
vua,N,
đứng,V,
trên,E,
đài,N,
cao,A,
trước,E,
chùa,N,
thả,V,
một,M,
con,Nc,
chim,N,
bay,V,
đi,V,
",",F,
nhân_dân,N,
cũng,R,
tung,V,
chim,N,
bay,V,
theo,V,
trong,E,
tiếng,N,
reo,V,
vui,A,
phấn_chấn,A,
của,E,
ngày,N,
lễ_hội,N,
.,F,
Tháng,N,
Hai,M,
năm,N,
Canh_Thân,Np,
(,F,
1080,M,
),F,
thì,C,
đúc,V,
chuông,N,
",",F,
quả,Nc,
chuông,N,
rất,R,
lớn,A,
",",F,
nặng,A,
một,M,
vạn,N,
hai,M,
nghìn,M,
cân,N,
.,F,
Do,E,
quá,R,
nặng,A,
không,R,
treo,V,
lên,V,
được,R,
",",F,
nên,C,
chuông,N,
để,V,
ở,E,
chân,N,
tháp,N,
quy_điền,V,
",",F,
gọi,V,
là,C,
chuông,N,
Quy_Điền,Np,
.,F,
Chuông,Np,
Quy_Điền,Np,
được,V,
xếp,V,
là,V,
một,M,
trong,E,
bốn,M,
công_trình,N,
đồ_sộ,A,
của,E,
nước,N,
ta,P,
hồi,N,
ấy,P,
(,F,
An_Nam_Tứ_Khí,Np,
),F,
gồm,V,
:,F,
Tháp_Báo_Thiên,Np,
",",F,
chuông,N,
Quy_Điền,Np,
",",F,
vạc,N,
chùa,N,
Phổ_Minh,Np,
và,C,
tượng,N,
Phật_chùa,N,
Quỳnh_Lâm,Np,
.,F,
Đầu,N,
thế_kỷ,N,
15,M,
",",F,
giặc,N,
Minh,Np,
xâm_lược,V,
chiếm,V,
thành,N,
Đông_Quan,Np,
(,F,
Hà_Nội,Np,
),F,
.,F,
Năm,N,
1426,M,
Lê_Lợi,Np,
đem,V,
nghĩa_quân,N,
Lam,Np,
Sơn_thần_tốc,V,
ra,R,
đánh,V,
",",F,
vây,V,
thành,V,
Đông_Quan,Np,
rất,R,
gấp,A,
",",F,
tướng,N,
Minh,Np,
là,V,
Vương_Thông,Np,
thiếu_thốn,V,
vũ_khí,N,
đạn_dược,N,
đã,R,
sai,A,
người,N,
phá,V,
chuông,N,
Quy_Điền,Np,
lấy,V,
đồng,N,
đúc,V,
đạn,N,
.,F,
Khi,N,
thành,V,
Đông_Quan,Np,
được,V,
giải_phóng,V,
",",F,
quân,N,
Minh,Np,
bại_trận,V,
rút,V,
chạy,V,
",",F,
chuông,N,
Quy_Điền,Np,
đã,R,
bị,V,
giặc,N,
phá,V,
không,R,
còn,V,
nữa,R,
.,F,
Chùa,Np,
Một,Np,
Cột,Np,
(,F,
Ảnh,Np,
:,F,
TL,Ny,
),F,
Năm,N,
1954,M,
",",F,
trước,E,
khi,N,
rút,V,
khỏi,V,
Hà_Nội,Np,
",",F,
quân,N,
Pháp,Np,
muốn,V,
phá_hoại,V,
công_trình,N,
văn_hóa,N,
độc_đáo,A,
của,E,
ta,P,
",",F,
đã,R,
đặt,V,
mìn,N,
phá,V,
chùa,N,
Một,M,
Cột,Np,
.,F,
Báo,Np,
Tia_Sáng,Np,
ở,E,
Hà_Nội,Np,
ra,R,
ngày,N,
10,M,
-,F,
9,M,
-,F,
1954,M,
đưa,V,
tin,N,
“,F,
Chùa,N,
Một,M,
Cột,Np,
",",F,
di_tích,N,
liệt,N,
hạng,N,
của,E,
Hà_thành,N,
đã,R,
sụp_đổ,V,
sau,E,
một,M,
tiến,N,
nổ,V,
long,N,
trời,N,
”,F,
.,F,
Trải,V,
qua,V,
bao,P,
cuộc,N,
thăng_trầm,V,
",",F,
Chùa,Np,
đã,R,
được,V,
tu_sửa,V,
tôn_tạo,V,
nhiều,A,
lần,N,
vào,E,
các,L,
năm,N,
:,F,
1249,M,
",",F,
1850,M,
",",F,
1292,M,
qua,V,
các,L,
đời,N,
vua,N,
.,F,
Sau,E,
khi,N,
tiếp_quản,V,
Thủ_đô,N,
",",F,
dù,C,
còn,C,
bận,N,
bộn_bề,V,
công_việc,N,
trong,E,
những,L,
ngày,N,
đầu,N,
giải_phóng,V,
",",F,
nhưng,C,
Bộ,N,
Văn_hóa,N,
nước,N,
Việt_Nam,Np,
Dân_chủ,V,
Công_hòa,N,
và,C,
nhân_dân,N,
Hà_Nội,Np,
đã,R,
tiến_hành,V,
trùng_tu,V,
lớn,A,
Diên,Np,
Hựu_Tự,Np,
",",F,
xây_dựng,V,
lại,R,
Đài_Liên_Hoa,Np,
trong,E,
quần_thể,N,
chùa,N,
Một,M,
Cột,N,
theo,V,
kiến_trúc,N,
cũ,A,
vào,E,
năm,N,
1955,M,
do,E,
Kiến_trúc_sư,N,
Nguyễn_Bá,Np,
Lăng,Np,
đảm_nhiệm,V,
.,F,
Cảnh,N,
chùa,N,
hiện_nay,N,
bề_thế,A,
",",F,
hài_hòa,A,
.,F,
Đài_Liên_Hoa,Np,
kết_cấu_hình_vuông,V,
",",F,
lợp,V,
ngói_ta,N,
",",F,
mỗi,M,
chiều,N,
dài,A,
3,M,
mét,Nu,
",",F,
bốn,M,
mái,N,
cong,A,
",",F,
bốn,M,
đầu,N,
đao,N,
đắp,V,
hình,N,
rồng,N,
.,F,
Trong,E,
đài,N,
tôn,N,
chí,N,
tượng,N,
Quan_Thế_Âm_Bồ_tát,N,
.,F,
Nhìn,V,
toàn_bộ,N,
Đài_Liên_Hoa,Np,
như,C,
một,M,
đóa,N,
sen,N,
lớn,A,
vươn,V,
cao,A,
khỏi,V,
mặt_nước,N,
",",F,
Đài_đặt,V,
trên,E,
trụ,N,
đá,N,
có,V,
đường_kính,N,
"1,2",M,
m,Nu,
",",F,
cao,A,
4m,M,
(,F,
chưa,R,
kể,V,
phần,N,
chôn,V,
sâu,A,
dưới,E,
đất,N,
),F,
.,F,
Trụ,Np,
đá,N,
gồm,V,
hai,M,
khói,N,
gắn_kết,N,
chồng,N,
khít,V,
lên,V,
nhau,N,
như,C,
một,M,
cột,N,
đá,N,
liền,A,
.,F,
Cột,Np,
đá,V,
có,V,
một,M,
hệ_thống,N,
dầm,N,
và,C,
xà,N,
chống_đỡ,V,
“,F,
Liên_Hoa_Đài,Np,
”,F,
bằng,E,
gỗ,N,
tứ_thiết,A,
quý,A,
",",F,
chịu,V,
lực,N,
cao,A,
",",F,
chống,V,
mối,N,
mọt,N,
.,F,
Xung_quanh,N,
chùa,N,
có,V,
lan_can,N,
bằng,E,
gạch,N,
",",F,
và,C,
có,V,
cầu_thang,N,
xây,V,
từng,R,
bậc,N,
dẫn,V,
lên,V,
cửa,N,
chùa,N,
.,F,
Diên,Np,
Hựu_Tự,Np,
có,V,
cổng,N,
tam_quan,N,
phía,N,
trên,E,
có,V,
bức,Nc,
hoành_phi_đề,N,
ba,M,
chữ,N,
“,F,
Diên,Np,
Hựu_Tự,Np,
“,F,
.,F,
Chùa,N,
Một,M,
Cột,Np,
được,V,
Nhà_nước,N,
xếp_hạng,V,
Di_tích,N,
lịch_sử,N,
kiến_trúc,N,
nghệ_thuật,N,
cấp,N,
quốc_gia,N,
đầu_tiên,A,
vào,E,
năm,N,
1962,M,
.,F,
Chùa,Np,
còn,R,
được,V,
đặt,V,
tên,N,
phố,N,
",",F,
phố,N,
“,F,
Chùa,N,
Một,M,
Cột,Np,
“,F,
dài,A,
khoảng,N,
450m,M,
nối,V,
từ_đường,Nc,
Điện_Biên_Phủ,Np,
qua,V,
phố,N,
Ông,Nc,
Ích,Np,
Khiêm,Np,
đến,E,
phố,N,
Ngọc_Hà,Np,
.,F,
Chùa,N,
Một,M,
Cột,Np,
cũng,R,
đươc,V,
chọn,V,
là,C,
một,M,
trong,E,
những,L,
biểu_tượng,N,
của,E,
Thủ_đô,N,
Hà_Nội,Np,
cùng,A,
với,E,
Khuê,Np,
Văn,Np,
Các,Np,
ở,E,
Văn_Miếu_Quốc_Tử_Giám,Np,
và,C,
tháp,N,
Rùa_Hồ,Np,
