Chuyện,N
kể,V
lại,R
rằng,C
",",F
Hòa_thượng,N
Thích,Np
Tâm,Np
Giác,Np
và,C
Thích,Np
Thanh_Kiếm,Np
từ,E
Miền,N
Bắc,Np
xa_xôi,A
",",F
vào,E
đây,P
truyền_bá,V
đạo,N
Phật,Np
",",F
sau,E
đó,P
",",F
xây_dựng,V
ngôi,Nc
chùa,N
này,P
với,E
nguyên_mẫu,N
lấy,V
từ,E
một,M
ngôi,Nc
chùa,N
kiến_trúc,V
gỗ,N
",",F
cùng,C
tên,N
tại,E
xã,N
Đức_La,Np
",",F
tổng,N
Trí_Yên,Np
",",F
phủ,V
Lạng_Giang,Np
",",F
tỉnh,N
Bắc_Giang,Np
hiện_nay,N
.,F
Đây,P
là,V
ngôi,Nc
chùa,N
được,V
kiến_lập,N
từ,E
thời,N
Vua,Np
Lý_Thái_Tổ,Np
",",F
trở_thành,V
một,M
trung_tâm,N
Phật,Np
của,E
Thiền,Np
phái,N
Trúc_Lâm,Np
nổi_tiếng,A
ở,E
thời,N
Trần,Np
và,C
cho,E
đến,E
nay,P
",",F
ngôi,Nc
chùa,N
này,P
vẫn,R
uy_nghi,A
và,C
thanh_tịnh,A
với,E
rất,R
nhiều,A
di_vật,N
cổ_kính,A
",",F
vô_cùng,R
có,V
giá_trị,N
",",F
mà,C
gần,A
đây,P
",",F
một,M
trong,E
số,N
ấy,P
",",F
đã,R
được,V
Unesco,Np
vinh_danh,V
là,V
Di_sản,N
ký_ức,N
của,E
nhân_loại,N
:,F
Ván,Nc
kinh,N
chùa,N
Vĩnh_Nghiêm,Np
.,F
Như_vậy,X
",",F
Vĩnh_Nghiêm,Np
tự,P
ở,E
thành_phố,N
Hồ_Chí_Minh,Np
và,C
chùa,N
Vĩnh_Nghiêm,Np
ở,E
Bắc_Giang,Np
có,V
mối,N
quan_hệ,N
rất,R
đặc_biệt,A
từ,E
trong,E
sâu,N
thẳm,A
của,E
lịch_sử,N
và,C
ký_ức,N
của,E
những,L
người,N
trong,E
cuộc,N
.,F
Lịch_sử,N
chùa,N
ghi,V
lại,R
rằng,C
",",F
năm,N
1964,M
",",F
Vĩnh_Nghiêm,Np
tự,P
được,V
khởi,V
dựng,V
trên,E
một,M
khu,N
đất,N
trống,A
của,E
rạch,N
Thị_Nghè,Np
",",F
theo,V
đó,P
",",F
khoảng,N
40.000,M
m3,Nu
đất,N
phải,V
chuyển,V
từ,E
xa_lộ,N
Hà_Nội,Np
về,V
đây,P
để,E
san_lấp,V
mặt_bằng,N
.,F
Kinh_phí,N
xây_dựng,V
vô_cùng,R
lớn,A
",",F
khoảng,A
98,M
triệu,M
đồng,Nu
lúc,N
bấy_giờ,P
",",F
nhưng,C
hoàn_toàn,A
do,E
các,L
phật,N
tử,V
đóng_góp,V
.,F
Bẩy,Np
năm,N
sau,A
",",F
năm,N
1971,M
",",F
chùa,N
Vĩnh_Nghiêm,Np
cơ_bản,V
được,R
hoàn_thành,V
với,E
các,L
hạng_mục,N
:,F
Tòa_tháp,V
trung_tâm,N
",",F
Phật_điện,V
",",F
Bảo_tháp,N
Quán_thế,V
âm,N
",",F
cùng,C
các,L
cơ_sở,N
giành,V
cho,E
những,L
hoạt_động,N
xã_hội,N
.,F
Về,E
sau,N
",",F
chùa,N
được,V
lần_lượt,R
xây,V
thêm,V
các,L
công_trình,N
nữa,R
",",F
đó,P
là,V
Bảo_tháp,N
Xá,Np
lợi,V
cộng_đồng,N
",",F
Tháp,Np
đá,V
Vĩnh_Nghiêm,Np
",",F
Phương_Trượng,Np
đường,N
và,C
Khách,N
đường,N
v,A
.,F
v,N
.,F
Với,E
kiến_trúc,N
nhiều,A
đơn_nguyên,N
",",F
lại,R
được,R
sử_dụng,V
vật_liệu,N
hiện_đại,A
",",F
nhưng,C
Vĩnh_Nghiêm,Np
tự_vẫn,V
cho,E
người,N
viếng_thăm,V
một,M
cảm_giác,N
thâm_nghiêm,A
",",F
tĩnh_lặng,A
và,C
cổ_kính,A
với,E
đầy,A
hoài_niệm,V
về,E
một,M
ngôi,Nc
chùa,N
truyền_thống,A
",",F
chính,T
là,V
vì,E
",",F
kiến_trúc_sư,N
đã,R
tài_hoa,V
kết_hợp,V
được,V
những,L
nét,N
xưa,N
cũ,A
",",F
hòa_quyện,N
trong,E
cảnh_quan,N
và,C
những,L
mái,N
cong,A
duyên_dáng,A
của,E
chùa_chiền,N
không,R
bị,V
vật_liệu,N
bê_tông,N
thô,A
cứng,A
bài_xích,V
.,F
Chính,T
vì,E
lẽ,N
đó,P
",",F
cho,E
đến,E
nay,P
",",F
Vĩnh_Nghiêm,Np
tự_vẫn,V
được,V
coi,V
là,C
một,M
trong,E
số,N
những,L
công_trình,N
kiến_trúc,N
tiêu_biểu,N
của,E
Phật_giáo,N
Việt_Nam,Np
thế_kỷ,N
20,M
.,F
Dẫu,Np
có,V
nhiều,A
đơn_nguyên,N
",",F
nhưng,C
chùa,N
Vĩnh_Nghiêm,Np
vẫn,R
nổi,V
lên,V
ba,M
kiến_trúc,N
chính,T
:,F
Tam_quan,N
chùa,N
khá,R
đồ_sộ,A
",",F
nhưng,C
năm,N
2005,M
đã,R
bị,V
lùi,V
vào,E
đáng_kể,N
phục_vụ,V
cho,E
dự_án,N
mở_rộng,V
đường,N
Nam_Kỳ,Np
Khởi_Nghĩa,Np
.,F
Tuy_nhiên,C
",",F
kích_thước,N
và,C
hồn,N
cốt,N
của,E
kiến_trúc,N
tam_quan,N
vẫn,R
được,V
giữ,V
nguyên,N
",",F
sau,N
di_dời,V
",",F
cho,V
thấy,V
một,M
hình_ảnh,N
vừa,R
truyền_thống,A
",",F
vừa,R
hiện_đại,A
",",F
hòa_nhập,V
được,V
với,E
toàn_bộ,L
các,L
đơn_nguyên,N
hiện,N
có,V
.,F
Tòa_nhà,N
trung_tâm,N
là,V
một,M
công_trình,N
kiên_cố,A
",",F
với,E
