Lịch_sử,N
đền,V
thần,N
Đồng_Cổ,Np
được,V
các,L
thư_tịch,N
của,E
ta,P
ghi,V
lại,R
khá,R
đầy_đủ,A
.,F
Theo,E
Đại_Việt,Np
sử_ký,V
toàn,R
thư,N
:,F
năm,N
Mậu_Thìn,Np
(,F
1028,M
),F
Tiên,Np
đế,V
Lý_Thái_Tổ_băng_hà,N
",",F
Thái_tử,N
Phật_Mã,Np
lên_ngôi,V
",",F
tức_là,N
Vua,Np
Lý_Thái_Tông,Np
(,F
1028,M
-,F
1054,M
),F
",",F
nhân,V
việc,N
mới,R
lên_ngôi,V
Ngài,Np
xuống,V
chiếu,N
phong,N
tước,Nc
Vương,Np
cho,E
thần,N
núi,N
Đồng_Cổ,Np
.,F
Trước,E
đó,P
là,V
việc,N
trước,E
khi,N
Ba,M
vương,N
định,V
làm_phản,V
cướp,V
ngôi,N
",",F
Vua,Np
chiêm_bao,V
thấy,V
một,M
người,N
tự_xưng,V
là,V
thần,N
núi,N
Đồng_Cổ,Np
nói,V
với,E
Vua,Np
về,E
việc,N
Ba,M
vương,N
:,F
Vũ_Đức,Np
",",F
Đông_Chinh,Np
",",F
Dực_Thánh,Np
sắp,R
làm_loạn,V
",",F
phải,V
mau,A
đem,V
quân,N
dẹp,V
ngay,R
.,F
Tỉnh,N
dậy,V
Vua,Np
liền,R
sai,A
phòng_bị,N
",",F
quả_nhiên,V
ứng_nghiệm,N
",",F
cuộc,N
biến,V
đã,R
được,V
dẹp,V
.,F
Đến,E
đây,P
xuống,V
chiếu,N
giao,V
cho,E
Hữu_ty,N
tu_sửa,V
lại,R
đền,V
",",F
lấy,V
ngày,N
ấy,P
đắp,V
đàn,N
ở,E
trong,E
miếu,N
",",F
cắm,V
cờ_xí,N
",",F
chỉnh_đốn,V
đội_ngũ,N
",",F
treo,V
gươm,N
giáo,N
trước,E
thần,N
vị,N
",",F
đọc,V
lời,N
thề,V
rằng,C
:,F
Làm,V
con,N
bất_hiếu,N
làm,V
tôi,P
bất_trung,V
xin,V
thần,V
minh,N
giết,V
chết,V
.,F
Các,L
quan,N
từ,E
cửa,N
Đông,Np
đi,V
vào,E
đến,V
trước,E
thần,N
vị,N
cùng,A
uống,V
máu,N
ăn_thề,V
",",F
hàng,N
năm,N
lấy,V
làm,V
lệ,N
thường,R
",",F
sau,N
chuyển,V
sang,V
ngày,N
4,M
tháng,N
4,M
Âm_lịch,N
.,F
Sang,V
đời,N
Trần,Np
",",F
hội,N
thề,N
Trung,Np
hiếu,V
ở,E
đền,N
thần,N
Đồng_Cổ,Np
vẫn,R
tiến_hành,V
",",F
đến,E
khi,N
nhà,N
Minh,Np
sang,V
xâm_lược,V
nước,N
ta,P
mới,R
ngừng,V
hoạt_động,V
.,F
Đền,Np
thần,N
Đồng_Cổ,Np
ở,E
Thanh_Hóa,Np
sách,N
Đại_Nam,Np
nhất,R
thống,V
chí,N
",",F
mục,N
Thanh_Hóa_chí,N
ghi,V
:,F
đền,V
toạ_lạc,N
trên,E
núi,N
Khả_Lao,Np
",",F
làng,N
Đan_Nê,Np
",",F
huyện,N
Yên_Định,Np
.,F
Tương_truyền,N
",",F
đền,V
thần,N
Đồng_Cổ,Np
ở,E
đây,P
có,V
từ,E
thời,N
Hùng,Np
Vương,Np
và,C
thường,R
hiển_linh,V
giúp,V
Vua,Np
Hùng,Np
trong,E
các,L
cuộc,N
dẹp,V
loạn,A
cho_nên,C
được,R
Vua,Np
Hùng,Np
phong,V
cho,E
thần,N
Đồng,Np
Cổ_Đại_vương,A
.,F
Đền_Triều_Lý,Np
",",F
khi,N
Lý_Thái_Tông,Np
còn,R
là,V
Thái_tử,N
(,F
Phật_Mã,Np
),F
",",F
phụng,V
mạng,N
Vua,Np
cha,N
là,V
Thái_Tổ_đem,N
binh,N
đi,V
dẹp,V
loạn,N
ở,E
phía,N
Nam,Np
(,F
1020,M
),F
",",F
đến,V
Trường,N
Châu,Np
đóng,V
quân,N
tạm,A
nghỉ,V
.,F
Canh,Np
ba,M
đêm,N
ấy,P
",",F
Thái_tử,N
chợt,R
thấy,V
một,M
dị,N
nhân,A
",",F
thân,N
cao,A
8,M
thước,N
",",F
mày,P
râu,N
cứng,A
nhọn,A
",",F
mặc,V
chiến_bào,N
",",F
tay_cầm,V
binh_khí,N
",",F
đến,V
trước,E
cúi,N
đầu,N
tâu,V
rằng,C
:,F
“,F
Tôi,P
là,V
thần,N
núi,N
Đồng_Cổ,Np
",",F
nghe,V
tin,N
Thái_tử,N
sang,V
đánh,V
Phương_Nam,Np
",",F
tôi,P
xin,V
theo,V
giúp,V
để,E
phá,V
giặc,N
",",F
lập,V
chút,L
công,N
nhỏ,A
”,F
.,F
Thái_tử,N
vỗ_tay,V
khen_ngợi,V
rồi,C
tỉnh,N
dậy,V
luôn,R
.,F
Hôm,N
sau,N
tiến_quân,V
đến,E
đất,N
Chiêm,Np
",",F
trận,N
ấy,P
quả_nhiên,V
đại_thắng,N
.,F
Khi,N
khải,V
hoàn,V
về,V
qua,V
Trường_Châu,Np
",",F
Thái_tử,V
bèn,R
sai,A
quân,N
sửa_sang,V
lại,R
miếu,N
",",F
lễ,N
tạ,V
",",F
rồi,C
xin,V
rước,V
thần,N
vị,V
về,E
Kinh_đô,N
thờ,V
để,E
làm,V
vị,N
thần,N
giữ,V
nước,N
hộ,N
dân,N
.,F
Khuôn,N
viện,N
của,E
Đền,Np
thần,N
Đồng_Cổ,Np
.,F
(,F
Ảnh,Np
:,F
TL,Ny
),F
Thần_Đồng_Cổ,Np
",",F
vị,Nc
thần_linh_thiêng,N
có,V
phép,N
thần_thông,V
biến_hóa,V
phi_thường,A
",",F
từng,R
giúp,V
tướng_lĩnh,N
và,C
phò,N
Vua,Np
ở,E
ngoài,N
mặt_trận,N
",",F
còn,C
ở,E
trong,E
Nội,Np
cung,N
thần,N
thường,R
báo_mộng,V
cho,E
Nhà_Vua,Np
biết,V
để,E
giải_quyết,V
những,L
vấn_đề,N
trọng_đại,N
của,E
đất_nước,N
",",F
cho_nên,C
Tiến_sĩ,N
Cao_Huy_Diệu,Np
tiếm,V
bình,N
như,C
sau,A
:,F
Đại_Vương,Np
lấy,V
nghĩa,N
danh,N
thần,N
non,A
núi,N
mà,C
bẩm,V
thụ,V
sắc,N
mệnh,N
của,E
Thượng_Đế,Np
",",F
uy,V
đức,N
lừng_lẫy,V
đã,R
lâu,A
trong,E
trời_đất,N
",",F
không,R
cần,V
đợi,V
tới,E
Thời_Quân,Np
",",F
Thế_Chúa,Np
ca_ngợi,V
phong,V
thưởng,V
mới,R
sáng_tỏ,V
sự,Nc
linh,V
dị,A
đâu,T
!,F
Duy,Np
có,V
thương_xót,N
cõi_đời,N
chìm_đắm,V
",",F
lo_liệu,V
bất_minh,N
",",F
nếu,C
cứ,R
im_lặng,A
",",F
không,R
thèm,V
chỉ,R
cho,E
đường,N
mê,V
",",F
thì,C
Thế_Chúa,Np
trọn,A
đời,N
vẫn,R
không,R
tỉnh_ngộ,V
được,R
.,F
Cho_nên,C
thần,N
hằng,R
mượn,V
giấc,N
mộng,N
để,E
bảo,V
lấy,V
việc,N
mở,V
lối,N
tự,P
tâm,V
.,F
Đến,E
khi,N
ấy,P
",",F
Thế_Chúa,Np
mới,R
tôn,N
đó,P
",",F
mới,R
kính,V
đó,P
;,F
mới,R
lập,V
đền,N
thờ,V
đó,P
",",F
và,C
nhân,V
đấy,P
mà,C
phong_tặng,V
cho,V
nữa,R
.,F
Trái_lại,V
",",F
những,L
vị,Nc
danh,N
thần,N
đương,N
ở,E
trong,E
nhân,N
hoàn,N
",",F
có,V
làng,N
nào,P
lại,R
không,R
thờ,V
?,F
Có,V
người,N
nào,P
lại,R
không,R
lạy,V
cầu,N
và,C
dĩnh,V
lễ,N
?,F
Nhưng,C
thần,N
cứ,R
một_mực,V
mịt,N
mờ,A
",",F
lặng_lẽ,A
để,E
hưởng,V
suông,N
hương,N
lửa,N
của,E
nhân_gian,N
",",F
mà,C
hoạ,V
phúc,N
không,R
nghe,V
",",F
có_điều,X
không,R
báo_ứng,V
",",F
và,C
chỉ,R
chuyên_trang_sức,V
bề_ngoài,N
",",F
làm,V
lâu,A
đài,N
cho,E
tráng_lệ,A
",",F
nghi_trượng,V
cho,E
rõ_ràng,A
",",F
rồi,C
các,L
ông,N
ngồi,V
bật,V
ngửa,N
đó,P
",",F
thực_ra,N
để,E
mà,C
làm_chi_vậy,V
chứ,T
?,F
Thần_Đồng,Np
Cổ_Đông_Sơn,Np
",",F
trong,E
đó,P
khởi,V
nguyên,A
là,V
thần,N
Đồng_Cổ,Np
Ngọc_Lũ,Np
:,F
kiệt_tác,N
có,V
một,M
không,R
hai,M
của,E
nhân_loại,N
",",F
vẻ,N
đẹp,A
giàu_sang,V
quyền_quý,A
",",F
những,L
mô_típ,N
hoa_văn,N
tinh_xảo,A
",",F
kì_bí,N
",",F
kí_hiệu,V
mật_mã,N
ghi,V
trên,E
hợp_kim_đồng_thau,N
không,R
han,V
rỉ,V
;,F
hun_đúc,V
hào_khí,N
anh_linh,V
sông_núi,N
",",F
Quốc_huy,N
của,E
nước,N
Văn_Lang,Np
",",F
ấn_tín,N
biểu,V
chương,N
Vương_quyền,V
",",F
vật,N
bảo_bối,V
truyền,V
ngôi,N
của,E
Vua,Np
Hùng,Np
;,F
bức,Nc
Thông_điệp,N
gửi,V
các,L
dân_tộc,N
anh_em,N
gần_xa,N
đương_thời,V
và,C
truyền,V
lại,R
cho,E
muôn_đời,N
hậu_thế,N
",",F
điểm_tựa,N
tinh_thần,N
tâm_linh,N
cho,E
cộng_đồng,N
dân_tộc,N
xây_dựng,V
và,C
phát_triển,V
trong,E
chiều,N
dài,A
của,E
lịch_sử,N
.,F
Nhưng,C
trong,E
một,M
nghìn,M
năm,N
Bắc,Np
thuộc,V
vật,N
linh,A
hèm,N
của,E
dân_tộc,N
ta,P
bị,V
gọi,V
là,C
đồng,N
cổ,A
loại,N
nhạc_khí,A
.,F
Phải,V
đến,E
khi,N
đất_nước,N
ta,P
giành,V
lại,R
được,V
quyền,N
tự_chủ,V
thì,C
loại,Nc
vật,N
hèm,N
đó,P
mới,R
được,V
khôi_phục,V
lại,R
vị_trí,N
tâm_linh,N
của,E
cổ_vật,N
.,F
Song,Np
do,C
đã,R
có,V
tên,N
đồng,N
cổ,A
rồi,C
cho_nên,V
thư_tịch,N
của,E
nước,N
ta,P
ghi_chép,V
trân_trọng,V
và,C
gọi,V
là,C
“,F
thần,N
Đồng_Cổ,Np
”,F
.,F
Nhà_nước,N
Đại_Cồ,Np
Việt,Np
Vua,Np
Đinh_Tiên,Np
Hoàng,Np
tặng,V
thần,N
Đồng_Cổ,Np
cho,E
làng,N
Thương_Lâm,Np
(,F
tỉnh,N
Hà_Đông,Np
cũ,A
),F
làm,V
vật,N
linh,A
thờ,V
trong,E
đình,N
làm,V
vị,Nc
thần,N
Hoàng,Np
làng,N
.,F
Cho_nên,C
chỉ,R
ở,E
Việt_Nam,Np
có,V
loại,Nc
vật,N
linh,N
nhỏ,A
làm,V
bùa,N
hộ_mệnh,N
-,F
đeo,V
vào,E
cổ,N
hoặc,C
để,E
đầu,N
giường,N
.,F
Đền,Np
thần,N
Đồng_Cổ,Np
(,F
Ảnh,Np
:,F
LT,Ny
),F
Còn,C
trống_đồng,V
ở,E
các,L
nước,N
Đông_Nam,Np
Á,Np
là,V
bắt_nguồn,V
từ,E
trống,N
Đông_Sơn,Np
.,F
Fr,Np
.,F
Heger,Np
học_giả,V
người,Nc
Áo,Np
",",F
sách,N
Những,L
trống,N
kim_khí,N
ở,E
Đông_Nam_Á,Np
(,F
1902,M
),F
đã,R
phân,V
trống_đồng,N
làm,V
bốn,M
loại,N
và,C
cho,E
trống_đồng_loại,N
I,M
xuất_xứ,N
đầu_tiên,A
ở,E
miền,N
Bắc,Np
Việt_Nam,Np
",",F
hoặc,C
L.,Ny
Bezacier,Np
người,N
Pháp,Np
",",F
sách,V
Lịch_sử,N
nghiên_cứu,V
trống_đồng,N
ở,E
Châu_Âu,Np
(,F
1972,M
),F
cho,V
biết,V
",",F
ở,E
các,L
nước,N
Đông_Nam_Á,Np
trống_đồng,V
là,V
vật,N
linh,A
thờ_cúng,N
của,E
dân,N
địa_phương,N
",",F
và,C
H.,Ny
Loofs,Np
Wissowa,Np
người,Nc
Australia,Np
với,E
thuyết,N
Biểu_chương,N
Vương_quyền,N
(,F
1983,M
),F
cho,V
rằng,C
",",F
có,V
một,M
quyền_uy,N
tôn_giáo,N
tồn_tại,V
ở,E
Bắc,Np
Việt_Nam,Np
trong,E
thời,N
cổ,A
",",F
tương_tự,A
với,E
