Đây,P,
là,V,
vùng_đất,N,
lịch_sử,N,
còn,R,
mãi,R,
âm_vang,V,
những,L,
chiến_công,N,
lừng_lẫy,V,
trong,E,
ba,M,
lần,N,
quân_dân,V,
Nhà_Trần,Np,
chiến_thắng,V,
quân,N,
xâm_lược,V,
Nguyên,Np,
Mông,Np,
thế_kỷ,N,
XIII.,Ny,
Côn_Sơn,Np,
",",F,
Kiếp_Bạc,Np,
còn,R,
là,V,
vùng,N,
danh,N,
sơn,N,
huyền_thoại,N,
",",F,
với,E,
những,L,
thắng_cảnh,N,
tuyệt_vời,A,
",",F,
những,L,
di_tích,N,
cổ_kính,A,
",",F,
gắn,V,
liền,R,
với,E,
thân_thế,N,
",",F,
sự_nghiệp,N,
của,E,
Trần_Hưng_Đạo,Np,
và,C,
Nguyễn_Trãi,Np,
",",F,
hai,M,
vị,Nc,
anh_hùng,N,
dân_tộc,N,
kiệt_xuất,N,
đã,R,
làm,V,
rạng_rỡ,A,
cho,E,
non_sông,N,
đất_nước,N,
",",F,
cùng,C,
với,E,
nhiều,A,
danh_nhân_văn_hóa,N,
của,E,
dân_tộc,N,
:,F,
Trần_Nhân,Nc,
Tông,Np,
",",F,
Pháp,Np,
Loa,Np,
",",F,
Huyền_Quang,Np,
",",F,
Trần_Nguyên_Đán,Np,
...,F,
Nếu_như,C,
Khu_Di_tích,N,
lịch_sử,N,
Kiếp_Bạc,Np,
là,V,
một,M,
trung_tâm,N,
nội,N,
đạo,N,
thờ,V,
Đức_thánh,N,
Trần,Np,
thì,C,
Khu_Di_tích,N,
Côn_Sơn,Np,
là,V,
một,M,
trong,E,
những,L,
trung_tâm,N,
Phật_giáo,A,
của,E,
dòng,N,
thiền,N,
phái,N,
Trúc,Np,
Lâm_Đại_Việt,Np,
mà,C,
Điều,Np,
Ngự,Np,
Giác,Np,
Hoàng,Np,
Trần_Nhân,Np,
Tông,Np,
sáng_lập,V,
ở,E,
thế_kỷ,N,
XIV.,Ny,
Côn_Sơn,Np,
còn,R,
là,V,
nơi,N,
thờ,V,
quan,N,
Đại_tư,N,
đồ,N,
Trần_Nguyên_Đán,Np,
và,C,
Anh_hùng,N,
dân_tộc,N,
",",F,
Danh_nhân_văn_hóa,N,
thế_giới,N,
Nguyễn_Trãi,Np,
.,F,
Côn_Sơn,Np,
",",F,
Kiếp_Bạc,Np,
là,V,
một,M,
trong,E,
những,L,
khu,N,
di_tích,N,
tiêu_biểu,V,
kết_tinh,N,
tư_tưởng,N,
tam_giáo,N,
đồng,V,
nguyên,A,
:,F,
Phật_giáo,N,
-,F,
Đạo_giáo,N,
-,F,
Nho_giáo,N,
cùng,A,
hòa,N,
đồng,N,
",",F,
mục_đích,N,
là,V,
quy_tụ,N,
nhân_tâm,N,
",",F,
lấy,V,
thần_quyền,N,
phục_vụ,V,
cho,E,
vương,N,
quyền,N,
",",F,
củng_cố,V,
tư_tưởng,N,
độc_lập,N,
tự_chủ,V,
của,E,
dân_tộc,N,
.,F,
Côn_Sơn,Np,
là,V,
mảnh,Nc,
đất,N,
lịch_sử,N,
lâu_đời,A,
.,F,
Hơn,R,
một,M,
ngàn,M,
năm,N,
trước,A,
",",F,
Định_Quốc,Np,
Công,Np,
Nguyễn_Bặc,Np,
",",F,
thủy_tổ,N,
của,E,
dòng_họ,N,
Nguyễn_Trãi,Np,
đã,R,
lập,V,
căn_cứ,N,
ở,E,
đây,P,
để,E,
đánh,V,
sứ,N,
quân,N,
Phạm_Phòng,Np,
Át,Np,
",",F,
giúp,V,
Đinh_Tiên,Np,
Hoàng,Np,
thống_nhất,V,
đất_nước,N,
vào,E,
năm,N,
968,M,
.,F,
Cùng,C,
với,E,
Yên_Tử,Np,
",",F,
Quỳnh_Lâm,Np,
và,C,
Thanh_Mai,Np,
