Theo,E,
tài_liệu,N,
của,E,
Ban_Quý,Np,
tế,V,
đình,N,
Bình_Mỹ,Np,
ghi,V,
lại,R,
",",F,
thôn,N,
Long_Mỹ,Np,
và,C,
ngôi,Nc,
đình,N,
ra_đời,V,
năm,N,
1786,M,
.,F,
Ðến,Np,
năm,N,
1816,M,
",",F,
thôn,N,
Long_Mỹ,Np,
tách,V,
thành,V,
hai,M,
thôn,N,
Bình_Long,Np,
và,C,
Bình_Mỹ,Np,
",",F,
đình,N,
được,V,
xây_dựng,V,
lại,R,
và,C,
đặt,V,
tên,N,
là,C,
đình,N,
Bình_Mỹ,Np,
.,F,
Chi_tiết,N,
này,P,
không,R,
chính_xác,A,
.,F,
Nếu,C,
tính,V,
theo,E,
địa_bàn,N,
Châu_Phú,Np,
ngày_nay,N,
",",F,
thời,N,
Gia_Long,Np,
ở,E,
vùng_đất,N,
này,P,
có,V,
ba,M,
thôn,N,
là,V,
Bình_Thạnh_Tây,Np,
",",F,
Bình_Trung,Np,
",",F,
Bình_Lâm,Np,
.,F,
Ðến,Np,
thời,N,
Minh_Mạng,Np,
",",F,
thôn,N,
Bình_Thạnh_Tây,Np,
trở_thành,V,
Vĩnh_Thạnh_Trung,Np,
",",F,
Bình_Trung,Np,
trở_thành,V,
Bình_Mỹ,Np,
và,C,
có,V,
thêm,V,
thôn,N,
mới,R,
là,V,
Mỹ_Ðức,Np,
.,F,
Ðịa,Np,
danh,N,
Bình_Long,Np,
xuất_hiện,V,
từ,E,
khoảng,N,
năm,N,
1876,M,
",",F,
vậy,P,
không,R,
hề,T,
có,V,
thôn,N,
Long_Mỹ,Np,
như,C,
tài_liệu,N,
của,E,
Ban_Quý,Np,
tế,V,
Ðình,Np,
Bình_Mỹ,Np,
đã,R,
lưu_truyền,V,
.,F,
Ngôi,Nc,
đình,N,
Bình_Mỹ,Np,
như,C,
kiến_trúc,V,
hiện_nay,N,
được,V,
xây_dựng,V,
vào,E,
năm,N,
1890,M,
",",F,
đến,E,
năm,N,
1928,M,
được,R,
trùng_tu,V,
lại,R,
theo,V,
mẫu,N,
kiến_trúc,V,
của,E,
đình,N,
Châu_Phú,Np,
(,F,
TP.,Ny,
Châu_Ðốc,Np,
),F,
.,F,
Nóc,Np,
đình,V,
dạng,N,
cổ,A,
lầu,N,
gồm,V,
bốn,M,
bộ,N,
chính,T,
và,C,
sáu,M,
bộ,N,
phụ,V,
",",F,
mái,N,
tam_cấp,N,
lợp,V,
ngói,N,
ống,N,
",",F,
trang_trí,V,
nhiều,A,
hình_tượng,N,
bát_tiên,N,
",",F,
linh,A,
thú,N,
",",F,
hoa_văn,V,
…,F,
Mặt_tiền,N,
trang_nhã,V,
với,E,
các,L,
đường_cong,N,
mềm_mại,A,
của,E,
dạng,N,
cửa,N,
vòm,N,
",",F,
nền,N,
vàng,N,
viền,A,
chỉ,R,
trắng,A,
",",F,
xen_lẫn,V,
liễn,N,
đối,V,
và,C,
hoa_văn,N,
trang_trí,V,
.,F,
Ngôi,Nc,
đình,N,
Bình_Mỹ,Np,
như,C,
kiến_trúc,V,
hiện_nay,N,
được,V,
xây_dựng,V,
vào,E,
năm,N,
1890,M,
",",F,
đến,E,
năm,N,
1928,M,
được,R,
trùng_tu,V,
lại,R,
theo,V,
mẫu,N,
kiến_trúc,V,
của,E,
đình,N,
Châu_Phú,Np,
(,F,
TP.,Ny,
Châu_Ðốc,Np,
),F,
.,F,
Ảnh,Np,
:,F,
internetNội,V,
thất,N,
đình,V,
kết_cấu,N,
bởi,E,
cột,N,
gỗ,N,
tròn,A,
làm,V,
từ,E,
danh,N,
mộc,N,
.,F,
Chánh_điện,N,
được,V,
trang_trí,V,
nổi_bật,A,
bởi,E,
các,L,
hoành_phi,N,
",",F,
liễn,N,
đối,N,
chạm_khắc,V,
cầu,N,
kỳ,N,
",",F,
sơn_son,V,
thếp,V,
vàng,N,
sống_động,A,
.,F,
Về,E,
bày,V,
trí,N,
thờ,V,
tự,P,
",",F,
đi,V,
từ,E,
ngoài,N,
vào,E,
có,V,
hai,M,
bàn_thờ,N,
đối_xứng,N,
hai,M,
bên,N,
là,V,
Hữu,Np,
văn,N,
ban,N,
và,C,
Tả,Np,
võ,N,
bá,N,
",",F,
khoảng,N,
giữa,N,
là,V,
bàn_thờ,N,
Hội_đồng,N,
",",F,
trên,E,
cao,A,
nhất,A,
phía,N,
trong,A,
cùng,A,
là,V,
bàn_thờ,N,
Thành_hoàng,N,
Bổn_Cảnh,Np,
",",F,
thờ,V,
vọng,N,
chân_dung,N,
Lễ,Np,
Thành,Np,
Hầu,Np,
Nguyễn_Hữu_Cảnh,Np,
.,F,
Hai,M,
cặp,N,
vách,N,
là,V,
hai,M,
dãy,Nc,
bàn_thờ,N,
đối_xứng,A,
gồm,V,
:,F,
Tả_ban,N,
-,F,
Hữu_ban,N,
",",F,
Tiền,N,
hiền,A,
-,F,
Hậu_hiền,N,
",",F,
Tiền,Np,
cố_hương,V,
lão,N,
-,F,
Chúa,Np,
xứ,N,
sơn,V,
quân,N,
.,F,
Ðình,Np,
tổ_chức,V,
Lễ,Np,
Kỳ_Yên,Np,
ngày,N,
18,M,
-,F,
19,M,
-,F,
20,M,
tháng,N,
4,M,
Âm_lịch,N,
",",F,
Lễ,Np,
Lạp,Np,
Miếu,Np,
ngày,N,
19,M,
-,F,
20,M,
tháng,N,
12,M,
Âm_lịch,N,
.,F,
Ðình,Np,
có,V,
Sắc,Np,
phong,V,
cho,E,
Thành_hoàng,N,
Bổn,Np,
cảnh,N,
vào,E,
năm,N,
Khải,Np,
Ðịnh,Np,
thứ,N,
9,M,
(,F,
1924,M,
),F,
với,E,
nội_dung,N,
:,F,
“,F,
Sắc,N,
Châu_Ðốc,Np,
tỉnh,N,
",",F,
An_Lương,Np,
tổng,N,
",",F,
Bình_Mỹ,Np,
thôn,N,
phụng_sự,N,
Bổn,Np,
cảnh,N,
Thành_hoàng,V,
tôn_thần,N,
hộ,N,
quốc,N,
tý,V,
dân,N,
.,F,
Nẫm,Np,
trứ,V,
linh_ứng,N,
",",F,
tứ,N,
kim,N,
chánh_trực,N,
",",F,
Trẫm,Np,
tứ,M,
tuần,N,
đại,V,
khánh_tiết,N,
",",F,
kinh,N,
ban,N,
bửu,N,
chiếu,N,
đàm,N,
ân,N,
lễ,N,
long,V,
đăng,V,
trật,V,
trứ,N,
phong_vi,N,
Ðôn,Np,
Ngưng,Np,
Dực,Np,
Bảo,Np,
Trung_Hưng,Np,
Tôn_Thần,Np,
.,F,
Chuẩn_kỳ,A,
phụng_sự,N,
thần_kỳ,A,
tương,E,
hựu,N,
bảo,V,
ngã,N,
lê,V,
dân,N,
.,F,
Khâm,Np,
tai,N,
!,F,
Khải_Ðịnh_cửu_niên,N,
",",F,
thất_nguyệt,N,
",",F,
nhị,N,
thập,V,
ngũ,N,
nhựt,N,
”,F,
.,F,
Dịch_nghĩa,V,
:,F,
“,F,
Sắc,N,
cho,E,
thôn,N,
Bình_Mỹ,Np,
",",F,
tổng,N,
An_Lương,Np,
",",F,
tỉnh,N,
Châu_Ðốc,Np,
",",F,
được,V,
thờ_phụng,V,
vị,Nc,
thần,N,
sở_tại,A,
đã,R,
từng,R,
giữ,V,
nước,N,
giúp,V,
dân,N,
.,F,
Xưa,Np,
từng,R,
linh_ứng,N,
",",F,
nay,P,
nhân_dịp,N,
Trẫm,Np,
tứ,M,
tuần,N,
đại,V,
khánh,N,
",",F,
ban,N,
chiếu,N,
báo,N,
mở_rộng,V,
ân_đức,N,
