Nói,V
đến,E
Pác_Bó,Np
là,V
nói,V
đến,E
một,M
địa_danh,N
lịch_sử,N
gắn,V
liền,A
với,E
tên_tuổi,N
của,E
Chủ_tịch,N
Hồ_Chí_Minh,Np
",",F
người,N
anh_hùng,N
giải_phóng,N
dân_tộc,N
Việt_Nam,Np
",",F
nhà_văn_hóa,N
kiệt_xuất,N
của,E
nhân_loại,N
.,F
Ngày,N
28,M
-,F
1,M
-,F
1941,M
",",F
sau,E
30,M
năm,N
bôn_ba,V
tìm,V
đường,N
cứu,V
nước,N
",",F
đồng_chí,N
Nguyễn,Np
Ái_Quốc,Np
quyết_định,V
trở,V
về,V
nước,N
trực_tiếp,A
lãnh_đạo,N
cách_mạng,N
Việt_Nam,Np
.,F
Sau,E
khi,N
phân_tích,V
kỹ,A
tình_hình,N
phong_trào,N
cách_mạng,N
ở,E
Việt_Nam,Np
",",F
theo_dõi,V
sát,A
phong_trào,N
",",F
Người,N
đã,R
chọn,V
Pác_Bó,Np
",",F
Cao,Np
Bằng,Np
làm,V
nơi,N
đặt_chân,V
đầu_tiên,A
.,F
Sau,Np
20,M
ngày,N
sống,V
trong,E
một,M
gia_đình,N
dân_tộc,N
",",F
ngày,N
28,M
-,F
1,M
-,F
1941,M
",",F
Nguyễn,Np
Ái_Quốc,Np
vào,V
ở,V
và,C
làm_việc,V
trong,E
hang,N
Cốc_Bó,Np
.,F
Bàn,Np
đá,V
bên,N
suối,N
Lê,Np
-,F
nin,N
(,F
Pác_Bó,Np
",",F
Hà_Quảng,Np
),F
",",F
nơi,N
Chủ_tịch,N
Hồ_Chí_Minh,Np
làm_việc,V
và,C
dịch,V
cuốn,Nc
lịch_sử,N
Đảng,Np
Cộng_sản,N
Bôn,Np
sê_vích,V
Liên_Xô,Np
.,F
(,F
Ảnh,Np
:,F
TL,Ny
),F
Tại,E
đây,P
",",F
Người,N
đã,R
tự,P
tay,N
khắc,V
lên,V
vách,N
đá,N
ghi,V
lại,R
thời_gian,N
lịch_sử,N
này,P
.,F
Ở,E
giữa,N
hang,N
Cốc_Bó,Np
có,V
một,M
nhũ_đá,N
cao,A
",",F
Nguyễn,Np
Ái_Quốc,Np
đã,R
chọn,V
và,C
tạc,V
lên,V
đây,P
bức,Nc
tượng,N
Các,Np
Mác,Np
-,F
người,Nc
thầy,N
vĩ_đại,A
của,E
cách_mạng,N
vô_sản,N
thế_giới,N
.,F
Nguyễn,Np
Ái_Quốc,Np
còn,R
đặt,V
tên,N
một,M
ngọn,Nc
núi,N
ở,E
Pác_Bó,Np
là,V
núi,N
Các,Np
Mác,Np
.,F
Một,M
dòng,N
suối,N
chảy,V
từ,E
chân,N
núi,N
ôm,V
vòng_quanh,N
núi,N
Các,Np
Mác,Np
mà,C
đồng_bào,N
dân_tộc,N
nơi,N
đây,P
gọi,V
là,C
suối,N
Giàng,Np
(,F
Suối,Np
Trời,Np
),F
Nguyễn,Np
Ái_Quốc,Np
đặt,V
tên,N
là,C
suối,N
Lê_Nin,Np
.,F
Suối,Np
Lê_Nin,Np
",",F
núi,N
Các,Np
Mác,Np
là,V
nơi,N
có,V
kỷ_niệm,N
rất,R
sâu_sắc,A
trong,E
thời_kỳ,N
Nguyễn,Np
Ái_Quốc,Np
sống,V
ở,E
đây,P
",",F
như,C
lời,N
thơ,N
của,E
Người,Np
:,F
Non,Np
xa_xa,A
",",F
nước,N
xa_xa,A
",",F
Nào,P
phải,V
thênh_thang,V
mới,R
gọi,V
là,C
",",F
Đây,P
suối,N
Lên,Np
Ni,Np
",",F
kia,P
núi,N
Mác,Np
",",F
Hai,M
tay,N
xây_dựng,V
một,M
sơn,N
hà,N
.,F
Bên,N
dòng,N
suối,N
Lê_Nin,Np
",",F
dưới,E
bóng,N
cây,N
si,N
um_tùm,A
",",F
Nguyễn,Np
Ái_Quốc,Np
đã,R
cùng,A
với,E
anh_em,N
đặt,V
một,M
bộ,N
bàn,N
ghế,N
bằng,E
những,L
viên,Nc
đá,N
ghép,V
lại,R
.,F
Tại,E
đây,P
Người,N
thường,R
ngồi,V
làm_việc,V
trong,E
những,L
hôm,N
đẹp,A
trời,N
",",F
viết,V
nhiều,A
tài_liệu,N
quan_trọng,A
huấn_luyện,V
cán_bộ,N
",",F
nơi,N
Người,Np
dịch,V
cuốn,Nc
Lịch_sử,N
Đảng,Np
cộng_sản,N
Liên_Xô,Np
.,F
Bộ,N
bàn,N
ghế,N
đá,N
cũng,R
đã,R
được,V
ghi,V
vào,E
lịch_sử,N
bằng,E
chính,T
bài,Nc
thơ,N
Người,Np
viết,V
:,F
Sáng,N
ra,V
bờ,N
suối,N
",",F
tối,N
vào,E
hang,N
",",F
Cháo,Np
bẹ,V
rau,N
măng,N
vẫn,R
sẵn,A
sàngBàn,N
đá,V
chông_chênh,A
dịch,V
sử,N
ĐảngCuộc,A
đời,N
cách_mạng,N
thật,A
là,V
sang,V
.,F
Trong,E
thời_gian,N
sống,V
và,C
làm_việc,V
tại,E
Pác_Bó,Np
",",F
Nguyễn,Np
Ái_Quốc,Np
đã,R
tới,V
nhiều,A
nơi,N
ở,E
Cao,Np
Bằng,Np
và,C
nhiều,A
lần,N
sang,V
Trung_Quốc,Np
bắt,V
liên_lạc,N
với,E
các,L
lực_lượng,N
cách_mạng,N
Việt_Nam,Np
và,C
đồng_minh,N
.,F
Trong,E
một,M
chuyến,N
đi,V
Người,Np
đã,R
bị,V
chính_quyền,N
địa_phương,N
của,E
Tưởng,Np
Giới,Np
Thạch_bắt,V
giam,V
trái_phép,A
từ,E
ngày,N
29,M
-,F
8,M
-,F
1942,M
đến,E
ngày,N
10,M
-,F
9,M
-,F
1943,M
",",F
qua,V
nhiều,A
nhà_giam,N
thuộc,V
tỉnh,N
Quảng_Tây,Np
.,F
Sau,E
khi,N
được,V
trả,V
tự_do,N
",",F
Nguyễn,Np
Ái_Quốc,Np
lại,R
trở,V
về,E
Pác_Bó,Np
tiếp_tục,V
lãnh_đạo,N
phong_trào,N
cách_mạng,N
.,F
Suối,N
Lê,Np
-,F
nin,N
nằm,V
trong,E
Khu_di_tích,N
Quốc_gia,N
đặc_biệt,A
Pác_Bó,Np
.,F
(,F
Ảnh,Np
:,F
TL,Ny
),F
Một,M
nội_dung,N
quan_trọng,A
có,V
ý_nghĩa,N
chiến_lược,N
đối_với,E
cách_mạng,N
Việt_Nam,Np
là,V
vấn_đề,N
Mặt_trận,N
dân_tộc,N
thống_nhất,V
.,F
Pác_Bó,Np
",",F
Cao,Np
Bằng,Np
chính,T
là,V
nơi,N
Nguyễn,Np
Ái_Quốc,Np
tiến_hành,V
thí_điểm,V
các,L
hội,N
quần_chúng,N
để,E
tiến,V
lên,R
tổ_chức,V
Mặt_trận,N
Dân_tộc,N
thống_nhất,V
có,V
cơ_cấu,N
từ,E
Trung_ương,N
đến,E
địa_phương,N
.,F
Cao,Np
Bằng,Np
đã,R
trở_thành,V
địa_chỉ,N
thiêng_liêng,A
",",F
là,V
nơi,N
ra_đời,V
