Hiện_nay,N,
",",F,
Di_tích,N,
Đình,Np,
Như_Bá,Np,
tọa_lạc,V,
ở,E,
trung_tâm,N,
xã,N,
",",F,
bốn,M,
phía,N,
được,V,
bao_bọc,V,
bởi,E,
khu,N,
dân_cư,N,
đông_đúc,A,
",",F,
trù_phú,N,
thuộc,V,
thôn,N,
2,M,
(,F,
thôn,N,
Cao_Hợp,Np,
),F,
",",F,
xã,N,
Quỳnh_Bá,Np,
",",F,
huyện,N,
Quỳnh_Lưu,Np,
",",F,
tỉnh,N,
Nghệ_An,Np,
.,F,
Đình,Np,
là,V,
nơi,N,
tôn_thờ,V,
và,C,
tưởng_niệm,N,
Thành_hoàng,N,
Hồ_Sỹ_Dương,Np,
",",F,
phối,V,
thờ,N,
1,M,
vị,Nc,
Hậu_thần,N,
",",F,
1,M,
vị,Nc,
Phúc_thần,N,
và,C,
các,L,
vị,Nc,
tiên,N,
hiền,A,
có,V,
công,N,
bảo,V,
quốc,N,
",",F,
hộ,N,
dân,N,
",",F,
che_chở,V,
cho,E,
dân_làng,N,
;,F,
nơi,N,
tổ_chức,V,
hội_họp,V,
",",F,
sinh_hoạt,N,
văn_hóa,N,
tâm_linh,N,
của,E,
nhân_dân,N,
địa_phương,N,
và,C,
nhân_dân,N,
vùng,N,
phụ_cận,A,
.,F,
Hồ_Sỹ_Dương,Np,
(,F,
còn,R,
có,V,
tên,N,
là,V,
Hồ,Np,
Ả_Ngọc,Np,
",",F,
Hồ_Khả_Tri,Np,
),F,
",",F,
sinh,V,
năm,N,
1621,M,
đời,N,
Vua,Np,
Lê_Thần_Tông,Np,
",",F,
niên_hiệu,Nc,
Vĩnh_Tộ,Np,
năm,N,
thứ,N,
4,M,
.,F,
Ông,Nc,
quê,N,
ở,E,
làng,N,
Quỳnh,Np,
Đôi,Np,
",",F,
xã,N,
Hoàn_Hậu,Np,
",",F,
huyện,N,
Quỳnh_Lưu,Np,
",",F,
tỉnh,N,
Nghệ_An,Np,
.,F,
Ông,N,
là,V,
con,Nc,
cụ,N,
Giám,Np,
sinh,V,
Thái_Bảo,Np,
",",F,
Tả,Np,
thị,V,
lang,N,
Diễn_Thịnh,Np,
hầu,V,
Hồ_Hoàng,Np,
và,C,
bà,Nc,
Hoàng_Thị_Tâm,Np,
.,F,
Ông,N,
là,V,
Hậu_duệ,N,
Thái_Thủy_tổ,N,
Hồ_Kha,Np,
.,F,
Từ,E,
nhỏ,A,
",",F,
ông,N,
rất,R,
thông_minh,A,
",",F,
học,V,
giỏi,A,
.,F,
Vào,E,
năm,N,
Kỹ_Mão,Np,
(,F,
1639,M,
),F,
",",F,
đời,N,
Vua,Np,
Lê_Thần,Np,
Tông,Np,
năm,N,
thứ,N,
21,M,
",",F,
niên_hiệu,Nc,
Dương_Hòa,Np,
năm,N,
thứ,N,
5,M,
",",F,
ông,N,
thi,V,
đỗ,V,
Sinh_đồ,N,
.,F,
Năm,Np,
Ất_Dậu,Np,
(,F,
1645,M,
),F,
",",F,
đời,N,
Vua,Np,
Lê_Chân,Np,
Tông,Np,
năm,N,
thứ,N,
3,M,
",",F,
niên_hiệu,N,
Phúc,Np,
Thái,Np,
thứ,N,
3,M,
",",F,
ông,N,
dự,V,
kỳ,N,
thi,V,
Hương,Np,
đậu,V,
giải,N,
Nguyên,Np,
trường,N,
Nghệ,Np,
.,F,
Năm,Np,
Bính_Tuất,Np,
(,F,
1646,M,
),F,
",",F,
đời,N,
Vua,Np,
Lê_Chân,Np,
Tông,Np,
năm,N,
thứ,N,
4,M,
thi,V,
Hội,N,
trúng,V,
Tam_trường,N,
.,F,
Năm,Np,
Nhâm_Thân,Np,
(,F,
1652,M,
),F,
",",F,
Hồ_Sỹ_Dương,Np,
dự,V,
