Hiện_nay,N,
",",F,
đền,N,
Bản,Np,
Thổ,Np,
tọa_lạc,V,
tại,E,
thôn,N,
2,M,
",",F,
xã,N,
Quỳnh_Trang,Np,
",",F,
thị_xã,N,
Hoàng_Mai,Np,
",",F,
tỉnh,N,
Nghệ_An,Np,
cách,V,
thành_phố,N,
Vinh,Np,
–,V,
Trung_tâm,N,
kinh_tế,N,
",",F,
chính_trị,N,
văn_hóa,N,
của,E,
tỉnh,N,
Nghệ_An,Np,
khoảng,A,
76,M,
km,Nu,
về,E,
phía,N,
Bắc,Np,
",",F,
cách,V,
thị_xã,N,
Hoàng_Mai,Np,
8,M,
km,Nu,
về,E,
phía,N,
Tây_Nam,Np,
.,F,
Căn_cứ,V,
vào,E,
bài_trí,N,
thờ_phụng,N,
cho,V,
biết,V,
đền,N,
Bản,Np,
Thổ,Np,
thờ,V,
thần,N,
chủ,N,
là,V,
Uy_Minh,Np,
Vương_Lý,Np,
Nhật_Quang,Np,
",",F,
ngoài_ra,N,
còn,R,
phối,V,
thờ,V,
các,L,
vị,Nc,
thần,N,
như,C,
:,F,
Tứ,M,
vị,Nc,
thánh,N,
nương,N,
",",F,
Đông_chinh,V,
vương,N,
Dực_thánh,V,
vương,N,
",",F,
Cao_Sơn,Np,
Cao,Np,
Các,Np,
",",F,
Bạch,Np,
Y_đại,V,
vương,N,
",",F,
Hoan,Np,
quận,N,
công,N,
Hồ_Hữu_Nhân,Np,
và,C,
các,L,
vị,Nc,
thành_hoàng,N,
trong,E,
vùng,N,
.,F,
Đền_Bản,Np,
Thổ,Np,
tọa_lạc,V,
tại,E,
thôn,N,
2,M,
",",F,
xã,N,
Quỳnh_Trang,Np,
",",F,
thị_xã,N,
Hoàng_Mai,Np,
",",F,
tỉnh,N,
Nghệ_An,Np,
.,F,
Uy_Minh,Np,
Vương_Lý,Np,
Nhật_Quang,Np,
là,V,
con_trai,N,
đời,N,
thứ,N,
8,M,
của,E,
Vua,Np,
Lý_Thái_Tổ,Np,
.,F,
Là,V,
người,N,
thông_minh,A,
hiếu_học,A,
",",F,
đức,N,
trọng_tài,N,
cao,A,
",",F,
yêu,V,
nước,N,
thương,V,
dân,N,
sâu_sắc,A,
.,F,
Năm,N,
1039,M,
ông,N,
được,V,
Nhà_vua,V,
cử,V,
vào,E,
trông_coi,V,
việc,N,
tô,V,
thuế,N,
tại,E,
vùng_đất,N,
Nghệ_An,Np,
với,E,
tước,N,
hiệu,N,
Uy,Np,
Minh_Thái_Tử,Np,
.,F,
Tính,Np,
nghiêm,V,
cẩn,N,
và,C,
liêm,N,
trực,V,
",",F,
không,R,
tơ_hào,V,
của,E,
dân,N,
nên,C,
ông,N,
được,V,
nhân_dân,N,
Hoan_Châu,Np,
mến_mộ,V,
.,F,
Năm,N,
1041,M,
ông,N,
được,V,
bổ_nhiệm,V,
làm,V,
Tri,Np,
châu,N,
Nghệ_An,Np,
với,E,
tước,N,
hiệu,N,
Uy,Np,
Minh,Np,
Hầu_Lý,Np,
Nhật_Quang,Np,
.,F,
Lúc,N,
này,P,
",",F,
Nghệ_An,Np,
là,V,
một,M,
vùng_biên_ải,N,
phía,N,
Nam,N,
của,E,
nước,N,
Đại_Việt,Np,
",",F,
việc,N,
quản_lý,V,
còn,R,
lỏng_lẻo,A,
.,F,
Nhiều,A,
cuộc,N,
nổi_dậy,V,
ở,E,
địa_phương,N,
có,V,
tính_chất,N,
phản_loạn,N,
",",F,
gây_sự,N,
phiền_nhiễu,V,
cho,E,
nhân_dân,N,
",",F,
Triều_đình,N,
phải,V,
nhiều,A,
phen,N,
dẹp,V,
loạn,N,
.,F,
Nhưng,C,
sau,E,
khi,N,
Lý,Np,
Nhật_Quang,Np,
được,V,
cử,V,
