Dinh,N,
thự,V,
tiền,N,
tỷNgài,N,
Vương,Np,
Chính_Đức,Np,
(,F,
1865,M,
-,F,
1947,M,
),F,
là,C,
người,N,
duy_nhất,A,
được,R,
đồng_bào,N,
người,Nc,
Mông,Np,
nơi,N,
đây,P,
suy_tôn,V,
là,V,
vua,N,
Mèo,Np,
và,C,
chính_thức,A,
cai_quản,V,
4,M,
huyện,N,
Quản_Bạ,Np,
",",F,
Yên_Minh,Np,
",",F,
Mèo_Vạc,Np,
",",F,
Đồng_Văn,Np,
.,F,
Trước,E,
khi,N,
bắt_tay,V,
vào,V,
xây_dựng,V,
dinh,N,
thự,N,
đồ_sộ,A,
này,P,
",",F,
cụ,Nc,
Vương,Np,
Chính,Np,
Đức,Np,
sang,V,
Trung_Quốc,Np,
nhờ,V,
thầy,N,
phong,V,
thủy_qua,N,
Việt_Nam,Np,
đi,V,
qua,V,
khu_vực,N,
4,M,
huyện,N,
cụ,N,
đang,R,
cai_quản,V,
để,E,
chọn,V,
địa_thế,N,
đất,N,
.,F,
Cuối_cùng,A,
",",F,
cụ,Nc,
Đức,Np,
và,C,
thầy,N,
quyết_định,V,
dừng,V,
chân,N,
tại,E,
thôn,N,
Sà_Phìn,Np,
",",F,
địa_thế,N,
đất,N,
nằm,V,
giữa,E,
thung_lũng,N,
Sà_Phìn,Np,
.,F,
Ở,E,
đây,P,
có,V,
một,M,
khối,Nc,
đất,N,
nổi,V,
lên,V,
cao,A,
như,C,
hình,N,
mui,V,
con,Nc,
rùa,N,
",",F,
tượng_trưng,V,
cho,E,
thần,N,
kim,N,
quy,N,
.,F,
Nếu,C,
xây_dựng,V,
dinh,N,
thự,V,
tại,E,
đây,P,
thì,C,
sự_nghiệp,N,
của,E,
cụ,Nc,
Vương,Np,
Chính,Np,
Đức,Np,
sẽ,R,
thành,V,
về,E,
sau,N,
.,F,
Dinh,Np,
thự,N,
Vua,Np,
Mèo,Np,
nhìn,V,
tổng_thể,N,
từ,E,
trên,N,
cao,A,
.,F,
Ảnh,Np,
:,F,
internetThời,V,
điểm,N,
xây_dựng,V,
dinh,N,
thự,N,
",",F,
nơi,N,
đây,P,
chưa,R,
hề,T,
có,V,
máy_móc,N,
",",F,
đường_sá,N,
thì,C,
hiểm_trở,V,
vô_cùng,R,
.,F,
Do,E,
đó,P,
",",F,
dinh,N,
thự,N,
hoàn_toàn,A,
do,E,
sức_lực,N,
đồng_bào,N,
người,Nc,
Mông,Np,
ở,E,
đây,P,
làm,V,
thủ_công,N,
.,F,
Tất_cả,P,
các,L,
vật_liệu,N,
đá,N,
của,E,
dinh,N,
thự,N,
do,E,
chính,T,
người,Nc,
dân,N,
nơi,N,
đây,P,
đục,V,
đẽo,V,
bằng,E,
tay,N,
rồi,C,
vận_chuyển,V,
những,L,
tảng,Nc,
đá,N,
cách,N,
thôn,N,
Sà,Np,
Phìn,Np,
7,M,
km,Nu,
để,E,
xây,V,
nhà,N,
.,F,
Số,N,
tiền,N,
cụ,Nc,
Vương,Np,
Chính,Np,
Đức,Np,
thuê,V,
nhà,N,
thiết_kế,V,
về,E,
đây,P,
mất,V,
rất,R,
nhiều,A,
",",F,
15,M,
vạn,M,
đồng_bạc,N,
trắng,A,
Đông_Dương,Np,
của,E,
Pháp,Np,
",",F,
tương_đương,A,
với,E,
150,M,
tỷ,N,
đồng_tiền,N,
Việt_Nam,Np,
lúc,N,
bấy_giờ,P,
.,F,
Kiến_trúc,N,
kết_hợp,V,
3,M,
nền,N,
văn,N,
hóaDinh,V,
thự,N,
vua,N,
Mèo,Np,
có,V,
ảnh_hưởng,N,
kiến_trúc,N,
của,E,
3,M,
nền,N,
văn_hóa,N,
:,F,
Trung_Quốc,Np,
",",F,
người,Nc,
Mông,Np,
và,C,
Pháp,Np,
.,F,
Toàn,Np,
dinh,N,
thự,N,
có,V,
3,M,
cung,N,
Tiền,Np,
",",F,
Trung,Np,
",",F,
Hậu,Np,
với,E,
64,M,
phòng,N,
dành,V,
cho,V,
100,M,
người,N,
ở,V,
.,F,
Khu,Np,
Tiền,Np,
cung,Np,
là,V,
nơi,N,
ở,V,
của,E,
lính,N,
bảo_vệ,N,
",",F,
gia,N,
nhân,A,
.,F,
Trung,Np,
cung,V,
và,C,
Hậu_cung,N,
là,V,
nơi,N,
ở,V,
",",F,
làm_việc,V,
của,E,
con_cháu,N,
dòng_họ,N,
Vương,Np,
.,F,
Toàn_bộ,N,
gỗ,N,
của,E,
ngôi,Nc,
nhà,N,
trước,E,
đây,P,
đều,R,
được,V,
làm,V,
từ,E,
gỗ,N,
thông,A,
đá,N,
.,F,
Kể,V,
từ,E,
khi,N,
trở_thành_tài_sản,N,
của,E,
Nhà_nước,N,
",",F,
tất_cả,P,
các,L,
vật_liệu,N,
gỗ,N,
của,E,
ngôi,Nc,
nhà,N,
đã,R,
bị,V,
thay_đổi,V,
khoảng,N,
60,M,
%,Nu,
bằng,E,
gỗ,N,
lim,A,
và,C,
gỗ,N,
nghiến,A,
.,F,
Lối,Np,
dẫn,V,
vào,E,
dinh,N,
thự,N,
vua,N,
Mèo_Vương,Np,
Chính,Np,
Đức,Np,
là,V,
hai,M,
hàng,N,
sa,V,
mộc,N,
đứng,V,
uy_nghiêm,A,
",",F,
rắn_chắc,A,
như,C,
những,L,
người,Nc,
lính,N,
gác,V,
bảo_vệ,V,
sự,Nc,
an_toàn,A,
cho,E,
vua,N,
.,F,
Ảnh,Np,
:,F,
Vân_Ánh,Np,
.,F,
Quan_sát,V,
",",F,
thấy,V,
hai,M,
viên,Nc,
đá,N,
ở,E,
khu,N,
tiền,N,
có,V,
độ,N,
bóng,N,
nhất_định,A,
",",F,
đó,P,
là,V,
do,E,
đồng_bạc,N,
trắng,A,
Đông_Dương,Np,
mài,V,
vào,E,
đá,N,
mà,C,
thành,V,
.,F,
Để,E,
đánh,V,
được,R,
một,M,
chân,N,
cột,N,
đá,V,
như,C,
thế,P,
",",F,
cụ,Nc,
Vương,Np,
