Mặt,N,
của,E,
khu,N,
kiến_trúc,V,
hướng,N,
ra,V,
biển,N,
",",F,
có,V,
cổng,N,
Tam_quan,N,
đồ_sộ,A,
.,F,
Từ,E,
cổng,N,
Tam_Quan,Np,
trở,V,
vào,R,
có,V,
con,Nc,
đường,N,
lớn,A,
chạy,V,
đến,E,
cửa,N,
đền,V,
",",F,
đồng_thời,C,
chia,V,
đôi,M,
khu,N,
di_tích,N,
này,P,
thành,V,
hai,M,
phần,N,
",",F,
có,V,
các,L,
đường,N,
xương_cá,V,
để,E,
vào,E,
nghè,N,
",",F,
đề,N,
",",F,
chùa,N,
",",F,
miếu,N,
",",F,
phủ,V,
.,F,
Trong,E,
quần_thể,N,
này,P,
có,V,
Nghè,Np,
thờ,V,
Tứ,Np,
vị,Nc,
Thánh_Nương,Np,
",",F,
chùa,N,
Liên_Hoa,Np,
",",F,
Đền,Np,
thờ,V,
Đức,Np,
Ông,Np,
và,C,
Miếu,Np,
thờ,V,
chung,A,
344,M,
người,Nc,
Diêm_Phố,Np,
tử_nạn,V,
trong,E,
bão,N,
(,F,
1931,M,
),F,
.,F,
Giá_trị,N,
văn_hóa,N,
và,C,
kiến_trúc,V,
nghệ,N,
thuậtNghè,N,
Thánh_Cả,Np,
và,C,
Bản,Np,
thổ,V,
thầnNgôi,N,
nghè,V,
cả,P,
được,V,
xây_dựng,V,
từ,E,
khi,N,
mới,R,
thành_lập,V,
đến,E,
nay,P,
đã,R,
qua,V,
4,M,
lần,N,
xây_dựng,V,
lại,R,
",",F,
xây_dựng,V,
gần,A,
đây,P,
nhất,R,
là,V,
vào,E,
năm,N,
1946,M,
.,F,
Tuy_vậy,V,
nghè,N,
vẫn,R,
giữ,V,
được,R,
kiểu,N,
kiến_trúc,N,
xưa,A,
",",F,
mặt,N,
ngoảnh,A,
hướng,N,
Nam,Np,
.,F,
Kiến_trúc,V,
của,E,
nghè,N,
theo,V,
phép,N,
đối_xứng,V,
rất,R,
cân_đối,A,
giữa,E,
nghè,N,
chính,T,
",",F,
tam_quan,N,
và,C,
hai,M,
dải_vũ,N,
",",F,
ở,E,
giữa,N,
là,V,
một,M,
sân,N,
gạch,N,
hình,N,
chữ_nhật,N,
.,F,
Nghè,Np,
chính,T,
được,V,
xây_dựng,V,
bằng,E,
gạch_vồ,N,
",",F,
vôi,N,
hầu,V,
trộn,V,
với,E,
mật,N,
mía,N,
và,C,
giấy_bản,N,
để,E,
xây,V,
tường,N,
",",F,
cột_trụ,N,
",",F,
rui,N,
",",F,
mè,N,
đều,R,
là,V,
những,L,
thứ,Nc,
gỗ,N,
không,R,
bị,V,
mọt,V,
",",F,
các,L,
chuồng,N,
cửa,N,
đều,R,
bằng,E,
lim,N,
",",F,
mái,N,
nghè,N,
lợp,V,
bằng,E,
ngói,N,
.,F,
Nghè,Np,
có,V,
kiến_trúc,N,
vững_chãi,A,
",",F,
đường_nét,N,
uyển_chuyển,A,
",",F,
bề_thế,A,
.,F,
Gian,Np,
trong,E,
cùng,A,
là,V,
chính,T,
tẩm,V,
dài,A,
4m,M,
rộng,A,
5m,M,
.,F,
Bệ,Np,
thợ_xây,V,
chính,T,
giữa,E,
sát,A,
tường,N,
