Men,N
đường,N
75,M
",",F
đi,V
qua,V
các,L
làng,N
An_Nha,Np
",",F
An_Hương,Np
",",F
Hảo_Sơn,Np
",",F
Long_Sơn,Np
…,F
thuộc,V
xã,N
Gio_An,Np
đâu_đâu,P
cũng,R
bắt_gặp,V
giếng,N
cổ,A
.,F
Đây,P
là,V
nguồn,N
nước_sạch,N
tinh_khiết,V
dùng,V
để,E
uống,V
",",F
rồi,C
dẫn,V
nước,N
vào,E
các,L
ruộng,N
trồng,V
loại,Nc
rau,N
đặc_sản,N
nổi_tiếng,A
của,E
vùng_đất,N
Quảng_Trị,Np
.,F
Giếng,Np
cổ,A
ở,E
Gio_An,Np
có,V
nhiều,A
tên,N
gọi,V
",",F
mỗi,L
tên,N
có,V
những,L
nét,N
văn_hóa,N
và,C
bản_sắc,V
đặc_trưng,N
riêng,A
như,C
:,F
giếng,N
Kình,Np
",",F
giếng,N
Búng,Np
",",F
giếng,N
Trạng,Np
",",F
giếng,N
Ông,Np
",",F
giếng,N
Bà,Np
",",F
giếng,N
Tép,Np
",",F
giếng,N
Gai,Np
",",F
giếng,N
Lợi,Np
",",F
giếng,N
Cõi,Np
",",F
giếng,N
Dưới,Np
",",F
...,F
Hệ_thống,N
giếng,N
cổ,A
này,P
nằm,V
ở,E
chân,N
sườn,N
các,L
quả,N
đồi,N
đất_đỏ,N
bazan,N
lớn,A
",",F
được,V
tạo,V
thành,V
nhờ,E
kỹ_thuật,N
lắp_ghép,N
",",F
kè,V
đá,V
để,E
khai_thác,V
các,L
mạch,N
nước_ngầm,V
trong,E
lòng,N
đồi,N
.,F
Từ,E
trước,N
đến,E
nay,P
",",F
dù,E
thời_tiết,N
khô_hạn,V
đến,V
đâu,P
",",F
nước,N
trong,E
hệ_thống,N
giếng,N
cổ,N
Gio_An,Np
vẫn,R
không,R
bao_giờ,P
cạn,A
",",F
vẫn,R
trong,E
xanh,A
và,C
mát,A
lạnh,A
.,F
Những,L
hệ_thống,N
giếng,N
này,P
rất,R
hoàn_hảo,A
về,E
kỹ_thuật,N
",",F
rất,R
phù_hợp,V
với,E
phương_thức,N
canh_tác,V
ruộng,N
bậc_thang,V
ở,E
xã,N
Gio_An,Np
.,F
Những,L
chiếc,Nc
giếng,N
cổ,A
này,P
không,R
mang,V
hình_ảnh,N
những,L
chiếc,Nc
giếng,N
thường,A
thấy,V
ở,E
những,L
làng,N
",",F
xã,N
nông_nghiệp,N
ở,E
đồng_bằng,N
",",F
mà,C
người_xưa,N
đã,R
biết,V
tận_dụng,V
những,L
mạch,N
nước_ngầm,N
từ,E
triền,N
đồi,N
ở,E
những,L
độ,N
dốc,N
khác,A
nhau,N
và,C
sắp_xếp,V
việc,N
hứng,V
nước,N
",",F
lắng,V
nước,N
",",F
dẫn,V
nước,N
",",F
chứa,V
nước,N
",",F
tiêu,V
nước,N
...,F
theo,V
ý_đồ,N
của,E
mình,P
bằng,E
cách,N
xếp,V
đá,V
",",F
ngăn,V
dòng,N
",",F
lập,V
bể,N
",",F
khai,V
mương,N
...,F
(,F
Ảnh,Np
:,F
TL,Ny
),F
Theo,E
các,L
nhà,N
khảo_cổ,V
",",F
hệ_thống,N
giếng,N
cổ,N
Gio,Np
An,Np
ra_đời,V
vào,E
thời_kỳ,N
cuối,N
thời_đại_đồ,N
đá,N
mới,R
",",F
cách,V
đây,P
khoảng,N
5.000,M
năm,N
.,F
Người_ta,P
cho,V
rằng,C
",",F
nước,N
của,E
người,Nc
Gio,Np
An,Np
xưa,N
có,V
3,M
loại,N
",",F
tuỳ,V
theo,V
mặt_bằng,N
",",F
độ,N
chênh,V
nhau,N
của,E
sườn,N
đồi,N
và,C
mội,N
nước,N
(,F
nguồn,N
nước,N
),F
.,F
Loại,Nc
thứ,N
nhất,A
là,V
giếng,N
có,V
cấu_trúc,N
hoàn_chỉnh,A
nhất,A
và,C
có_thể,R
xem,V
đây,P
là,V
công_trình,N
khai_thác,V
nước,N
ở,E
những,L
khu,N
dân_cư,N
tương_đối,V
tập_trung,V
và,C
có,V
nguồn,N
nước_ngầm,N
mạnh,A
.,F
Các,L
khu_vực,N
sử_dụng,V
nước,N
được,V
phân_định,V
hệ_thống,N
rõ_ràng,A
:,F
bộ_phận,N
mặt_bằng,N
đựơc,V
gia_cố,A
bằng,E
đá,N
xếp,V
để,E
bảo_vệ,V
mội,N
nước,N
;,F
bể,N
lắng,V
cũng,R
được,R
xếp,V
đá,N
",",F
phần,N
đáy,N
bể,N
được,V
lót,V
bằng,E
nhiều,A
vật_liệu,N
gốm,N
sành,N
(,F
có_lẽ,X
đươc,N
bổ_sung,V
sau_này,N
),F
.,F
Nước,N
từ,E
đây,P
sẽ,R
chảy,V
qua,V
hệ_thống,N
máng,N
",",F
chân,N
của,E
máng,N
nước,N
được,R
tạo,V
gồ,V
ra,R
như,C
một,M
chiếc,Nc
mộng,N
đá,V
cố_định,V
vị_trí,N
máng,V
rất,R
chắc_chắn,A
.,F
Nước,N
sẽ,R
theo,V
máng,N
chảy,V
xuống,V
bể,N
chứa,V
",",F
bể,N
có_thể,R
rộng,A
",",F
hẹp,A
tùy_nơi,A
và,C
cũng,R
được,V
lót,V
đáy,N
bằng,E
nhiều,A
mảnh,Nc
gốm,N
",",F
sành,V
...,F
thành,V
bể,N
được,R
gè,V
đá,N
mồ_côi,A
.,F
Độ,N
sâu,A
của,E
bể,N
chứa,V
khoảng,N
30,M
-,F
50,M
cm,Nu
",",F
dùng,V
để,E
lấy,V
nước,N
uống,V
(,F
vòi,N
),F
và,C
tắm_giặt,V
.,F
Vùng,N
dành,V
cho,E
gia_súc,N
có_thể,A
là,V
nằm,V
tiếp,V
nối,V
bể,N
chứa,V
",",F
hoặc,C
độc_lập,V
...,F
Cuối_cùng,A
là,V
hệ_thống,N
các,L
mương,N
dẫn,V
nước,N
