Hòn,Nc,
đá,N,
Bạc,Np,
trong,E,
lịch,N,
sửHòn,N,
Đá_Bạc,Np,
được,V,
hình_thành,V,
cách,V,
đây,P,
180,M,
triệu,M,
năm,N,
.,F,
Cụm,Np,
đảo,N,
gồm,V,
có,V,
ba,M,
hòn,N,
:,F,
hòn,N,
Ông,Nc,
Ngộ,Np,
",",F,
hòn,Nc,
Trọi,Np,
",",F,
hòn,Nc,
Lớn,Np,
(,F,
hòn,Nc,
Đá_Bạc,Np,
),F,
.,F,
Dưới,E,
bàn_tay,N,
của,E,
con_người,N,
ba,M,
hòn,Nc,
đảo,N,
nay,P,
được,V,
nối,V,
với,E,
nhau,N,
và,C,
cả,P,
ba_cùng,N,
nối,V,
với,E,
đất_liền,N,
.,F,
Hòn,Nc,
Đá_Bạc,Np,
có,V,
diện_tích,N,
"6,34",M,
ha,Nu,
.,F,
Đỉnh_cao,A,
nhất,A,
ở,E,
hòn,N,
Lớn,Np,
cao,A,
hơn,R,
mặt_nước,N,
biển,N,
50m,M,
.,F,
Theo,E,
dân_gian,N,
",",F,
đảo,N,
xưa,N,
kia,P,
không,R,
có,V,
tên,N,
",",F,
nhưng,C,
vẻ,N,
đẹp,A,
hoang_sơ,N,
của,E,
đảo,N,
đã,R,
hấp_dẫn,V,
cả,P,
người,N,
và,C,
tiên,N,
.,F,
Có,V,
một,M,
nàng,N,
tiên,N,
mê,V,
cảnh,N,
đẹp,A,
trên,E,
đảo,N,
nên,C,
đêm_đêm,N,
thường,R,
trốn,V,
xứ,N,
trời,N,
bay,V,
về,E,
đảo,N,
vui,A,
cùng,A,
chim_muông,N,
",",F,
hoa_lá,N,
.,F,
Lại,R,
có,V,
một,M,
chàng,N,
ngư_phủ,N,
nọ,P,
ngày,N,
vất_vả,A,
giăng,V,
câu,N,
thả,V,
lưới,N,
",",F,
đêm,N,
về,V,
thường,R,
lấy,V,
gốc,N,
cây,N,
",",F,
bờ,Nc,
đá,N,
làm,V,
nhà,N,
.,F,
Một,M,
đêm,N,
không,R,
ngủ,V,
được,R,
",",F,
chàng,V,
dậy,V,
ngắm,V,
trăng,N,
",",F,
bất_ngờ,A,
gặp,V,
nàng,N,
tiên,N,
khỏa,N,
thân,N,
phô,N,
nhan_sắc,N,
.,F,
Rồi,C,
một,M,
đêm,N,
chàng,N,
vô_tình,A,
gây,V,
tiếng_động,N,
",",F,
khiến,V,
tiên,N,
giật_mình,V,
bay,V,
mất,V,
.,F,
Chàng,Nc,
trai,N,
sững_sờ,A,
.,F,
Đêm,N,
sau,E,
ra,V,
chỗ,N,
cũ,A,
chờ,V,
tiên,N,
giáng_thế,A,
",",F,
nhưng,C,
chờ,V,
mãi,R,
không,R,
thấy,V,
tiên,N,
.,F,
Chàng,Np,
chờ_mong,V,
tiên,N,
trở_lại,V,
",",F,
nhưng,C,
bặt,N,
vô_âm,V,
tín,N,
.,F,
Chàng,Np,
đau_khổ,V,
bạc_đầu,N,
chờ_đợi,V,
",",F,
cho,E,
đến,E,
lúc,N,
chết,V,
còn,R,
hóa,V,
đá,N,
chờ,V,
tiên,N,
.,F,
Ngư_dân,N,
trong,E,
vùng,N,
cảm_thương_số_phận,N,
của,E,
chàng,N,
trai,N,
",",F,
từ,E,
đó,P,
gọi,V,
là,C,
đảo,N,
Hòn,Np,
Đá_Bạc,Np,
.,F,
Hòn,Np,
Đá_Bạc,Np,
có,V,
vị_trí,N,
quan_trọng,A,
trong,E,
phong_thủy,N,
và,C,
tâm_linh,N,
.,F,
Nằm,V,
ngoài,E,
cửa,N,
Kinh_Hòn,Np,
như,C,
định_hướng,V,
cho,E,
thuyền,N,
về,E,
cửa,N,
",",F,
gió,N,
to,A,
sóng,N,
cả,P,
đảo,N,
chở,V,
che,V,
.,F,
Do,E,
đó,P,
người,N,
dân,N,
Kinh_Hòn,Np,
coi,V,
đảo,N,
là,V,
chốn,N,
linh_thiêng,N,
.,F,
Trong,E,
dân_gian,N,
đến,E,
nay,P,
còn,R,
truyền_tụng,V,
nhiều,A,
câu_chuyện,N,
thần_thoại,N,
về,E,
Đức,Np,
Ông,Np,
-,F,
loài,V,
cá_voi,N,
lớn,A,
thường,R,
hiện,V,
lên,R,
cứu,V,
người,N,
và,C,
thuyền,N,
ngoài,A,
khơi,N,
.,F,
Vào,E,
một,M,
năm,N,
nọ,P,
",",F,
có,V,
một,M,
Đức,Np,
Ông,N,
gặp,V,
nạn,N,
dạt,V,
vào,E,
biển,N,
",",F,
ngư_dân,N,
đã,R,
làm,V,
lễ,N,
tế,V,
chôn_cất,V,
trọng_thể,N,
và,C,
lập,V,
lăng,N,
thờ,V,
.,F,
Từ,E,
đó,P,
",",F,
cứ,R,
mỗi,M,
chuyến,N,
đi,V,
làm_ăn,V,
ngoài,E,
khơi,N,
xa,A,
lại,R,
đến,V,
cầu_xin,N,
Đức,Np,
Ông,Np,
được,V,
thuận,V,
buồm,N,
xuôi,V,
gió,N,
.,F,
Được_mùa,V,
lại,R,
tạ,V,
Ông,N,
phù_trợ,V,
",",F,
lấy,V,
vợ,N,
lấy,V,
chồng,N,
",",F,
sinh,V,
con_đẻ,N,
cái,A,
",",F,
muôn,V,
việc,N,
của,E,
đời,N,
người,N,
đều,R,
đến,V,
xin,V,
phước,V,
nơi,N,
Ông,N,
.,F,
Hòn,Nc,
Đá,Np,
Bạc,Np,
án_ngữ,V,
trên,E,
vùng_biển,N,
phía,N,
Tây,Np,
như,C,
một,M,
chốt,N,
tiền_tiêu,A,
ven,N,
biển,N,
của,E,
Tổ_quốc,N,
.,F,
Người,Nc,
dân,N,
Cà_mau,N,
gọi,V,
Hòn,Np,
Đá_Bạc,Np,
là,V,
Con,Nc,
mắt,N,
ngọc,N,
của,E,
miền,N,
Tây,Np,
",",F,
ngoài,E,
ý,N,
tôn_vinh_vẻ,N,
đẹp,A,
của,E,
đảo,N,
còn,R,
có,V,
ý,N,
ví,V,
nơi,N,
đây,P,
như,C,
một,M,
con,Nc,
mắt,N,
tinh_tường,V,
canh_giữ,V,
một,M,
vùng_biển,N,
phía,N,
Tây,N,
của,E,
Tổ_quốc,N,
.,F,
Hòn,Nc,
Đá_Bạc,Np,
-,F,
Di_tích,N,
lịch_sử,N,
và,C,
danh_thắng,V,
nơi,N,
đất,N,
mũi,N,
Cà_MauNhững,N,
câu_chuyện,N,
truyền_thuyết,N,
về,E,
Hòn,Nc,
Đá,Np,
Bạc_xưa,Np,
",",F,
nay,P,
trong,E,
thời,N,
hiện_đại,V,
lại,R,
được,V,
tiếp_tục,V,
viết,V,
thêm,V,
bởi,E,
câu_chuyện,N,
có,V,
thật,A,
",",F,
huyền_thoại,N,
về,E,
công_tác,N,
bảo_vệ,V,
an_ninh,N,
của,E,
Tổ_quốc,N,
.,F,
Đó,P,
là,V,
câu_chuyện,N,
về,E,
chuyên_án,N,
CM12,Ny,
(,F,
Hai,M,
chữ_cái,N,
CM,Ny,
lấy,V,
hai,M,
chữ_cái,N,
đầu,N,
của,E,
Cà_Mau,Np,
",",F,
còn,R,
12,M,
là,V,
ngày,N,
xuất_phát,V,
của,E,
toán,N,
biệt_kích,N,
-,F,
12,M,
tháng,N,
5,M,
năm,N,
1981,M,
),F,
.,F,
Từ,E,
cuối,N,
những,L,
năm,N,
80,M,
của,E,
thế_kỷ,N,
trước,A,
",",F,
người,N,
Việt_Nam_ai,V,
cũng,R,
biết,V,
về,E,
vụ,N,
âm_mưu,N,
