Long_Sơn_tự,N,
được,V,
xây_dựng,V,
ở,E,
chân,N,
một,M,
ngọn,Nc,
núi,N,
nhỏ,A,
",",F,
có,V,
tên,N,
là,V,
Trại_Thủy,Np,
",",F,
nay,P,
là,V,
số,N,
nhà,N,
22,M,
",",F,
đường,N,
23,M,
tháng,N,
10,M,
",",F,
phường,N,
Phương_Sơn,Np,
",",F,
thành_phố,N,
Nha_Trang,Np,
.,F,
Ngôi,Np,
chùa,N,
có,V,
lịch_sử,N,
hơn,A,
một,M,
trăm,M,
năm,N,
",",F,
nhưng,C,
đã,R,
trải,V,
qua,V,
nhiều,A,
lần,N,
trùng_tu,V,
",",F,
tôn_tạo,N,
và,C,
mở_rộng,V,
",",F,
nên,C,
giờ_đây,P,
",",F,
quy_mô,N,
của,E,
nó,P,
khoảng,N,
trên,A,
10.000,M,
m2,Nu,
với,E,
cảnh_quan,N,
vừa,R,
uy_nghi,A,
",",F,
vừa,R,
ẩn,V,
mình,P,
",",F,
tĩnh_lặng,A,
trong,E,
cây,Nc,
lá,N,
",",F,
giữ,V,
được,R,
nét,N,
truyền_thống,N,
trong,E,
các,L,
ngôi,Nc,
chùa,N,
Việt,Np,
nói_chung,X,
và,C,
Nam_Trung_Bộ,Np,
nói_riêng,V,
.,F,
Chùa,Np,
Long_Sơn,Np,
được,V,
nhà_sư,N,
Ngô_Chí,Np,
",",F,
pháp_danh,N,
là,V,
Phổ_Trí,Np,
",",F,
danh,N,
xưng,N,
là,V,
Nguyễn_Tám,Np,
Văn_Nhi,Np,
xây_dựng,V,
.,F,
Ông,Nc,
theo,V,
dòng,N,
Lâm_tế,N,
-,F,
một,M,
dòng,Nc,
Thiền,Np,
phổ_biến,A,
và,C,
quan_trọng,A,
của,E,
Phật_giáo,N,
Việt_Nam,Np,
.,F,
Toàn_cảnh,N,
Chùa,Np,
Long,Np,
SơnNăm,V,
1886,M,
",",F,
khi,N,
mới,R,
khởi,V,
dựng,V,
",",F,
chùa,N,
chỉ,R,
là,V,
một,M,
am,N,
nhỏ,A,
bằng,E,
tranh,N,
",",F,
tre,N,
",",F,
nứa,N,
",",F,
lá,N,
như,C,
bao,P,
những,L,
ngôi,Nc,
nhà,N,
dân_dụng,N,
khác,A,
ở,E,
mỗi,M,
làng,N,
quê,N,
đất,N,
Việt,Np,
.,F,
Ngôi,Nc,
chùa,N,
khi,N,
ấy,P,
nằm,V,
ở,E,
đỉnh,N,
núi,N,
nhỏ,A,
Trại_Thủy,Np,
với,E,
tên,N,
Đằng,Np,
Long_tự,A,
",",F,
đến,E,
năm,N,
1900,M,
chùa,N,
bị,V,
tốc,V,
mái,N,
và,C,
sập,V,
đổ,V,
sau,E,
một,M,
cơn,Nc,
bão,N,
lớn,A,
",",F,
nên,C,
sư,N,
tổ,N,
đã,R,
chuyển,V,
xuống,V,
chân,N,
núi,N,
và,C,
đổi,V,
tên,N,
là,V,
Long_Sơn_tự,N,
.,F,
Ngày_nay,N,
",",F,
Long_Sơn_tự,N,
",",F,
cùng,C,
với,E,
chùa,N,
Hải_Đức,Np,
ở,E,
phía,N,
trên,A,
và,C,
chùa,N,
Bửu,Np,
Phong,Np,
ở,E,
phía,N,
Nam,Np,
",",F,
tạo,V,
nên,C,
một,M,
trung_tâm,N,
Phật_giáo,N,
có,V,
sức,N,
cuốn_hút,V,
du_khách,N,
đến,V,
vãng,V,
cảnh,N,
và,C,
lễ,N,
Phật,Np,
.,F,
Năm,N,
1936,M,
",",F,
theo,V,
di_nguyện,N,
của,E,
nhà_sư,N,
Ngộ_Chí,Np,
",",F,
chùa,N,
được,V,
tiến,V,
cúng,V,
cho,E,
Hội,N,
An_Nam_Phật,Np,
học,V,
làm,V,
trụ_sở,N,
chấn_hưng,E,
Phật_giáo,N,
tỉnh,N,
Khánh_Hòa,Np,
.,F,
Suốt,Np,
từ,E,
đó,P,
đến,E,
nay,P,
",",F,
đây,P,
vẫn,R,
là,V,
trụ_sở,N,
của,E,
Giáo_hội,N,
Phật_Giáo,Np,
địa_phương,N,
.,F,
Tượng,Np,
đức,V,
Phật_Thích_Ca_nhập,N,
Niết,Np,
bànNăm,V,
1941,M,
",",F,
Hội_trưởng,N,
An_Nam_Phật,Np,
học,V,
Tôn,Np,
Thất_Quyền,Np,
và,C,
phật,V,
tử,V,
Võ_Đình_Thụy,Np,
đã,R,
đứng,V,
ra,R,
quyên_góp,V,
các,L,
thiện,N,
nam,N,
",",F,
tín_nữ,N,
trong,E,
vùng,N,
",",F,
cùng,C,
với,E,
thiện,N,
tâm,N,
công_đức,N,
của,E,
hai,M,
vị,N,
",",F,
đã,R,
trùng_tu,V,
ngôi,Nc,
chùa,N,
này,P,
trên,E,
quy_mô,N,
tương_đối,R,
lớn,A,
.,F,
Tuy_nhiên,C,
",",F,
cho,E,
đến,E,
năm,N,
1975,M,
",",F,
việc,N,
mở_mang,V,
",",F,
xây_dựng,V,
",",F,
tôn_tạo,N,
vẫn,R,
mới,R,
chỉ,R,
được,V,
quá,R,
nửa,N,
so,V,
với,E,
những,L,
gì,P,
kiến_trúc_sư,N,
Võ_Đình,Np,
Diệp,Np,
thiết_kế,V,
.,F,
Kiến_trúc,N,
hiện_nay,N,
của,E,
ngôi,Nc,
chùa,N,
không,R,
có,V,
gì,P,
cổ_kính,A,
.,F,
Tuy_nhiên,C,
",",F,
sự,Nc,
hoành_tráng,A,
trong,E,
quy_mô,N,
xây_dựng,V,
",",F,
sự,Nc,
to_lớn,A,
của,E,
những,L,
pho,Nc,
tượng,N,
thờ,V,
ở,E,
nội,N,
và,C,
ngoại_thất,N,
",",F,
cùng,C,
với,E,
cảnh_quan,N,
thiên_nhiên,N,
đậm,A,
chất,N,
phong_thủy,N,
đã,R,
tạo,V,
nên,C,
sự,Nc,
nổi_tiếng,A,
và,C,
hấp_dẫn,V,
của,E,
ngôi,Nc,
chùa,N,
.,F,
Mặt_tiền,N,
Chùa,Np,
Long_SơnChính,V,
điện,N,
chùa,N,
rộng,A,
gần,A,
hai,M,
nghìn,N,
mét_vuông,A,
",",F,
thờ,V,
Phật_tổ,N,
.,F,
Đây,P,
là,V,
pho,N,
tượng,N,
bằng,E,
đồng,N,
cao,A,
"1,6",M,
m,Nu,
",",F,
nặng,A,
700kg,M,
",",F,
với,E,
tư_thế,N,
ngồi,V,
thuyết_pháp,A,
",",F,
uy_nghi,A,
và,C,
đường_bệ,N,
.,F,
Từ,E,
chùa,N,
",",F,
lên,V,
đỉnh,N,
núi,N,
nhỏ,A,
phải,V,
qua,V,
153,M,
bậc,N,
với,E,
một,M,
bức,Nc,
phù_điêu,N,
làm,V,
nền,N,
",",F,
diễn_tả,V,
cảnh,N,
49,M,
đệ_tử,N,
túc_trực,V,
niệm,N,
Phật,Np,
.,F,
Mặc_dù,C,
tổ_hợp,N,
này,P,
mới,R,
được,V,
xây_dựng,V,
năm,N,
2003,M,
",",F,
nhưng,C,
sự,Nc,
hoành_tráng,A,
và,C,
hài_hòa,A,
với,E,
tự_nhiên,A,
",",F,
đã,R,
tạo,V,
nên,C,
một,M,
điểm,N,
đến,V,
nữa,R,
của,E,
du_khách,N,
trong,E,
phức_hợp,N,
Long_Sơn_tự,V,
nói_riêng,N,
và,C,
ba,M,
ngôi,Nc,
chùa,N,
ở,E,
đây,P,
nói_chung,X,
.,F,
Cách,N,
tượng,N,
Phật,Np,
nằm,V,
5m,M,
là,C,
tháp,N,
chuông,N,
với,E,
Đại_hồng,N,
chung,A,
cao,A,
"2,2",M,
m,Nu,
",",F,
nặng,A,
1500kg,M,
do,E,
phật,V,
tử,V,
đất,N,
thần_kinh,N,
cung_tiến,V,
năm,N,
2002,M,
",",F,
cũng,R,
là,V,
một,M,
điểm,N,
nhấn,V,
nữa,R,
của,E,
kiến_trúc,V,
tổng_thể,N,
ngôi,Nc,
chùa,N,
.,F,
Chặng,Np,
cuối_cùng,A,
của,E,
153,M,
bậc,N,
cấp,N,
",",F,
trên,E,
đỉnh,N,
núi,N,
nhỏ,A,
Trại_Thủy,Np,
là,V,
bức,Nc,
tượng,N,
Kim_Thân,Np,
Phật_tổ,A,
",",F,
ngồi,V,
thuyết_pháp,A,
",",F,
cao,A,
24m,M,
",",F,
bệ,N,
sen,N,
cao,A,
7m,M,
trong,E,
một,M,
không_gian,N,
thoáng_đãng,A,
",",F,
rộng,A,
tầm,N,
nhìn,V,
",",F,
do,C,
vậy,P,
sự,Nc,
uy_nghi,A,
",",F,
hoành_tráng,A,
của,E,
tổ_hợp,N,
này,P,
càng,R,
làm,V,
cho,E,
du_khách,N,
muốn,V,
lên,V,
đây,P,
để,E,
chiêm,V,
bái,N,
",",F,
thưởng,V,
ngoạn,N,
và,C,
tận_hưởng,V,
không_khí,N,
trong_lành,A,
của,E,
núi_rừng,N,
và,C,
biển_cả,N,
.,F,
Tượng,Np,
Kim_Thân,Np,
Phật_tổ,V,
được,V,
xây_dựng,V,
năm,N,
