VĂN_MIẾU,Ny
–,V
QUỐC,Ny
TỬ,Ny
GIÁMVăn,Ny
Miếu,Np
xây_dựng,V
năm,N
1070,M
dưới,E
triều,N
Vua,Np
Lý_Thánh_Tông,Np
",",F
là,V
nơi,N
thờ,V
Khổng_Tử,Np
và,C
các,L
bậc,N
Tiên_Hiền,Np
",",F
Tiên_Nho,Np
.,F
Quốc_Tử_Giám,Np
xây_dựng,V
năm,N
1076,M
dưới,E
triều,N
Vua,Np
Lý_Nhân,Np
Tông,Np
",",F
là,V
trung_tâm,N
giáo_dục,V
lớn,A
nhất,A
Việt_Nam,Np
thời,N
quân_chủ,V
.,F
Trải,V
qua,V
gần,A
1000,M
năm,N
lịch_sử,N
",",F
Văn_Miếu,Np
-,F
Quốc_Tử_Giám,Np
không,R
chỉ,R
đào_tạo,V
ra,R
hàng,N
nghìn,V
các,L
bậc,N
đại_khoa,N
",",F
hiền_tài,N
có,V
nhiều,A
đóng_góp,N
tích_cực,A
cho,E
sự,Nc
phát_triển,V
của,E
đất_nước,N
mà,C
còn,R
là,V
nơi,N
hun_đúc,V
",",F
lưu_truyền,N
và,C
bảo_tồn,N
nhiều,A
truyền_thống,N
tốt_đẹp,A
của,E
dân_tộc,N
như,C
:,F
Hiếu_học,N
",",F
hiếu_nghĩa,N
",",F
tôn,N
sư,N
trọng,V
đạo,N
",",F
tôn_trọng,V
nhân_tài,N
…,F
Mặc_dù,C
đã,R
trải,V
qua,V
nhiều,A
lần,N
tu_sửa,V
nhưng,C
Di_tích,N
vẫn,R
giữ,V
được,R
dáng_vẻ,V
cổ_kính,V
với,E
đặc_điểm,N
kiến_trúc,N
của,E
nhiều,A
triều_đại,N
và,C
nhiều,A
hiện_vật,N
quí,A
như,C
:,F
Điện,N
Đại_Thành,Np
",",F
Khuê,Np
Văn,Np
Các,Np
",",F
82,M
bia,N
Tiến_sĩ,N
(,F
Di_sản,N
Tư_liệu,N
Thế_giới,N
),F
",",F
nghiên,V
mực,N
",",F
bút_lông,N
",",F
tượng,N
