Quảng_trường,N
Ba,Np
Đình,Np
xưa,A
là,V
cổng,N
phía,N
Tây,N
của,E
Kinh_thành,N
Thăng_Long,Np
với,E
dân_cư,N
đông_đúc,A
và,C
nhiều,A
làng_nghề,N
cổ,A
.,F
Thời,N
Pháp,Np
thuộc,V
khu,N
Ba_Đình,Np
là,V
nơi,N
đặt,V
trụ_sở,N
làm_việc,V
của,E
các,L
cơ_quan,N
hành_chính,N
Phủ,Np
Toàn_quyền,N
Pháp,Np
ở,E
Đông_Dương,Np
.,F
Dưới,E
thời,N
Chính_phủ,N
Trần_Trọng_Kim,Np
",",F
cùng,A
với,E
việc,N
đặt,V
tên,N
mới,R
cho,V
hàng,R
trăm,M
con,Nc
phố,N
ở,E
Hà_thành,N
mà,C
cho,E
đến,E
nay,P
vẫn,R
được,V
dùng,V
;,F
ở,E
phía,N
Bắc,Np
của,E
con,Nc
đường,N
",",F
nay,P
là,V
đường,N
Điện_Biên_Phủ,Np
có,V
một,M
bãi,Nc
đất,N
trống,A
cỏ,N
dại,A
mọc,V
có,V
tên,N
là,C
Poanh,Np
(,F
point,V
tức_là,X
một,M
điểm,N
),F
",",F
được,V
đặt,V
tên,N
là,C
Quảng_trường,N
Ba_Đình,Np
.,F
Sau,E
Cách_mạng,N
tháng,N
Tám,Np
1945,M
",",F
Chính_phủ,N
nước,N
Việt_Nam,Np
mới,R
cũng,R
đã,R
quyết_định,V
lấy,V
tên,N
cuộc,N
khởi_nghĩa,V
Ba_Đình,Np
",",F
một,M
trong,E
những,L
bản,Nc
anh_hùng_ca,N
chống,V
Pháp,Np
của,E
phong_trào,N
Cần_Vương,Np
để,E
đặt,V
tên,N
cho,E
khu,N
đất,N
đặc_biệt,A
này,P
của,E
Hà_Nội,Np
.,F
Sau,E
ngày,N
2,M
-,F
9,M
-,F
1945,M
các,L
phương_tiện,N
thông_tin,N
trong,A
và,C
ngoài,N
nước,N
đã,R
đồng_loạt,V
đưa,V
tin,N
:,F
Ngày,N
2,M
-,F
9,M
-,F
1945,M
tại,E
Quảng_trường,N
Ba_Đình,Np
",",F
Hà_Nội,Np
",",F
Chủ_tịch,N
Hồ_Chí_Minh,Np
đã,R
đọc,V
bản,N
Tuyên_ngôn,V
Độc_lập,N
",",F
khai_sinh,V
ra,V
nước,N
Việt_Nam,Np
Dân_chủ,V
Cộng_hòa,N
.,F
Sau,E
thời_điểm,N
đó,P
Quảng_trường,N
còn,R
có,V
tên,N
là,V
Quảng_trường,N
Độc_lập,N
.,F
Trong,E
thời_kỳ,N
kháng_chiến,V
chống,V
Pháp,Np
",",F
Quảng_trường,V
Ba_Đình,Np
còn,R
có,V
tên,N
là,V
Hồng_Bàng,Np
.,F
Từ,E
ngày,N
1,M
-,F
1,M
-,F
1955,M
cuộc,N
mít_tinh,V
trọng_thể,V
đón,V
mừng,V
Bác,Np
Hồ,Np
",",F
Trung_ương,N
Đảng,Np
và,C
Chính_phủ,N
trở,V
về,E
Thủ_đô,N
Hà_Nội,Np
",",F
nơi,N
đây,P
lại,R
được,R
gọi,V
là,C
Quảng_trường,N
Ba_Đình,Np
.,F
Sau,E
sự_kiện,N
Bác,Np
Hồ,Np
đọc,V
Tuyên_ngôn,N
Độc_lập,V
ngày,N
2,M
-,F
9,M
-,F
1945,M
thì,C
cuộc,N
mít_tinh,V
trọng_thể,V
ngày,N
1,M
-,F
1,M
-,F
1955,M
là,V
sự_kiện,N
trọng_đại,N
thứ,N
hai,M
của,E
