Làng,N,
Đông_Cứu,Np,
nằm,V,
bên,N,
bờ,Nc,
sông,N,
Nhuệ,Np,
",",F,
đây,P,
là,V,
một,M,
tụ_cư,N,
có,V,
từ,E,
rất,R,
lâu_đời,A,
",",F,
được,V,
hình_thành,V,
lên,V,
sau,E,
những,L,
cuộc,N,
khai_hoang,V,
lấn,V,
biển,N,
và,C,
bồi_đắp,N,
tự_nhiên,A,
của,E,
dòng,N,
sông,N,
Hồng,Np,
.,F,
Dấu_tích,N,
địa_lý,N,
",",F,
văn_hóa,N,
của,E,
tổng,N,
Đông_Cứu,Np,
",",F,
tổng,N,
La_Phù,Np,
",",F,
dòng_chảy,N,
sông,N,
Nhuệ,Np,
",",F,
địa_hình,N,
thổ_nhưỡng,N,
...,F,
đã,R,
khẳng_định,V,
điều,N,
đó,P,
.,F,
Đặc_biệt,A,
là,C,
truyền_thống,N,
văn_hóa,N,
và,C,
tục,N,
thờ,V,
thành_hoàng,N,
làng,N,
ở,E,
Đông_Cứu,Np,
có,V,
nhiều,A,
đặc_điểm,N,
đáng,V,
chú_ý,V,
và,C,
phải,V,
có,V,
những,L,
nghiên_cứu,Nc,
khoa_học,N,
nghiêm_túc,V,
thì,C,
chắc_chắn,A,
việc,N,
tìm_hiểu,V,
",",F,
đánh_giá,V,
lịch_sử,N,
về,E,
làng,N,
Đông_Cứu,Np,
sẽ,R,
có,V,
những,L,
căn_cứ,N,
chính_xác,A,
hơn,A,
.,F,
Đình,Np,
làng,N,
Đông_Cứu,Np,
(,F,
Ảnh,Np,
hatvan,V,
.,F,
vn,Np,
),F,
Thành_hoàng,V,
làng,N,
Đông_Cứu,Np,
là,V,
ba,M,
vị,Nc,
anh_hùng,N,
có,V,
công,N,
đánh,V,
giặc,N,
chống,V,
Tống,Np,
",",F,
những,L,
người,N,
anh_hùng,N,
ấy,P,
không,R,
phải,V,
ai,P,
khác,A,
mà,C,
chính,T,
là,V,
những,L,
người,N,
con,Nc,
dân,N,
của,E,
làng,N,
",",F,
sinh,V,
ra,V,
và,C,
lớn,A,
lên,V,
từ,E,
đây,P,
rồi,C,
ra,V,
đi,V,
đánh,V,
giặc,N,
và,C,
được,V,
nhân_dân,N,
tôn_thờ,V,
làm,V,
Thành_Hoàng,Np,
.,F,
Đây,P,
cũng,R,
là,V,
một,M,
trường_hợp,N,
hy_hữu,N,
",",F,
ở,E,
Việt_Nam,Np,
ít,A,
có,V,
nơi,N,
nào,P,
mà,C,
Thành_Hoàng,Np,
lại,R,
