Chùa,N
được,V
mở_rộng,V
từ,E
năm,N
Hội,N
Tường,Np
Đại_Khánh,Np
thứ,N
9,M
(,F
1118,M
),F
đến,E
mùa,Nc
thu,N
",",F
niên_hiệu,N
Thiên_Phù_Duệ_Vũ,Np
thứ,N
2,M
(,F
1121,M
),F
thì,C
hoàn_thành,V
.,F
Ngày,N
khánh_thành,V
",",F
đích_thân,P
vua,N
Lý_Nhân,Np
Tông,Np
xuống,V
đặt,V
tên,N
cho,E
núi,N
là,V
Long_Đội,Np
và,C
cho,E
tòa,N
bảo_tháp,N
là,V
Sùng,Np
Thiện,Np
Diên_Linh,Np
.,F
Như_vậy,X
",",F
ngay,R
từ,E
lúc,N
xây_dựng,V
",",F
tháp,N
Sùng,Np
Thiện,Np
Diên_Linh,Np
đã,R
là,V
linh_hồn,N
",",F
là,C
kiến_trúc,V
trung_tâm,N
cho,E
toàn_bộ,N
ngôi,Nc
chùa,N
mà,C
những,L
đơn_nguyên,N
khác,A
",",F
chỉ,R
giữ,V
chức_năng,N
như,C
hành,V
cung,N
.,F
Thế,T
nhưng,C
",",F
suốt,A
từ,E
đó,P
",",F
ngôi,Nc
chùa,N
và,C
tháp,N
luôn,R
bị,V
tàn_phá,V
.,F
Nặng_nề,A
nhất,A
là,V
năm,N
1407,M
",",F
giặc,N
Minh,Np
đã,R
hủy_hoại,V
toàn_bộ,N
chùa,N
tháp,N
",",F
đập,V
vỡ,V
bia,N
",",F
khiến,V
cho,E
nơi,N
đây,P
hoang_tàn,N
",",F
để,E
mãi,V
tới,E
năm,N
1591,M
",",F
mới,R
được,V
tái_dựng,N
",",F
do,E
một,M
quan,N
đầu,N
huyện,N
kêu_gọi,V
dân,N
các,L
thôn,N
quanh,N
vùng,N
công_đức,N
dựng,V
lại,R
bia,N
đổ,V
",",F
bắc,V
lại,R
xà,V
nhà,N
",",F
dựng,V
lại,R
tượng,N
",",F
“,F
khiến,V
cho,V
sau,E
hơn,A
500,M
năm,N
",",F
một,M
nơi,N
thắng_cảnh,N
trong,E
chốn,N
tùng,V
lâm,V
lại,R
được,V
mới_mẻ,N
”,F
(,F
văn_bia,N
mặt,N
sau,E
Sùng,Np
Thiện,Np
Diên_Linh,Np
),F
.,F
Sang,V
thời,N
Nguyễn,Np
",",F
chùa,N
chỉ,R
có,V
những,L
tu_sửa,N
nhỏ,A
",",F
tập_trung,V
chủ_yếu,A
vào,E
thời,N
Tự_Đức,Np
.,F
Năm,Np
1860,M
sửa,V
thượng_điện,N
",",F
gác_chuông,N
",",F
tam_quan,N
",",F
xây,V
Trường_Hạ,A
100,M
gian,N
làm,V
nơi,N
dậy,V
học,V
.,F
1864,M
sửa,V
hành_lang,N
",",F
đúc,V
tượng,N
Di_Lặc,Np
",",F
khánh,N
và,C
chuông,N
đồng,N
.,F
Chùa,Np
Long,Np
Đọi_Sơn,Np
hay,C
còn,R
gọi,V
là,C
chùa,N
Đọi,Np
có,V
tên_chữ,N
Diên,Np
Linh_Tự,Np
nằm,V
trên,E
đỉnh,N
núi,N
Đọi,Np
.,F
(,F
Ảnh,Np
:,F
TL,Ny
),F
Năm,N
1947,M
",",F
chùa,N
lại,R
một,M
lần,N
nữa,R
bị,V
giặc,N
Pháp,Np
phá_hủy,V
",",F
mãi,R
tới,T
1957,M
