Chùa,N
Am,Np
do,E
Hoàng_hậu,N
Bạch_Ngọc,Np
khởi,V
dựng,V
từ,E
nửa,N
đầu,N
thế_kỷ,N
15,M
làm,V
nơi,N
tu_hành,V
cùng,A
con_gái,N
là,V
Công_chúa,N
Huy_Chân,Np
và,C
cháu,N
ngoại,A
là,V
Công_chúa,N
Trang,Nc
Từ,Np
.,F
Theo,E
các,L
tài_liệu,N
thư_tịch,V
cũ,A
chép,V
thì,C
Hoàng_hậu,N
Bạch_Ngọc,Np
tên,N
thật,A
là,V
Trần_Thị_Ngọc_Hào,Np
",",F
người,N
làng,N
Tri_Bản,Np
",",F
xã,N
Thổ_Hoàng,Np
(,F
nay,P
là,V
xã,N
Hòa_Hải,Np
",",F
huyện,N
Hương_Khê,Np
-,F
Hà_Tĩnh,Np
),F
được,V
Vua,Np
Trần_Duệ_Tông,Np
(,F
1373,M
-,F
1377,M
),F
tuyển,V
làm,V
Cung,Np
phi,V
và,C
sinh,V
hạ,V
Công_chúa,N
Trần_Thị_Ngọc_Hiên,Np
",",F
tước,V
vị,Nc
Huy_Chân,Np
Công_chúa,V
.,F
Năm,N
1400,M
",",F
Hồ,Np
Quý_Ly,Np
cướp,V
ngôi,Nc
nhà,N
Trần,Np
",",F
quân,N
Minh,Np
mượn,V
cớ,N
“,F
phù,V
Trần_diệt,N
Hồ,Np
”,F
kéo,V
quân,N
xâm_lược,V
nước,N
ta,P
.,F
Hoàng_hậu,N
Bạch_Ngọc,Np
cùng,V
gia,N
nhân,V
",",F
tôi,P
tớ,V
gồm,V
572,M
người,N
bỏ,V
trốn,V
khỏi,V
Kinh_thành,N
tìm,V
về,E
quê_hương,N
bản,Nc
quán,N
ẩn_náu,V
",",F
lập_nghiệp,V
.,F
Họ,P
chọn,V
vùng,N
Cốc_Sơn,Np
",",F
Trà_Sơn,Np
để,E
định_cư,V
",",F
chiêu,N
dụ,V
dân_chúng,N
đến,E
đây,P
khai_hoang,V
lập,V
làng,N
",",F
phát_triển,V
sản_xuất,V
.,F
Sau,E
nhiều,A
năm,N
kiên_trì,A
làm_lụng,V
vất_vả,A
",",F
một,M
trang_trại,N
rộng,A
tới,E
3.965,M
mẫu,N
được,V
khai_phá,V
với,E
khoảng,N
3.000,M
người,N
chia,V
làm,V
4,M
điểm,N
gồm,V
Lại,R
Sơn,Np
",",F
Ngũ_Khê,Np
",",F
Hằng,Np
Nga,Np
và,C
Tùng,Np
Chinh,Np
là,V
những,L
đơn_vị,N
hành_chính,N
tương_đương,A
một,M
vùng,N
địa_dư,N
rộng_lớn,A
nay,P
thuộc,V
huyện,N
Vũ_Quang,Np
",",F
Đức_Thọ,Np
và,C
Can_Lộc,Np
.,F
Hoàng_hậu,N
còn,V
dựng,V
vợ,N
gả,V
chồng,N
cho,E
các,L
gia,N
nhân,V
và,C
cung,N
nữ,N
rồi,C
lấy,V
tên,N
hai,M
cặp,M
vợ_chồng,N
đặt,V
tên,N
cho,E
hai,M
làng,N
Kính,Np
-,F
Kỵ,Np
và,C
Trung,Np
-,F
Phạm,Np
đến,E
nay,P
vẫn,R
giữ,V
nguyên,A
những,L
địa_danh,N
ấy,P
.,F
Khi,N
Lê_Lợi_dấy,V
binh,N
khởi_nghĩa,V
và,C
kéo,V
quân,N
vào,E
lập,V
căn_cứ,N
Đỗ_Gia,Np
ở,E
huyện,N
Hương_Sơn,Np
",",F
nghĩa_quân,N
tình_cờ,A
phát_hiện,V
trang_trại,N
của,E
Hoàng_hậu,N
Bạch_Ngọc,Np
.,F
Biết,V
rõ,A
sự_tình,N
",",F
tướng,N
Bùi,Np
Bị,V
liền,R
dẫn,V
Hoàng_hậu,N
và,C
Công_chúa,N
Huy_Chân,Np
yết_kiến,V
chủ,N
tướng,N
.,F
Hoàng_hậu,N
xin,V
hiến,V
tất_cả,P
lương_thực,N
",",F
tiền,N
của,E
",",F
nhân_lực,N
và,C
trang_trại,N
xây_dựng,V
trong,E
nhiều,A
năm,N
cho,E
nghĩa_quân,N
Lam_Sơn,Np
góp_phần,V
giúp,V
nghĩa_quân,V
liên_tục,A
đánh,V
thắng,V
quân,N
Minh,Np
trong,E
nhiều,A
trận,N
ở,E
vùng,N
Nghệ_An,Np
",",F
Hà_Tĩnh,Np
",",F
Quảng_Bình,Np
.,F
Lê_Lợi,Np
lấy,V
Huy_Chân,Np
làm,V
cung,N
phi_sinh,V
ra,V
Lê_Thị_Ngọc_Châu,Np
",",F
tước,V
vị,Nc
Trang,Np
Từ,E
Công_chúa,N
.,F
Sau,E
đại_thắng,N
Chi_Lăng,Np
-,F
Xương_Giang,Np
tiêu_diệt,V
toàn_bộ,N
quân,N
Minh,Np
xâm_lược,V
",",F
Lê_Lợi,Np
lên_ngôi,V
vua,N
mở_đầu,V
Triều_Lê_Sơ,Np
.,F
Hoàng_hậu,N
Bạch_Ngọc,Np
xin,V
Nhà_vua,V
cho,E
lập,V
chùa,N
Am,Np
để,E
tu_hành,V
với,E
cả,P
Công_chúa,N
Huy_Chân,Np
.,F
Công_chúa,N
Trang,Nc
Từ,Np
lấy,V
