Trong,E,
núi,N,
Trầm,Np,
có,V,
động,N,
lớn,A,
",",F,
còn,C,
thấp_thoáng,V,
dấu,N,
tích,V,
của,E,
người,N,
nguyên,V,
thủy,N,
và,C,
người,N,
Việt_cổ,V,
thuở,N,
từ,E,
hang_động,N,
bước,V,
ra,V,
dựng,V,
cõi,V,
.,F,
Bức,Np,
đại_tự,V,
trên,E,
cửa,N,
khắc,V,
nổi,R,
lên,V,
đá,N,
ba,M,
chữ,N,
:,F,
“,F,
Long_Tiên,V,
động,N,
“,F,
.,F,
Án_ngữ,V,
cửa,N,
hang,N,
là,V,
con,Nc,
rùa,N,
đá,V,
to_lớn,A,
",",F,
trên,E,
mai,N,
khắc,V,
một,M,
bài,Nc,
thơ,N,
cổ,A,
.,F,
Trong,E,
lòng,N,
hang,N,
Trầm,Np,
lưu_trữ,A,
một,M,
kho,N,
cổ_vật,A,
",",F,
bốn_mươi,N,
tám,M,
pho,Nc,
tượng,N,
đá,N,
thời,N,
Lê,Np,
được,V,
chạm_khắc_tinh_xảo,V,
công_phu,A,
từ,E,
chính,T,
những,L,
tảng,Nc,
đá,N,
thiên_nhiên,N,
sẵn,A,
có,V,
trong,E,
hang_động,N,
",",F,
mỗi,M,
pho,Nc,
tượng,N,
mang,V,
một,M,
vẻ,N,
đẹp,A,
tâm_linh,N,
của,E,
các,L,
Đức_Phật,Np,
",",F,
La_hán,N,
",",F,
Thập_điện,V,
Diêm_vương,N,
và,C,
các,L,
võ_sĩ,N,
thời,N,
cổ,A,
.,F,
Cây,Nc,
hương,N,
đá,V,
trước,E,
bàn_thờ,N,
Phật,Np,
được,V,
tạc,V,
trổ,V,
tinh_vi,A,
vào,E,
năm,N,
1696,M,
",",F,
niên_đại,N,
năm,N,
Chính_Hòa,Np,
thứ,N,
17,M,
.,F,
Trên,E,
vòm,N,
hang,N,
là,V,
muôn,N,
hình_thù,N,
kỳ_lạ,A,
của,E,
nhũ,N,
thạch,N,
triệu,M,
năm,N,
",",F,
được,V,
tưới_tắm,N,
bởi,E,
ánh_sáng,N,
từ,E,
trên,E,
đỉnh,N,
núi,N,
dội,V,
xuống,V,
",",F,
khiến,V,
cho,E,
cảnh_vật,N,
huyền_ảo,A,
như,C,
chốn,N,
bồng,V,
lai,A,
.,F,
Cổ_vật,V,
quý_báu,N,
trong,E,
hang,N,
còn,R,
là,V,
15,M,
bài,Nc,
thơ,N,
Nôm,Np,
của,E,
các,L,
danh,N,
sĩ,V,
từ,E,
cổ,N,
chí,N,
kim,N,
khắc,V,
vào,E,
vách,N,
đá,N,
ngợi_ca_thán_phục,A,
.,F,
Chùa_Trầm,Np,
(,F,
Ảnh,Np,
:,F,
TL,Ny,
),F,
Chính,T,
tại,E,
động,N,
Long_Tiên,Np,
này,P,
đã,R,
phát,V,
đi,V,
Lời,Np,
kêu_gọi,V,
toàn_quốc,N,
kháng_chiến,V,
của,E,
Hồ_Chủ_tịch,N,
.,F,
Mùa,Nc,
đông,N,
năm,N,
1946,M,
",",F,
thực_dân,N,
Pháp,Np,
tái_chiếm,V,
Hà_Nội,Np,
.,F,
Đài_Tiếng_nói,N,
Việt_Nam,Np,
sơ_tán,V,
về,E,
chùa,N,
Trầm,Np,
",",F,
đặt,V,
trụ_sở,N,
phát_sóng,V,
tại,E,
đây,P,
.,F,
Chủ_tịch,N,
Hồ_Chí_Minh,Np,
về,V,
làng,N,
Vạn_Phúc,Np,
",",F,
Bác,Np,
đã,R,
viết,V,
“,F,
Lời,N,
kêu_gọi,V,
toàn_quốc,N,
kháng_chiến,V,
“,F,
",",F,
để,E,
rồi,C,
Đài_Tiếng_nói,N,
Việt_Nam,Np,
phát_thanh,V,
bản,N,
“,F,
hịch,N,
“,F,
hào_hùng,N,
từ,E,
đỉnh,N,
núi,N,
Trầm,Np,
đến,V,
với,E,
đồng_bào,N,
cả,P,
nước,N,
vào,E,
ngày,N,
19,M,
-,F,
12,M,
-,F,
1946,M,
.,F,
Cũng,R,
tại,E,
nơi,N,
này,P,
",",F,
Tết_Nguyên,Np,
Đán,Np,
năm,N,
Đinh_Hợi,Np,
1947,M,
",",F,
Chủ_tịch,N,
Hồ_Chí_Minh,Np,
đã,R,
khai_bút,V,
bằng,E,
đôi,M,
câu_đối,N,
:,F,
“,F,
Kháng_chiến,V,
tất,N,
thắngKiến,V,
quốc,N,
tất,V,
thành,V,
”,F,
Năm,N,
1966,M,
",",F,
Người,N,
trở_lại,V,
thăm,V,
núi,N,
Trầm,Np,
",",F,
tặng,V,
thắng,V,
tích,Nc,
Tử,Np,
Trầm,Np,
đôi,M,
câu_đối,N,
:,F,
“,F,
Cao_sơn,N,
hữu_ý,A,
thiên_niên,N,
bút,N,
/,F,
Lưu_thủy,N,
vô_thanh,V,
vạn_cổ,N,
cầm,V,
”,F,
Tổ_hợp,N,
danh_thắng,N,
Tử_Trầm,Np,
",",F,
bên,N,
cạnh,N,
núi_non,N,
",",F,
hang_động,N,
",",F,
không_thể,R,
bỏ,V,
sót,N,
quần_thể,N,
cổ_tự,N,
.,F,
Thời,N,
Tiền,N,
Lê,Np,
",",F,
một,M,
tướng_lĩnh,N,
nhà,N,
Đinh,Np,
đã,R,
về,V,
trí,N,
sĩ,V,
và,C,
dựng,V,
chùa,N,
dưới,E,
chân,N,
núi,N,
Trạo,Np,
.,F,
Đến,E,
thời,N,
Trần,Np,
",",F,
chùa,N,
Trai,Np,
Linh,Np,
được,V,
dựng,V,
ngang,A,
lưng,N,
núi,N,
Vô_Vi,Np,
",",F,
cách,N,
núi,N,
Trầm,A,
200m,M,
.,F,
Năm,N,
1514,M,
(,F,
Hồng_Thuận,Np,
thời,N,
Lê,Np,
),F,
",",F,
nhân_dân,N,
xây_dựng,V,
chùa,N,
Vô_Vi,Np,
trên,E,
đỉnh,N,
núi,N,
",",F,
bên,N,
ngách,N,
đá,N,
có,V,
gác,N,
nghênh,V,
phong,N,
",",F,
từ,E,
đây,P,
có_thể,R,
phóng,V,
tầm_mắt,N,
ra,V,
xa,A,
ngắm,V,
nhìn,V,
bốn_phương,N,
.,F,
Trên,E,
đường,N,
từ,E,
núi,N,
Trầm,Np,
sang,V,
chùa,N,
Vô_Vi,Np,
",",F,
ta,P,
ghé,V,
Quan_Âm,Np,
viện,N,
nằm,V,
kề,V,
ven,N,
đường,N,
",",F,
áp,V,
sát,A,
chân,N,
núi,N,
",",F,
đây,P,
là,V,
am,N,
do,E,
Chúa_Trịnh,Np,
cho,V,
xây_dựng,V,
thời,N,
Vua,Np,
Lê_Hy_Tông,Np,
(,F,
1676,M,
-,F,
1705,M,
),F,
để,E,
cho,E,
các,L,
bà,N,
Phi_học,V,
kinh,N,
Phật,Np,
trước,E,
khi,N,
vào,V,
lễ,N,
chùa,N,
.,F,
Động,Np,
Long_Tiên,Np,
(,F,
Ảnh,Np,
:,F,
TL,Ny,
),F,
Vượt,V,
qua,R,
gần,A,
trăm,M,
bậc,N,
