Tính,V,
đến,E,
nay,P,
",",F,
qua,V,
4,M,
đợt,N,
xếp_hạng,V,
",",F,
Hà_Nội,Np,
chiếm,V,
9,M,
/,F,
48,M,
di_tích,N,
quốc_gia,N,
đặc_biệt,A,
của,E,
cả,P,
nước,N,
.,F,
Việc,N,
phân_cấp,V,
quản_lý,V,
các,L,
di_tích,N,
quốc_gia,N,
đặc_biệt,A,
trên,E,
địa_bàn,N,
Hà_Nội,Np,
hiện,N,
đang,R,
được,V,
thực_hiện,V,
như,C,
sau,N,
:,F,
-,F,
Khu_Di_tích,V,
Chủ_tịch,N,
Hồ_Chí_Minh,Np,
tại,E,
Phủ,Np,
Chủ_tịch,N,
do,E,
Bộ,Np,
Văn_hóa,N,
",",F,
Thể_thao,N,
và,C,
Du_lịch,N,
quản_lý,V,
;,F,
-,F,
Di_tích,N,
lịch_sử,N,
và,C,
khảo_cổ,V,
Khu_Trung_tâm,N,
Hoàng_thành,N,
Thăng_Long,Np,
và,C,
Di_tích,N,
lịch_sử,N,
kiến_trúc,V,
nghệ_thuật,N,
và,C,
Khảo_cổ,Nc,
Cổ_Loa,Np,
do,E,
Trung_tâm,N,
Bảo_tồn,V,
Di_sản,N,
văn_hoá,N,
Thăng_Long,Np,
-,F,
Hà_Nội,Np,
trực_thuộc,V,
UBND,Ny,
thành_phố,N,
tổ_chức,V,
quản_lý,V,
;,F,
-,F,
Di_tích,N,
lịch_sử,N,
và,C,
kiến_trúc,V,
nghệ_thuật,N,
Văn_Miếu,Np,
-,F,
Quốc_Tử_Giám,Np,
do,E,
Trung_tâm,N,
Hoạt_động,V,
Khoa_học,N,
Văn_Miếu,Np,
-,F,
Quốc_Tử_Giám,Np,
thuộc,V,
Sở,N,
Văn_hóa,N,
",",F,
Thể_thao,N,
và,C,
Du_lịch,N,
quản_lý,V,
;,F,
-,F,
Di_tích,N,
lịch_sử,N,
và,C,
danh_lam,V,
thắng_cảnh,N,
hồ,N,
Hoàn_Kiếm,Np,
và,C,
đền,Nc,
Ngọc_Sơn,Np,
do,E,
Ban,Np,
Quản_lý,V,
Di_tích,N,
Danh_thắng,V,
Hà_Nội_thuộc,N,
Sở,N,
Văn_hóa,N,
",",F,
Thể_thao,N,
và,C,
Du_lịch,N,
tổ_chức,V,
quản_lý,V,
.,F,
-,F,
Di_tích,N,
lịch_sử,N,
đền,V,
Hai,M,
Bà,Nc,
Trưng,Np,
(,F,
huyện,N,
Mê_Linh,Np,
),F,
do,E,
Ban,Np,
Quản_lý,V,
di_tích,N,
Đền,Np,
Hai,M,
Bà,Nc,
Trưng,Np,
thuộc,V,
huyện,N,
Mê_Linh,Np,
tổ_chức,V,
quản_lý,V,
;,F,
-,F,
Các,L,
di_tích,N,
:,F,
Đình_Tây_Đằng,Np,
",",F,
đền,V,
Hát_Môn,Np,
và,C,
đền,Nc,
Phù_Đổng,Np,
do,E,
Ban,Np,
Quản_lý,V,
Di_tích,N,
thuộc,V,
cấp,N,
xã,N,
trực_tiếp_quản_lý,V,
.,F,
