Làng,N,
Tam_Đường,Np,
(,F,
Thái,Np,
Đường,Np,
),F,
-,F,
nơi,N,
dấy,V,
nghiệp,N,
vương_triều,N,
TrầnTam,N,
Đường,Np,
-,F,
Hưng,Np,
Hà,Np,
vốn,R,
là,V,
một,M,
vùng_đất,N,
cổ_xưa,A,
của,E,
tỉnh,N,
Thái_Bình,Np,
",",F,
được,V,
hình_thành,V,
trong,E,
thời_kỳ,N,
văn_hóa,N,
Đông_Sơn,Np,
.,F,
Từ,E,
xa_xưa,A,
",",F,
người,N,
Việt_cổ,N,
đã,R,
đến,V,
đây,P,
dựa,V,
gò_đống,N,
để,E,
sinh_sống,V,
bằng,E,
nghề,N,
đánh_cá,V,
và,C,
trồng,V,
lúa,N,
Lốc,Np,
(,F,
loại,Nc,
lúa,N,
chỉ,R,
trồng,V,
trên,E,
đất,N,
gò,N,
…,F,
),F,
.,F,
Đất,N,
Ngự_Thiên,Np,
(,F,
phủ,V,
Long_Hưng,Np,
),F,
xưa,N,
được,V,
dân_gian,N,
truyền_tụng,N,
là,V,
đất,N,
mả,N,
sao,P,
.,F,
Chính,T,
vì_thế,X,
",",F,
còn,C,
có,V,
tên,N,
là,V,
hương,N,
Tỉnh,Np,
Cương,Np,
(,F,
Tỉnh,Np,
có_nghĩa_là,V,
ngôi_sao,N,
",",F,
Cương,Np,
là,V,
các,L,
gò,Nc,
đất,N,
nổi,V,
lên,V,
cao,A,
),F,
.,F,
Như,C,
đã,R,
biết,V,
",",F,
tổ_tiên,N,
nhà,N,
Trần,Np,
vốn,R,
làm,V,
nghề,N,
đánh_cá,V,
từ,E,
đất,N,
Đông_Triều,Np,
(,F,
tỉnh,N,
Quảng_Ninh,Np,
),F,
.,F,
Đến,E,
đời,N,
Trần_Kình,Np,
thì,C,
chuyển,V,
về,E,
Tức_Mặc,Np,
(,F,
tỉnh,N,
Nam_Định,Np,
),F,
và,C,
qua_đời,V,
ở,E,
đó,P,
.,F,
Con_trai,N,
Trần_Kình,Np,
là,V,
Trần_Hấp,Np,
chuyển,V,
gia_đình,N,
về,E,
sinh_sống,V,
ở,E,
làng,N,
Thái,Np,
Đường,Np,
",",F,
Long_Hưng,Np,
(,F,
nay,P,
là,V,
làng,N,
Tam_Đường,Np,
",",F,
xã,N,
Tiến_Đức,Np,
",",F,
huyện,N,
Hưng_Hà,Np,
),F,
làm,V,
nghề,N,
đánh_cá,V,
và,C,
làm_ruộng,V,
.,F,
Theo,V,
truyền_thuyết,N,
:,F,
Thời,N,
ấy,P,
",",F,
có,V,
