Bên,N
cạnh,N
những,L
di_tích,N
lịch_sử,N
",",F
văn_hóa,N
rất,R
nổi_tiếng,A
như,C
bãi,Nc
cát,N
chỗ,N
Tiên,Np
Dung,Np
tắm,V
rồi,R
trồi,V
lên,V
chàng,Nc
Chử,Np
Đồng_Tử,Np
ở_trần,V
đang,R
vùi,V
mình,P
ở,E
đó,P
;,F
cây,Nc
gạo,N
già,A
vài,L
trăm,M
tuổi,N
dấu,N
tích,V
thuyền_rồng,V
ngự,N
dội,V
;,F
hai,M
ngôi,Nc
đình,N
cổ,A
(,F
đình,N
Thượng,Np
",",F
đình,N
Hạ,Np
),F
thờ,V
Công_chúa,N
Tiên_Dung,Np
",",F
Công_chúa,N
Hồng_Vân,Np
và,C
Thánh,Np
;,F
cửa_sông,N
Hàm_Tử_chiến_trận,N
của,E
nhà,N
Trần_đánh,N
thắng,V
quân,N
Nguyên,Np
;,F
Chợ,N
Mới,Np
Ông_Già,Np
chỗ,N
cha,N
con,Nc
Chử,Np
Cù_Vân,Np
ngồi,V
bán,V
cá,N
thuở,N
hàn_vi,A
",",F
để,E
rồi,C
từ,E
đó,P
khi,N
có,V
được,V
sự,Nc
đạt,V
thành,V
tu_luyện,N
khổ,A
đạo,N
thành_công,N
",",F
Chử,Np
Đồng_Tử,Np
mở_mang,V
buôn_bán,V
",",F
giao_thương,V
với,E
các,L
nước,N
láng_giềng,A
và,C
nghiễm_nhiên,N
ông,N
được,V
coi,V
như,C
là,V
Tổ_sư,N
của,E
ngành,N
thương_mại,N
nước,N
ta,P
.,F
Làng,N
Tự_Nhiên,Np
còn,R
có,V
một,M
di_tích,N
minh,V
chứng,N
cho,E
nền,N
văn_hiến,N
",",F
truyền_thống,N
hiếu_học,N
của,E
người,N
Việt_Nam,Np
nói_chung,X
và,C
của,E
cộng_đồng,N
dân_cư,N
các,L
thế_hệ,N
nối_tiếp,N
trong,E
làng,N
nói_riêng,A
",",F
đó,P
là,V
Di_tích,N
Văn_Chỉ,Np
thờ,V
Khổng_Tử,Np
.,F
Căn_cứ,V
vào,E
tấm,Nc
bia,N
đá,N
“,F
Từ,E
Vũ,Np
Bi_Ký,Np
”,F
hiện,N
đang,R
được,V
lưu_giữ,V
tại,E
tòa_thiêu,N
hương,N
",",F
bia,N
nói,V
về,E
việc,N
lập,V
dựng,V
và,C
tái_tạo,Nc
Văn_Chỉ,Np
.,F
Vào,E
năm,N
Canh_Thìn,Np
(,F
1700,M
),F
",",F
có,V
một,M
người,N
bát,N
nhã,N
đã,R
tự_nguyện,V
đo,V
đất,N
mở,V
vườn,N
tư,V
gia,N
",",F
dựng,V
đền,V
tạc,Nc
tượng,N
",",F
xuân,N
thu,V
thờ_phụng,N
",",F
lễ,N
tiết,V
sắm_sanh,A
.,F
37,M
năm,N
sau,A
",",F
do,E
mưa_nắng,N
dãi_dầu,V
và,C
có_thể,A
bởi,E
ban_đầu,N
vật_liệu,N
dựng,V
đền,R
chỉ,R
là,V
tre,N
",",F
lá,N
…,F
nên,C
dễ,A
bị,V
hỏng,V
nát,A
.,F
Ngày,N
20,M
tháng,N
11,M
năm,N
Bính_Thìn,Np
(,F
1736,M
),F
nhân_dân,N
trong,E
làng,N
di_dời,V
đền,V
đến,E
chỗ,N
hiện_nay,N
và,C
xây_dựng,V
lại,R
với,E
quy_mô,N
ba,M
gian,N
bằng,E
gỗ,N
lim,A
",",F
xây,V
thêm,V
sảnh,N
đường,N
",",F
quy_mô,V
thứ_tự,N
.,F
Tòa_thánh,V
vương,N
ngay_ngắn,A
mặt,N
nhìn,V
về,E
hướng,Nc
Tây,Np
",",F
lưng,N
tựa,V
vào,E
sông,N
Nhĩ_Hà,Np
(,F
sông,N
Hồng,Np
),F
",",F
trong,E
đó,P
có,V
đặt,V
thờ,N
pho,N
tượng,N
Thánh_Khổng_Tử,Np
được,V
tạc,V
bằng,E
đá,N
xanh,A
nguyên,A
khối,N
.,F
Lễ_hội,N
đền,V
Chử,Np
Đồng_Tử,Np
Năm_tháng,V
qua,V
đi,V
",",F
biến_thiên,V
lịch_sử,N
cùng,A
với,E
khí_hậu,N
khắc_nghiệt,N
",",F
Văn_Chỉ,Np
bị,V
đổ_nát,V
không,R
được,V
gìn_giữ,V
trùng_tu,V
.,F
Năm,N
1975,M
",",F
di_tích,N
bị,V
tháo,V
bỏ,V
hoàn_toàn,A
",",F
đất_đai,N
nội,N
ngoại,A
tự,P
cũng,R
trở_thành,V
điền,N
thổ,V
cá_nhân,N
.,F
Văn_chỉ,N
từ,E
đó,P
không,R
còn,V
chỗ,N
thờ_phụng,V
cho,E
những,L
người,N
sùng_kính,V
và,C
mến_mộ,N
nền,N
Nho_học,N
truyền_thống,N
của,E
cha_ông,N
ta,P
nữa,R
.,F
Sự,Nc
tổn_thất,N
ấy,P
không,R
chỉ,R
là,V
nỗi,Nc
lo_âu,V
của,E
những,L
người,Nc
trí_thức,N
mà,C
đối_với,E
cả,P
dân_làng,N
Tự_Nhiên,Np
",",F
nhất,A
là,V
các,L
bậc,N
cao_niên,A
đã,R
từng,R
có,V
nhiều,A
năm,N
cứ,R
đến,V
ngày,N
húy,N
kỵ,N
của,E
Thánh,Np
lại,R
đến,E
tế_lễ,N
hương,N
đăng,V
.,F
Cũng,R
xét,V
đọc,V
từ,E
trong,E
văn_bia,N
còn,R
có,V
đoạn,Nc
“,F
xã,N
Tự_Nhiên,Np
thế,P
long_mạch,V
xuyên,V
suốt,A
",",F
tượng,N
cấm,V
hình,N
tạo,V
thành,V
",",F
tinh_hoa,N
lắng,V
trong,A
",",F
bắt_nguồn,V
từ,E
Nhĩ_Hà,Np
bốn,M
mùa,Nc
nước,N
chảy,V
",",F
thần,N
khí,N
thâm,A
viễn_tỏa,V
ra,V
từ,E
Dạ_Trạch,Np
",",F
thế,P
xuất,V
song,A
ngư,N
.,F
Đó,P
là,V
do,E
tự_nhiên,N
tạo,V
nên,C
danh,N
châu_vậy,N
.,F
Nên,C
con_người,N
sinh,V
ra,V
ở,E
đất,N
này,P
đĩnh_đạc,A
",",F
thông_minh,A
",",F
giỏi_giang,N
nho_nhã,V
",",F
kẻ,N
sĩ,V
đều,R
theo,V
đường,N
ngay,T
",",F
sự,Nc
học,V
chẳng,R
xa,A
vào,E
ngả,N
khác,A
",",F
học,V
lễ,N
nhạc,N
",",F
học,V
thi,V
thư,N
",",F
tạo,V
nên,C
cửa,N
hiền,N
uyên_thâm,A
",",F
kính,V
đạo_đức,N
",",F
thuận,A
nhân_nghĩa,N
",",F
tất_cả,P
đều,R
bước,V
vào,R
vực,N
thánh,N
mô_phạm,N
.,F
Thanh_danh,N
đã,R
tỏ,V
trong,E
gia_đình,N
",",F
việc_làm,N
càng,R
nổi,V
nơi,N
thôn_xóm,N
.,F
Một,M
đoàn,N
rạng_rỡ,A
y,N
quan,N
văn_vật,A
",",F
nghìn,M
năm,N
sáng_ngời,N
mô_phạm,V
điển,N
chương,N
.,F
Từng,P
suy_tư,V
nhiều,A
về,E
công_lao_thánh,N
học,V
là,C
để,E
bồi_đắp,V
luân_thường,N
duy_trì,V
thế_giáo,N
",",F
thực_sự,A
không_thể,R
một,M
ngày,N
thiếu_vắng,N
…,F
”,F
Ấy,P
thế_mà,V
bao_nhiêu,P
năm,N
Văn_Chỉ,Np
không,R
còn,V
hiện_hữu,V
.,F
Hỏi,V
lòng,N
người,N
lặng_yên,V
sao,P
được,V
.,F
Năm,N
2003,M
nhân_dân,N
trong,E
làng,N
hợp,V
sức,N
lại,R
cùng,A
nhau,N
",",F
góp,V
của,E
chung,A
công,N
phục_dựng,V
lại,R
đền,V
Thánh,Np
với,E
quy_mô,N
thứ,N
tự,P
đúng,A
như,C
Bi_Ký,Np
Từ,Np
Vũ,Np
đã,R
ghi,V
.,F
Phía,N
trước,N
là,V
tam_quan,N
",",F
trụ,V
biểu,N
đắp,V
vẽ,V
rất,R
tinh_xảo,A
",",F
tòa_hữu,V
vu,N
nhìn,V
về,E
hướng,N
Nam,Np
làm,V
nơi,N
sinh_hoạt,N
của,E
Hội,N
Phụng_Thánh,Np
và,C
treo,V
bảng_vàng,N
ghi_danh,V
những,L
người,Nc
con,N
của,E
làng,N
đỗ_đạt,V
trong,E
các,L
kỳ,N
khoa,N
cử,V
",",F
thành_đạt,V
công_danh,N
trong,E
sự_nghiệp,N
bảo_vệ,N
và,C
xây_dựng,V
đất_nước,N
.,F
Tòa,Np
tiền_đường,V
năm,N
gian,N
cao,A
rộng,A
",",F
xây_cất,V
bằng,E
betong,N
cốt,N
thép,N
vĩnh_cửu,A
nhưng,C
cũng,R
có,V
đắp,V
vẽ,V
các,L
họa,N
tiết,N
mô_phỏng,V
lại,R
các,L
hoa_văn,N
xưa,N
.,F
Trong,E
nhà,N
thiêu,V
hương,N
dựng,V
hai,M
tấm,Nc
bia,N
đá,N
cổ,A
",",F
trong,E
đó,P
có,V
tấm,Nc
“,F
Từ,E
Vũ,Np
Bi_Ký,Np
”,F
.,F
Đây,P
là,V
tấm,Nc
bia,N
có,V
niên_đại,N
tới,E
gần,A
300,M
năm,N
(,F
1736,M
-,F
2014,M
),F
",",F
kích_thước,N
bia,N
không,R
lớn,A
nhưng,C
nóc,N
bia,N
khắc_họa,N
tinh_tế,A
và,C
đăng,V
đối,N
",",F
trán,N
bia,N
chạm,V
dòng,N
chữ_nổi,N
“,F
Từ,E
Vũ,Np
Bi_Ký,Np
”,F
.,F
Bài,Nc
bia,N
khắc,V
bằng,E
chữ,N
Hán,Np
với,E
nét,N
chữ,N
tài_hoa,A
.,F
Đặc_biệt,A
là,V
bài,N
văn_bia,N
ghi_chép,V
rất,R
đầy_đủ,A
lịch_sử,N
lập,V
dựng,V
Văn_Chỉ,Np
",",F
mô_tả,V
cảnh_quan,N
",",F
phong_thủy,N
",",F
tự_sự,N
truyền_thống,N
thi,V
thư,N
của,E
làng,N
Tự_Nhiên,Np
và,C
cả,T
việc,N
lý_do,V
dựng,V
tòa,Nc
Văn_Chỉ,Np
.,F
Tiếp_nối,V
thiêu,V
hương,N
là,V
hậu_cung,N
.,F
Bức,Nc
tượng,N
thánh,N
tạc,A
bằng,E
đá,N
còn,R
nguyên_vẹn,A
đặt,V
thờ,V
trong,E
cung,N
rất,R
uy_nghi,A
.,F
Với,E
bức,Nc
tượng,N
quý_hiếm,N
này,P
",",F
các,L
nhà,N
khoa_học,N
",",F
nghiên_cứu,V
văn_hóa,N
",",F
mỹ_thuật,N
…,F
đều,R
khẳng_định,V
đây,P
là,V
một,M
tác_phẩm,N
nghệ_thuật,N
điêu_khắc,N
rất,R
có,V
giá_trị,N
ở,E
cả,P
hai,M
lĩnh_vực,N
là,V
lịch_sử,N
phát_triển,V
và,C
lịch_sử,N
nghệ_thuật,N
dân_tộc,N
.,F
Đặc_biệt,A
là,C
với,E
truyền_thống,N
lập,V
làng,N
giữ,V
nước,N
",",F
học_hành,V
của,E
người,Nc
dân,N
tạo_dựng,V
lên,V
Văn_Chỉ,Np
",",F
thì,C
đây,P
còn,R
là,V
những,L
minh,N
chứng,N
về,V
