Di_tích,N,
lịch_sử,N,
văn_hoá,N,
là,V,
một,M,
bộ_phận,N,
quan_trọng,A,
của,E,
di_sản,N,
văn_hoá,N,
dân_tộc,N,
.,F,
Định_nghĩa,V,
về,E,
di_tích,N,
lịch_sử,N,
văn_hoá,N,
đã,R,
được,V,
ghi,V,
tại,E,
Điều,N,
4,M,
Chương,Np,
I,Np,
của,E,
Luật_Di_sản,N,
văn_hoá,N,
số,N,
08,M,
/,F,
2001,M,
/,F,
QH,Ny,
năm,N,
2001,M,
:,F,
Di_tích,N,
lịch_sử,N,
văn_hoá,A,
là,C,
những,L,
công_trình,N,
xây_dựng,V,
",",F,
địa_điểm,N,
và,C,
các,L,
di_vật,N,
",",F,
cổ_vật,N,
",",F,
bảo_vật,N,
quốc_gia,N,
thuộc,V,
công_trình,N,
",",F,
địa_điểm,N,
đó,P,
có,V,
giá_trị,N,
lịch_sử,N,
",",F,
văn_hóa,N,
",",F,
khoa_học,N,
.,F,
Mỗi,M,
di_tích,N,
chứa_đựng,V,
một,M,
nội_dung,N,
lịch_sử,N,
",",F,
một,M,
giá_trị,N,
văn_hoá,N,
",",F,
một,M,
lượng,N,
thông_tin,N,
riêng_biệt,A,
khác,A,
nhau,N,
.,F,
Bởi_vậy,N,
",",F,
di_tích,N,
cần,V,
phải,V,
được,V,
phân_loại,V,
để,E,
xác_định,V,
tên,N,
gọi,V,
đúng,A,
với,E,
nội_dung,N,
",",F,
đặc_điểm,N,
thì,C,
mới,R,
có_thể,R,
tiến_hành,V,
hoạt_động,V,
bảo_vệ,V,
",",F,
sử_dụng,V,
",",F,
phát_huy,V,
giá_trị,N,
của,E,
di_tích,N,
một_cách,N,
hiệu_quả,N,
.,F,
Cơ_sở,N,
để,E,
phân_loại,V,
di_tích,N,
là,V,
nội_dung,N,
lịch_sử,N,
chứa_đựng,V,
trong,E,
mỗi,M,
di_tích,N,
.,F,
Từ,E,
nội_dung,N,
lịch_sử,N,
đó,P,
mà,C,
di_tích,N,
được,V,
phân_chia,V,
ra,R,
từng,R,
thời_kỳ,N,
và,C,
xếp,V,
theo,V,
từng,R,
loại_hình_như,N,
:,F,
di_tích,N,
lịch_sử,N,
",",F,
di_tích,N,
kiến_trúc,V,
nghệ_thuật,N,
",",F,
di_tích,N,
khảo_cổ_học,N,
",",F,
di_tích,N,
cách_mạng,N,
kháng_chiến,V,
.,F,
Luật_Di_sản,N,
văn_hoá,V,
quy_định,V,
rõ,A,
tiêu_chí,N,
xếp_hạng,V,
và,C,
thẩm_quyền,N,
quyết_định,V,
xếp_hạng,V,
cụ_thể,A,
:,F,
di_tích,N,
cấp,N,
tỉnh,N,
là,V,
di_tích,N,
có,V,
giá_trị,N,
tiêu_biểu,N,
của,E,
địa_phương,N,
do,E,
Chủ_tịch,N,
Uỷ_ban,N,
nhân_dân,N,
cấp,V,
tỉnh,N,
quyết_định,V,
xếp_hạng,V,
;,F,
di_tích,N,
cấp,N,
Quốc_gia,N,
là,V,
di_tích,N,
có,V,
giá_trị,N,
tiêu_biểu,V,
của,E,
Quốc_gia,N,
do,E,
Bộ_trưởng,N,
Bộ,Np,
Văn_hoá,Np,
",",F,
Thể_thao,N,
và,C,
Du_lịch,V,
quyết_định,V,
xếp_hạng,V,
;,F,
di_tích,N,
Quốc_gia,N,
đặc_biệt,A,
là,C,
di_tích,N,
có,V,
giá_trị,N,
đặc_biệt,A,
tiêu_biểu,V,
của,E,
Quốc_gia,N,
do,E,
Thủ_tướng,N,
Chính_phủ,N,
quyết_định,V,
xếp_hạng,V,
di_tích,N,
và,C,
quyết_định,V,
việc,N,
đề_nghị,V,
Tổ_chức,V,
Giáo_dục,V,
",",F,
Khoa_học,N,
và,C,
Văn_hoá,N,
của,E,
Liên_Hợp_quốc,N,
(,F,
UNESCO,Ny,
),F,
xem_xét,V,
đưa,V,
