Ngày_nay,N
hầu_hết,X
các,L
cửa_ô,N
khác,A
chỉ,R
còn,R
lưu,V
lại,R
địa_danh,V
sau_này,N
trở_thành,V
tên,N
gọi,V
của,E
phường,N
phố,N
như,C
ô,Nc
Chợ,N
Dừa,Np
là,V
tên,N
gọi,V
một,M
cái,Nc
chợ,N
phía,N
tây,N
-,F
nam,N
thành_phố,N
",",F
ô,N
Cầu,Np
Giấy,Np
còn,V
biết,V
được,R
vì,E
là,V
tên,N
gọi,V
của,E
cái,Nc
cầu,N
gạch,N
bắc,V
qua,V
sông,N
Tô_Lịch,Np
…,F
chứ,C
không,R
còn,V
một,M
kiến_trúc,N
nào,P
có_thể,R
gợi,V
lại,R
vết_tích,V
xưa,N
.,F
Tuy_nhiên,C
rất,R
may_mắn,A
cho,E
chúng_ta,P
",",F
Hà_Nội,Np
vẫn,R
còn,V
một,M
cửa,N
Ô,Np
gần,A
như,C
nguyên_vẹn,N
đó,P
là,V
Ô,Ny
Quan_Chưởng,Np
.,F
Ô,Ny
Quan_Chưởng,Np
nằm,V
nằm,V
trên,E
phố,N
Ô,Ny
Quan_Chưởng,Np
",",F
đầu,N
phố,N
Hàng,Np
Chiếu,Np
",",F
mặt,N
trước,A
nhìn,V
về,E
phía,N
đông,A
và,C
sông,N
Hồng,Np
",",F
mặt,N
sau,A
nhìn,V
về,E
phía,N
tây,N
và,C
phố,N
Hàng,Nc
Chiếu,Np
kéo_dài,V
.,F
Về,E
kiến_trúc,N
có,V
vòm,N
cửa,N
trấn_giữ,V
",",F
trên,A
lại,R
còn,R
lưu_giữ,V
một,M
lầu,N
địch,N
vọng,V
là,V
nơi,N
canh_gác,V
.,F
Cửa,N
được,V
xây,V
vòm,N
tò_vò,N
rộng,A
",",F
trước,E
đây,P
có,V
hai,M
cổng,N
bằng,E
gỗ,N
dày,A
lớn,A
",",F
ban_đêm,N
lính,N
canh,N
đóng_cửa,V
thành,V
và,C
mở,V
ra,V
buổi,N
sớm,A
cho,E
người,Nc
dân,N
qua_lại,V
",",F
buôn_bán,V
.,F
Ô,Ny
Quan_Chưởng,Np
thuở,N
xưa,N
(,F
Ảnh,Np
:,F
TL,Ny
),F
Qua_bao,V
thăng_trầm,N
",",F
Ô,Ny
Quan_Chưởng,Np
vẫn,R
uy_nghiêm,A
đứng,V
đó,P
",",F
cố,V
giữ_gìn,N
cho,E
Hà_Nội,Np
nghìn,M
năm,N
văn_hiến,V
một,M
kỳ_quan,N
đơn_sơ,A
",",F
dân_dã,A
mà,C
quý_giá,A
đến,V
vô_cùng,R
.,F
Hiện_nay,N
",",F
cửa_ô,N
còn,V
nguyên,A
một,M
cửa,N
chính,T
và,C
hai,M
cửa,N
con,N
hai,M
bên,N
.,F
Trên,E
nóc,N
cửa,N
chính,T
là,V
một,M
vọng,N
lâu,A
.,F
Ngày_xưa,N
có,V
lính,N
tuần,N
canh_gác,V
ở,E
đây,P
.,F
Bên,N
tường,N
phía,N
trái,A
có,V
gắn,V
một,M
tấm,Nc
bia,N
khắc,V
năm,N
1882,M
ghi,V
lệnh,N
của,E
Tổng_đốc,N
Hoàng_Diệu,Np
cấm,V
bọn,Nc
lính,N
sách_nhiễu,V
những,L
đám_tang,N
qua_lại,V
cửa_ô,N
.,F
Phía,N
trên,A
cửa,N
lớn,A
có,V
ba,M
chữ,N
Hán,Np
:,F
“,F
