“,F
Cầu_duyên,N
thì,C
đến,E
chùa,N
Hà,Np
",",F
Cầu,Np
tài,N
",",F
cầu,N
lộc,A
thì,C
đi,V
Bia_Bà,Np
”,F
Tổng_quan,V
về,E
đình,N
Bia,Np
BàBia,N
Bà,Np
được,V
đặt,V
ở,E
đền,N
Đức_Thánh_Bà,Np
trong,E
đình,N
La_Khê,Np
.,F
Người,Nc
dân,N
ở,E
đây,P
thường,R
quen,V
gọi,V
di_tích,N
này,P
với,E
tên,N
gọi,V
đình,Nc
Bia_Bà,Np
.,F
Sự,Nc
linh_thiêng,V
của,E
ngôi,Nc
đình,N
cổ,A
được,R
truyền_tụng,V
nhau,N
qua,V
một_số,L
câu_chuyện,N
trong,E
dân_gian,N
.,F
Theo,E
truyền_thuyết,N
địa_phương,N
",",F
một,M
người,N
phụ_nữ,N
đi,V
làm_đồng,V
khi,N
ngang,V
qua,V
khu,N
Bia_Bà,Np
đã,R
nhường,V
lại,R
suất,N
ăn,V
của,E
mình,P
cho,E
bà,N
cụ,N
ăn_xin,V
.,F
Về,E
sau,N
",",F
người,N
phụ_nữ,N
đó,P
ăn,V
nên,C
làm,V
ra,V
và,C
giàu_có,A
.,F
Một,M
câu_chuyện,N
khác,A
kể,V
rằng,C
",",F
sau,E
khi,N
bị,V
lạc,V
đơn_vị,N
",",F
một,M
anh,N
bộ_đội,N
đã,R
gặp,V
một,M
bà,N
cụ,N
trên,E
cánh,N
đồng,N
Vang,Np
và,C
được,R
nhận,V
một,M
lời,N
khuyên,V
:,F
“,F
Nếu,C
con,N
đi,V
tiếp,V
thì,C
sẽ,R
gặp,V
cướp,V
.,F
Thế,T
nên,C
",",F
con,N
hãy,R
vào,V
trong,E
nhà,N
mẹ,N
mà,C
ngủ,V
.,F
Sáng_mai,R
nhớ,V
phải,V
đi,V
về,E
hướng,N
Đông,Np
”,F
.,F
Theo,V
chân_cụ,N
",",F
anh,N
bước,V
vào,E
một,M
ngôi,Nc
nhà,N
gianh,N
giữa,E
cánh,N
đồng,N
nhưng,C
sáng,N
sau,N
tỉnh,N
dậy,V
lại,R
thấy,V
mình,P
ngủ,V
trên,E
cái,Nc
bệ,N
gạch,N
.,F
Nhớ,V
lời,N
chỉ_dẫn,V
từ,E
hôm,N
trước,N
của,E
bà,N
cụ,N
",",F
anh,N
đi,V
theo,V
hướng,N
Đông,Np
và,C
gặp,V
lại,R
được,R
đơn_vị,N
của,E
mình,P
.,F
Toàn_cảnh,N
khuôn_viên,V
đình,Nc
Bia_Bà,Np
ở,E
La_Khê,Np
.,F
Sự,Nc
huyền_bí,V
và,C
linh_thiêng,N
của,E
Thánh_Bà,Np
được,R
lưu_truyền,V
trong,E
các,L
truyền_thuyết,N
địa_phương,N
khiến,V
cho,E
Bia_Bà,Np
ngày_càng,X
nổi_tiếng,A
.,F
Theo,E
người,Nc
dân,N
La_Khê,Np
",",F
Thánh_Bà,Np
không,R
làm,V
hại,A
ai,P
bao_giờ,P
",",F
nhưng,C
đã,R
nổi_giận,V
khi,N
địa_phương,N
cho,E
người,N
phá,V
Bia_Bà,Np
bởi,E
sự,Nc
phức_tạp,A
đem,V
tới,V
từ,E
những,L
du_khách,N
đến,V
đây,P
ngày_càng,X
đông,A
.,F
Tuy_nhiên,C
",",F
ngay,R
buổi,N
ra_quân,N
