Hiện_tại,N,
",",F,
mặt_bằng,N,
kiến_trúc,V,
của,E,
Khu_Di_tích,N,
bao_gồm,V,
:,F,
2,M,
sân,N,
gạch,N,
rộng,A,
",",F,
đình,N,
chính,T,
hình,N,
chữ,N,
công,N,
",",F,
gồm,V,
đại,V,
đình,N,
",",F,
phương,N,
đình,N,
và,C,
hậu_cung,V,
",",F,
hai,M,
bên,N,
nhà,N,
phương,N,
đình,N,
có,V,
2,M,
dãy,Nc,
dải_vũ,N,
chạy,V,
song_song,A,
",",F,
phía,N,
sau,A,
là,V,
chùa,N,
Thanh_Am,Np,
.,F,
Đình,Np,
có,V,
quy_mô,N,
kiến_trúc,V,
khá,R,
lớn,A,
",",F,
tòa,N,
đại,V,
đình,N,
xây,V,
gạch,N,
",",F,
4,M,
mái,N,
lợp,V,
ngói,A,
mũi,N,
hài,A,
với,E,
các,L,
góc,N,
đao,N,
cong,A,
;,F,
chính,T,
giữa,E,
bờ,N,
nóc,N,
đắp,V,
đôi,M,
rồng,N,
lớn,A,
chầu,V,
hổ_phù,N,
đội,N,
mặt_trời,V,
lửa,N,
;,F,
bên,N,
trong,N,
chia,V,
thành,V,
5,M,
gian,N,
",",F,
2,M,
chái,N,
",",F,
6,M,
hàng,N,
chân,N,
",",F,
bố_trí,V,
không,R,
đều,R,
nhau,N,
:,F,
gian,N,
giữa,N,
lớn,A,
nhất,R,
thể_hiện,V,
sự,Nc,
tôn_kính,V,
và,C,
để,E,
thực_hiện,V,
các,L,
nghi_lễ,N,
thờ,V,
Thành_hoàng,N,
làng,N,
.,F,
Các,L,
gian,N,
bên,N,
được,V,
tôn,N,
nền,N,
cao,A,
hơn,A,
30cm,M,
làm,V,
nơi,N,
sinh_hoạt,V,
cộng_đồng,N,
của,E,
các,L,
giáp,N,
mỗi,M,
khi,N,
có,V,
việc,Nc,
làng,N,
.,F,
Bộ,Nc,
khung,N,
nhà,N,
làm,V,
bằng,E,
gỗ,N,
lim,A,
",",F,
với,E,
6,M,
bộ,N,
vì,E,
chính,T,
và,C,
hệ_thống,N,
xà,N,
",",F,
kẻ,N,
đỡ,V,
các,L,
mái,N,
hồi,N,
;,F,
các,L,
bộ,N,
vì,E,
được,V,
làm,V,
thống_nhất,V,
",",F,
có,V,
kết_cấu,N,
kiểu,N,
chồng,N,
rường,V,
giá,N,
chiêng,N,
",",F,
vì,E,
nách,N,
(,F,
cốn,N,
),F,
theo,E,
kiểu,N,
chồng,N,
rường,V,
",",F,
rồi,C,
tới,V,
hệ_thống,N,
kẻ,N,
hiên,A,
.,F,
Đỡ,V,
các,L,
câu_đầu,N,
của,E,
các,L,
vì,E,
là,V,
các,L,
đầu,N,
dư,A,
chạm,V,
hình,N,
đầu,N,
rồng,N,
.,F,
Từng,R,
bộ,N,
vì,E,
nóc,N,
được,V,
tỳ,V,
lên,V,
trên,E,
2,M,
cột,N,
cái,N,
(,F,
có,V,
đường_kính,N,
khoảng,A,
"0,57",M,
m,Nu,
",",F,
cao,A,
khoảng,N,
5m,M,
),F,
",",F,
đường_kính,V,
cột,N,
quân,N,
"0,44",M,
m,Nu,
và,C,
cột,N,
hiên,N,
là,V,
"0,35",M,
m,Nu,
.,F,
Liên_kết,V,
các,L,
vì,N,
là,V,
hệ_thống,N,
