Đền,Np,
thờ,V,
Dương,Np,
Quý_Phi,Np,
(,F,
nhà,N,
Tống,Np,
-,F,
Trung_Quốc,Np,
),F,
",",F,
được,V,
người_đời,N,
tán,V,
xưng,N,
là,V,
Dương_Thiên_Hậu,Np,
",",F,
Mẫu,Np,
Nghi_Thiên_Hạ,Np,
.,F,
Theo,E,
truyền_thuyết,N,
",",F,
vào,E,
thế_kỷ,N,
XIII,Ny,
khi,N,
quân,N,
Nguyên,Np,
xâm_lược,V,
nhà,N,
Tống,Np,
",",F,
Vua,Np,
và,C,
Hoàng_tộc,V,
xuống,V,
thuyền,N,
chạy,V,
về,E,
phương,N,
Nam,Np,
.,F,
Vì,E,
không,R,
chịu,V,
khuất_phục,V,
trước,E,
sự,Nc,
truy_bức,V,
của,E,
quân,N,
Nguyên,Np,
",",F,
Vua,Np,
Tống,Np,
và,C,
một_số,L,
người,N,
trong,E,
Hoàng_cung,N,
nhảy,V,
xuống,V,
biển,N,
tự_vẫn,A,
.,F,
Thi_thể,N,
của,E,
Dương,Np,
Quý,Np,
Phi_trôi_dạt,V,
về,E,
vùng,N,
cửa_sông,N,
Phố,N,
Hiến,Np,
",",F,
được,V,
nhân_dân,N,
chôn_cất,V,
chu_đáo,A,
.,F,
Người,N,
nội,N,
thị,N,
của,E,
Triều_đình,N,
Bắc_quốc,N,
là,V,
quan,N,
thái,V,
giám,N,
họ,P,
Du,Np,
trong,E,
cơn,Nc,
loạn_lạc,N,
tới,E,
Phố,N,
Hiến,Np,
",",F,
được,R,
nhân_dân,N,
địa_phương,N,
giúp_đỡ,V,
đã,R,
tập_hợp,V,
những,L,
người,Nc,
Hoa,Np,
lánh_nạn,V,
hưng,V,
công,N,
xây_dựng,V,
đền,N,
thờ,V,
",",F,
lập,V,
làng,N,
Hoa_Dương,Np,
.,F,
Khi,N,
Thái_giám,V,
mất,V,
",",F,
dân_làng,N,
tôn,N,
làm,V,
Thành_Hoàng,Np,
làng,N,
",",F,
ngôi,Nc,
mộ,N,
được,R,
giữ_gìn,V,
trong,E,
khuôn_viên,N,
của,E,
đình,N,
Hiến,Np,
.,F,
Theo,V,
sách,N,
Đại_Nam,Np,
nhất,R,
thống,V,
chí,N,
:,F,
Đền,Np,
được,V,
xây_dựng,V,
dưới,E,
triều,N,
Vua,Np,
Trần_Nhân,Np,
Tông,Np,
",",F,
niên,N,
hiệu,N,
Thiệu,Np,
Bảo,Np,
thứ,N,
nhất,M,
(,F,
1279,M,
),F,
.,F,
Qua,V,
thời_gian,N,
ngôi,Nc,
đền,N,
không,R,
ngừng,V,
được,V,
trùng_tu,V,
và,C,
xây_dựng,V,
thêm,V,
.,F,
Vào,E,
năm,N,
Thành,Np,
Thái,Np,
thứ,N,
8,M,
(,F,
