Đền,V,
hiện_nay,N,
được,V,
xây_dựng,V,
từ,E,
thế_kỷ,N,
XIX,Ny,
",",F,
lúc,N,
đầu,N,
được,R,
gọi,V,
là,C,
chùa,N,
Ngọc_Sơn,Np,
",",F,
sau,E,
đổi,N,
gọi,V,
là,C,
đền,N,
Ngọc_Sơn,Np,
vì,E,
trong,E,
đền,N,
chỉ,R,
thờ,V,
thần,N,
Văn_Xương,Np,
là,V,
ngôi_sao,N,
chủ,N,
việc,N,
văn_chương,V,
khoa,N,
cử,V,
và,C,
thờ,V,
Trần_Hưng_Đạo,Np,
",",F,
vị,Nc,
anh_hùng,N,
có,V,
công_phá,N,
quân,N,
Nguyên,Np,
thế_kỷ,N,
XIII.,Ny,
Cầu,Np,
Thê_Húc,Np,
-,F,
Đền_Ngọc_Sơn,Np,
(,F,
Ảnh,Np,
:,F,
TL,Ny,
),F,
Khởi_nguyên,N,
",",F,
khi,N,
Vua,Np,
Lý_Thái,Np,
Tổ_dời,V,
Đô_ra,Nc,
Thăng_Long,Np,
đặt,V,
tên,N,
ngôi,Nc,
đền,N,
đã,R,
có,V,
tại,E,
đây,P,
là,V,
Ngọc_Tượng,Np,
",",F,
đến,E,
đời,N,
nhà,N,
Trần_đổi,N,
tên,N,
là,V,
Ngọc_Sơn,Np,
.,F,
Thời,N,
Trần,Np,
",",F,
ngôi,Nc,
đền,N,
để,E,
thờ,V,
những,L,
người,N,
anh_hùng,N,
liệt_sĩ,N,
đã,R,
hy_sinh,V,
trong,E,
kháng_chiến,N,
chống,V,
Nguyên,Np,
-,F,
Mông,Np,
.,F,
Về,E,
sau,N,
lâu,A,
ngày,N,
đền,N,
ấy,P,
sụp_đổ,V,
.,F,
Đến,E,
thời,N,
Vĩnh_Hựu,Np,
nhà,N,
Lê,Np,
(,F,
1735,M,
-,F,
1739,M,
),F,
",",F,
Chúa,Np,
Trịnh_Giang,Np,
đã,R,
dựng,V,
Cung,Np,
Thụy_Khánh,Np,
và,C,
đắp,V,
hai,M,
quả,Nc,
núi,N,
đất,N,
ở,E,
trên,E,
bờ,Nc,
phía,N,
Đông,Np,
đối_diện,V,
với,E,
Ngọc_Sơn,Np,
gọi,V,
là,C,
núi,N,
Đào_Tai,Np,
và,C,
Ngọc_Bội,Np,
.,F,
Cuối,N,
đời,N,
nhà,N,
Lê,Np,
",",F,
Cung,Np,
Thụy_Khánh,Np,
bị,V,
Lê_Chiêu_Thống,Np,
phá_huỷ,V,
.,F,
Đầu,N,
thế_kỷ,N,
XIX,Ny,
",",F,
một,M,
nhà,N,
từ_thiện,A,
lớn,A,
là,V,
ông,Nc,
Tín,Np,
Trai,Np,
",",F,
người,N,
làng,N,
Nhị_Khê,Np,
",",F,
đã,R,
cho,V,
xây,V,
trên,E,
nền,N,
Cung_Thụy,Np,
Khánh,Np,
xưa,A,
một,M,
ngôi,Nc,
chùa,N,
",",F,
gọi,V,
là,C,
chùa,N,
Ngọc_Sơn,Np,
.,F,
Vào,E,
năm,N,
1834,M,
",",F,
một_số,L,
danh,N,
nho,N,
của,E,
Hà_Nội,Np,
đã,R,
đứng,V,
ra,R,
lập,V,
Văn_hội,N,
Thọ_Xương,Np,
và,C,
Hội,N,
Hướng_thiện,N,
Ngọc_Sơn,Np,
.,F,
Trong,E,
số,N,
các,L,
danh,N,
sĩ,V,
đó,P,
",",F,
tiêu_biểu,V,
hơn,R,
cả,T,
là,C,
Nguyễn,Np,
Văn_Lý,Np,
",",F,
Vũ_Tông_Phan,Np,
và,C,
Nguyễn_Văn,Np,
Siêu,Np,
.,F,
Nguyễn,Np,
Văn,Np,
Lý_hiệu,N,
là,V,
Đông_Khê,Np,
",",F,
sinh,V,
năm,N,
1795,M,
",",F,
người,N,
phường,N,
Đông_Tác,Np,
",",F,
huyện,N,
Thọ_Xương,Np,
",",F,
đỗ,V,
Tiến_sĩ,N,
khoa,N,
Nhâm_Thìn,Np,
(,F,
1832,M,
),F,
",",F,
làm,V,
quan,N,
đến,E,
Hàn_lâm,N,
viện,N,
trước_tác,V,
.,F,
Vũ_Tông,Np,
Phan,Np,
người,N,
thôn,N,
Tự_Tháp,Np,
",",F,
huyện,N,
Thọ_Xương,Np,
",",F,
sinh,V,
năm,N,
1804,M,
",",F,
Tiến_sĩ,N,
khoa,N,
Bính_Tuất,Np,
(,F,
1826,M,
),F,
",",F,
làm,V,
quan,N,
đến,E,
Tham_hiệp,N,
",",F,
rồi,C,
Đốc_học,N,
tỉnh,N,
Bắc_Ninh,Np,
",",F,
sau,E,
cáo,N,
quan,N,
về,V,
nhà,N,
dạy_học,V,
.,F,
Nguyễn_Văn_Siêu,Np,
(,F,
1796,M,
-,F,
1869,M,
),F,
",",F,
người,N,
phường,N,
Dũng,Np,
Thọ,Np,
",",F,
huyện,N,
Thọ_Xương,Np,
",",F,
đỗ,V,
Phó_bảng,N,
khoa,N,
Mậu_Tuất,Np,
(,F,
1838,M,
),F,
",",F,
làm,V,
quan,N,
Án,N,
sát,A,
Hưng_Yên,Np,
",",F,
từng,R,
đi,V,
sứ,N,
nhà,N,
Thanh,Np,
",",F,
hàm,N,
Hàn_lâm,V,
viện,N,
thị,V,
độc,A,
",",F,
cáo,N,
quan,N,
về,E,
dạy_học,N,
",",F,
dựng,V,
nhà,N,
giảng,V,
hình_vuông,N,
",",F,
