Dòng,Nc
Vĩnh_Giang,Np
nước,N
chảy,V
vòng_quanh,V
di_tích,N
",",F
tạo,V
thành,V
thế,P
tay,N
ngai,N
ôm,V
lấy,V
khu_vực,N
này,P
.,F
Trước,E
khi,N
vào,V
đền,N
",",F
phải,V
qua,V
hệ_thống,N
cổng_ngũ,N
môn,N
.,F
Qua,E
cổng,N
là,V
một,M
hồ,N
nước,N
hình,N
chữ_nhật,N
.,F
Đền,Np
Trần,Np
bao_gồm,V
3,M
công_trình,N
kiến_trúc,N
chính,T
là,V
đền,N
Thiên_Trường,Np
(,F
hay,C
đền,V
Thượng,Np
),F
",",F
đền,N
Cố_Trạch,Np
(,F
hay,C
đền,Nc
Hạ,Np
),F
và,C
đền,N
Trùng,Np
Hoa,Np
.,F
Cả,T
3,M
đền,N
đều,R
có,V
kiến_trúc,V
chung,A
",",F
và,C
quy_mô,V
ngang,A
nhau,N
.,F
Mỗi,M
đền,N
gồm,V
tòa,N
tiền_đường,V
5,M
gian,N
",",F
tòa,N
trung,A
đường,N
5,M
gian,N
và,C
tòa,N
chính,T
tẩm,N
3,M
gian,N
.,F
Nối,Np
tiền_đường,V
và,C
trung,A
đường,N
là,V
kinh,V
đàn,N
(,F
thiêu,V
hương,N
),F
và,C
2,M
gian,N
tả,V
hữu,V
vu,N
.,F
Đền_Thiên_Trường,Np
được,V
xây,V
trên,E
nền,N
Thái_miếu,N
và,C
cung,N
Trùng_Quang,Np
của,E
nhà,N
Trần,Np
mà,C
trước,A
nữa,R
là,C
nhà_thờ,N
họ,P
của,E
họ,P
Trần,Np
.,F
Cung_Trùng,Np
Quang,Np
là,V
nơi,N
các,L
thái,N
thượng,N
hoàng,V
nhà,N
Trần_sống,V
và,C
làm_việc,V
.,F
Đền_Thiên,Np
Trường_vốn,V
lúc,N
đầu,N
là,V
nhà_thờ,N
đại,N
Tôn,Np
được,V
dân_làng,N
dựng,V
lên,R
thờ_phụng,N
vua,N
cha,N
.,F
Đến,E
năm,N
Chính,T
Hoà,Np
thứ,N
15,M
(,F
1695,M
),F
thời,N
Hậu,Np
Lê,Np
nhà_thờ,N
được,V
dựng,V
lại,R
bằng,E
gỗ,N
lim,A
.,F
Năm,N
1705,M
thì,C
nơi,N
đây,P
chính_thức,A
được,R
gọi,V
là,C
Trần_Miếu,Np
và,C
hàng,N
năm,M
triều,N
Lê,Np
có,V
ban,N
quốc,N
lễ,N
.,F
Năm,N
Tự,P
Đức,Np
thứ,N
5,M
(,F
1852,M
),F
đền,V
Thượng,Np
được,V
sửa_chữa_lớn,N
.,F
Nhà,N
đại,N
bái,V
chỉ,R
còn,R
giữ,V
lại,R
bộ_cánh,A
cửa,N
rộng,A
2m,M
x,N
1m50,M
chạm_khắc,N
từ,E
thế_kỷ,N
17,M
còn,R
tất_cả,P
đều,R
được,V
mở_rộng,V
nâng,V
cao,A
lên,R
.,F
Năm,N
Khải_Định,Np
lại,R
tu_bổ,V
và,C
gần,A
đây,P
càng,R
có,V
nhiều,A
thay_đổi,V
lạ_mắt,N
.,F
Đền_Thiên_Trường,Np
hiện_tại,N
gồm,V
có,V
tiền_đường,A
",",F
trung,A
đường,N
",",F
chính,T
tẩm,V
",",F
siêu,S
hương,N
",",F
2,M
dãy,N
tả,V
hữu,A
vu,N
",",F
2,M
dãy,N
tả,V
hữu,A
ống,N
muống,N
",",F
2,M
dãy,Nc
giải_vũ,N
Đông_Tây,Np
.,F
Tổng_cộng,N
có,V
9,M
tòa,N
",",F
31,M
gian,N
.,F
Khung,Np
đền,V
bằng,E
gỗ,N
lim,A
",",F
mái,N
lợp,V
ngói,A
",",F
nền,N
lát,N
gạch,N
.,F
Tiền_đường,N
của,E
đền,N
Thiên_Trường,Np
gồm,V
5,M
gian,N
",",F
dài,A
13,M
mét,N
.,F
Có,V
12,M
cột,N
cái,N
cùng,A
12,M
cột,N
quân,N
",",F
tất_cả,P
đều,R
được,V
đặt,V
trên,E
chân,N
tảng,N
bằng,E
đá,N
hình,N
cánh_sen,N
có,V
từ,E
thời,N
Trần,Np
là,V
chân,N
cột,N
cung,N
Trùng_Quang,Np
cũ,A
.,F
Tại,E
đây,P
có,V
đặt,V
ban,N
thờ,V
và,C
bài_vị,N
của,E
các,L
quan,N
có,V
công,N
lớn,A
phù,N
tá,N
nhà,N
Trần,Np
.,F
Đền,Np
Trần,Np
rộng,A
khoảng,A
tám,M
héc,N
ta,P
nằm,V
trên,E
một,M
khu,N
đất,N
cao,A
.,F
(,F
Ảnh,Np
:,F
TL,Ny
