Tiền_thân,N
của,E
địa_đạo,N
",",F
là,C
những,L
căn,Nc
hầm,N
bí_mật,A
được,R
đào,V
từ,E
những,L
năm,N
1930,M
",",F
để,E
bảo_vệ,V
và,C
che_giấu,V
cán_bộ,N
cách_mạng,N
của,E
địa_phương,N
.,F
Năm,N
1947,M
",",F
tiến_hành,V
đào,V
địa_đạo,N
tại,E
thôn,N
Lộc_Hoà,Np
vì,E
nơi,N
đây,P
",",F
có,V
những,L
đặc_điểm,N
như,C
sau,N
:,F
Mô,P
đất,N
cao,A
",",F
cây_cối,N
rậm_rạp,N
",",F
địa_hình,N
địa_chất,V
phức_tạp,A
",",F
nhân_dân,N
có,V
truyền_thống,N
cách_mạng,N
vững_chắc,A
.,F
Địa_đạo,N
được,V
xây_dựng,V
theo,E
kiểu,N
hầm,N
xe,N
lửa,N
:,F
từ,E
2,M
điểm,N
ở,E
đầu,N
",",F
hai,M
tổ,N
đào,V
thẳng,A
về,E
điểm,N
trung_tâm,N
.,F
Mỗi,M
tổ,N
2,M
người,N
",",F
cứ,R
thế,P
thay,V
nhau,N
đào,V
từ,E
20,M
giờ,Nu
đến,T
3,M
giờ,Nu
sáng,N
.,F
Đất,N
đào,V
lên,V
được,R
mang,V
đổ,V
xuống,R
ruộng,N
thấp,A
",",F
vun,V
thành,V
những,L
vồng,N
khoai,N
",",F
vồng,N
sắn,N
.,F
Về,E
sau,N
",",F
ta,P
huy_động,V
nhân_dân,N
đào,V
thêm,V
những,L
hầm,N
chữ,N
L,Ny
và,C
giao_thông_hào,V
công_khai,A
trên,E
mặt_đất,N
",",F
để,E
đổ,V
lẫn,R
đất,N
nọ,P
vào,E
đất,N
kia,P
tránh,V
sự,Nc
chú_ý,V
của,E
địch,N
.,F
Địa_đạo,N
Phú_Thọ_Hòa,Np
-,F
một,M
hệ_thống,N
địa_đạo,V
từng,R
phát_triển,V
mạnh,A
tại,E
khu_vực,N
Phú_Thọ_Hòa,Np
ở,E
phía,N
Tây,Np
Sài_Gòn,Np
thời_kỳ,N
chống,V
Pháp,Np
và,C
chống,V
Mỹ,Np
.,F
Ngày_nay,N
cổng,N
vào,E
di_dích,N
này,P
nằm,V
ở,E
số,N
139,M
đường,N
Phú_Thọ_Hòa,Np
",",F
phường,N
Phú_Thọ_Hòa,Np
",",F
quận,N
Tân_Phú,Np
",",F
TPHCM.,Ny
(,F
Ảnh,Np
:,F
kienthuc,V
.,F
net,N
.,F
vn,Np
),F
Nắp,Np
miệng,N
hầm,V
đóng,V
bằng,E
gỗ,N
theo,V
hình_thang,N
",",F
có,V
kích_thước,N
:,F
rộng,A
"0,4",M
m,Nu
và,C
"0,2",M
m,Nu
;,F
cao,A
"0,1",M
m,Nu
.,F
Nắp,N
hầm,N
có,V
đáy,N
để,E
đổ,V
đất,N
",",F
trồng,V
cây,N
lên,V
đó,P
nguy,A
trang,N
.,F
Mỗi,L
đoạn,Nc
hầm,N
có,V
3,M
-,F
4,M
lỗ,N
thông,V
hơi,R
",",F
tuỳ,V
theo,V
địa_hình,N
là,V
luỹ,N
tre,N
hay,C
mồ_mả,N
",",F
mà,C
đặt,V
lỗ,N
thông,V
hơi,R
ở,E
đấy,P
.,F
Lỗ,Np
thông,V
hơi,R
theo,V
kiểu,N
loa_kèn,N
",",F
trên,E
to,A
(,F
"0,2",M
m,Nu
),F
dưới,E
nhỏ,N
(,F
"0,1",M
m,Nu
),F
",",F
đặt,V
gốc,N
độ,N
450,M
",",F
ở,E
đáy,N
mỗi,M
hầm,N
",",F
đào_sâu,V
xuống,V
1,M
đoạn,N
ngắn,A
đề_phòng,N
mùa,V
mưa,N
cho,V
nước,N
chảy,V
xuống,V
.,F
Trong,E
hệ_thống,N
địa_đạo,N
",",F
có,V
3,M
hầm,N
đào,N
rộng,A
ra,R
",",F
để,E
có_thể,A
ngồi,V
họp,V
4,M
-,F
5,M
người,N
hoặc,C
chứa,V
lương_thực,N
",",F
vũ_khí,N
.,F
Kích_thước,N
địa_đạo,N
:,F
rộng,A
"0,8",M
m,Nu
;,F
cao,A
"0,8",M
m,Nu
;,F
dài,A
gần,A
700,M
mét,Nu
.,F
Hầu_hết,R
miệng,N
hầm,V
thiết_kế,N
nằm,V
trong,E
bụi,N
rậm,A
hoặc,C
lẫn_lộn,V
trong,E
các,L
mô,Nc
đất,N
và,C
gò,V
mối,N
rất,R
khó,A
phát_hiện,V
.,F
Ðịa,N
đạo,N
lúc,N
nông,N
",",F
lúc,N
sâu,A
nhưng,C
vẫn,R
giữ,V
khoảng_cách,N
giữa,E
nóc,N
hầm,N
và,C
mặt_đất,N
tối_thiểu,A
"2,5",M
m,Nu
",",F
có,V
đoạn,N
hai,M
tầng,N
địa_đạo,N
chồng,N
lên,V
",",F
trong,E
đó,P
có,V
đoạn,Nc
nghi_trang,N
như,C
ngõ_cụt,N
.,F
Trong,E
địa_đạo,N
tạo,V
hầm,N
âm,N
sức,N
chứa,V
từ,E
5,M
đến,E
7,M
người,N
",",F
bên,N
trên,A
bố_trí,V
nhiều,A
ụ,N
chiến_đấu,V
rải_rác,A
dọc,A
theo,E
địa_đạo,N
.,F
Về,E
sau,N
đào,V
thêm,V
giao_thông_hào,N
công_khai,A
",",F
hình_thành,V
vòng_cung,N
bảo_vệ,V
khu,N
địa_đạo,N
.,F
Toàn_bộ,N
hệ_thống,N
địa_đạo,N
có,V
ba,M
hầm,N
âm,N
",",F
trong,E
đó,P
một,M
hầm,N
được,R
sử_dụng,V
làm,V
phòng,N
họp,V
.,F
Khác,A
với,E
địa_đạo,N
Bến_Dược,Np
(,F
Củ_Chi,Np
),F
",",F
địa_đạo,N
Phú_Thọ_Hòa,Np
