Vĩnh_Phúc,Np,
có,V,
không,R,
ít,A,
những,L,
ngôi,Nc,
chùa,N,
cổ,A,
đã,R,
được,V,
nhiều,A,
người,N,
biết,V,
đến,T,
",",F,
trong,E,
đó,P,
có,V,
một,M,
ngôi,Nc,
chùa,N,
đã,R,
tồn_tại,V,
hàng,R,
trăm,M,
năm,N,
nay,P,
ở,E,
một,M,
làng,N,
khoa_bảng,A,
",",F,
đó,P,
chính,T,
là,V,
chùa,N,
Vĩnh_Phúc,Np,
với,E,
tên,N,
Nôm,Np,
là,V,
chùa,N,
Am,Np,
.,F,
Chùa,Np,
Am,Np,
được,V,
Viện,Np,
Viễn,Np,
đông,N,
Bác,Np,
cổ,A,
kiểm_kê,M,
năm,N,
1939,M,
cùng,C,
với,E,
những,L,
hiện_vật,N,
quí,A,
như,C,
chuông,N,
",",F,
khánh,N,
",",F,
bia,N,
",",F,
cây,Nc,
hương,N,
đá,V,
…,F,
Chùa,Np,
được,V,
xếp_hạng,V,
Di_tích,N,
lịch_sử,N,
cấp,N,
quốc_gia,N,
năm,N,
1993,M,
.,F,
Chùa,Np,
Am,Np,
toạ_lạc,V,
ở,E,
cổng,N,
đông,N,
của,E,
làng,N,
Quan_Tử,Np,
",",F,
trên,E,
một,M,
gò,Nc,
đất,N,
nổi,R,
cao,A,
giữa,E,
cánh,N,
đồng,N,
trũng,A,
gọi,V,
là,C,
gò,N,
Am,Np,
.,F,
Vào,E,
mùa,N,
nước,N,
",",F,
xung_quanh,N,
ngập,V,
trắng,A,
chỉ,R,
còn,V,
gò,Nc,
Am,Np,
nổi,V,
lên,R,
",",F,
người,N,
dân,N,
nơi,N,
đây,P,
vẫn,R,
ví,V,
ngôi,Nc,
chùa,N,
tựa,A,
như,C,
một,M,
bông,Nc,
sen,N,
và,C,
đường,N,
vào,E,
cổng,N,
làng,N,
như,C,
cuống,N,
của,E,
đài_sen,N,
.,F,
