Chùa,N,
Bảo_Sơn,Np,
nằm,V,
ven,N,
thôn,N,
Khả_Do,Np,
-,F,
xã,N,
Nam_Viêm,Np,
-,F,
thị_xã,N,
Phúc_Yên,Np,
",",F,
trong,E,
một,M,
khuôn_viên,N,
rộng_rãi,A,
",",F,
địa_thế,N,
đẹp,A,
",",F,
thoáng,N,
mát,A,
",",F,
hướng,N,
Tây_Nam,Np,
",",F,
trước,E,
Chùa,Np,
Bảo_Sơn,Np,
có,V,
cây,Nc,
đại,N,
cổ_thụ,V,
ngào_ngạt,N,
hương,N,
thơm,A,
",",F,
tô_điểm,V,
cho,E,
chốn,N,
thiền,N,
tôn,N,
thêm,V,
vị,Nc,
tịch,N,
",",F,
đồng_thời,C,
cũng,R,
ngầm,V,
giới_thiệu,V,
cho,E,
chúng_sinh,A,
một,M,
ngôi,Nc,
chùa,N,
cổ_kính,A,
đã,R,
có,V,
vài_ba,R,
trăm,M,
tuổi,N,
.,F,
Theo,V,
Ngọc_phả,N,
",",F,
chùa,N,
Bảo_Sơn,Np,
được,V,
xây_dựng,V,
từ,E,
thời,N,
Trần,Np,
",",F,
do,E,
công_chúa,N,
Hưng_Nương,Np,
",",F,
con,Nc,
vua,N,
Trần_Anh,Np,
Tông,Np,
cấp,V,
tiền,N,
và,C,
đứng,V,
ra,V,
cùng,A,
nhân_dân,N,
Khả_Do,Np,
xây_dựng,V,
cũng,R,
như,C,
tu_sửa,V,
.,F,
Trước,E,
chùa,N,
có,V,
một,M,
cây,Nc,
hương,N,
đá,V,
có,V,
ghi,N,
“,F,
Vĩnh_Thịnh_tam_niên,N,
tuế,N,
thứ,Nc,
Đinh,Np,
Hợi,Np,
trọng,V,
xuân_cốc,V,
nhật,N,
”,F,
.,F,
Tức_là,Nc,
cây,N,
hương,N,
làm,V,
vào,E,
ngày,N,
tốt,A,
tháng,N,
hai,M,
năm,N,
Đinh_Hợi,Np,
niên_hiệu,V,
Vĩnh_Thịnh,Np,
thứ,N,
ba,M,
(,F,
1705,M,
),F,
.,F,
Như_vậy,X,
có_thể,R,
đoán_định,V,
được,R,
rằng,C,
",",F,
chùa,N,
Bảo_Sơn,Np,
có,V,
từ,E,
thời,N,
Trần,Np,
",",F,
song,A,
đến,E,
cuối,N,
thế_kỷ,N,
thứ,N,
17,M,
",",F,
do,E,
nhu_cầu,N,
thờ_phụng,V,
và,C,
tạc,V,
nhiều,A,
tượng,N,
nên,C,
nhân_dân,N,
đã,R,
mở_rộng,V,
và,C,
làm,V,
lại,R,
lớn,A,
như,C,
ngày_nay,N,
.,F,
Đây,P,
là,V,
một,M,
ngôi,Nc,
chùa,N,
khá,R,
đồ_sộ,A,
về,E,
kiến_trúc,N,
và,C,
đặc_sắc,A,
về,E,
nghệ_thuật,N,
tạc,N,
tượng,N,
của,E,
thời,N,
Lê,Np,
Trung_Hưng,Np,
.,F,
