Kể,V,
từ,E,
thời_kỳ,N,
Thăng_Long,Np,
và,C,
hậu,N,
Cao,Np,
Bằng,Np,
",",F,
Nhà_Mạc,Np,
đã,R,
xác_định,V,
Vĩnh_Phúc,Np,
sẽ,R,
là,V,
căn_cứ,N,
lâu_dài,A,
.,F,
ở,E,
đây,P,
có,V,
nhiều,A,
di_tích,N,
quan_trọng,A,
:,F,
Bốn,M,
khu,N,
lăng_mộ,N,
và,C,
ít_nhất,X,
6,M,
ngôi,Nc,
chùa,N,
gắn,V,
với,E,
dòng_họ,N,
Mạc,Np,
.,F,
Một,M,
trong,E,
6,M,
ngôi,Nc,
chùa,N,
đó,P,
là,V,
chùa,N,
Sùng_Khánh,Np,
hay,C,
còn,R,
gọi,V,
là,C,
chùa,N,
Tiên,Np,
Lữ,Np,
ở,E,
xã,N,
Tiên_Lữ,Np,
",",F,
huyện,N,
Lập,Np,
Thạch,Np,
.,F,
Đây,P,
là,V,
ngôi,Nc,
chùa,N,
cổ,A,
",",F,
hiện,N,
còn,R,
giữ,V,
được,R,
nhiều,A,
hiện_vật,N,
sinh_động,A,
và,C,
quý,A,
",",F,
ghi,V,
dấu,N,
những,L,
sự_kiện,N,
và,C,
nhân_vật,N,
lịch_sử,N,
.,F,
