Chùa,N,
Trúc_Lâm_Tuệ,Np,
Đức,Np,
được,V,
tôn_tạo,V,
từ,E,
chùa,N,
Kim_Tôn,Np,
",",F,
một,M,
ngôi,Nc,
Chùa_cổ,N,
đã,R,
có,V,
trên,A,
700,M,
năm_tuổi,N,
",",F,
với,E,
công_đức,N,
vô_lượng,N,
của,E,
Quí_Phật_tử,N,
gần_xa,N,
",",F,
từ,E,
một,M,
ngôi,Nc,
chùa,N,
đã,R,
bị,V,
đổ_nát,V,
theo,E,
tháng,N,
năm,M,
",",F,
ngày_nay,V,
một,M,
ngôi,Nc,
Thiền,Np,
viện,N,
khang_trang,A,
đã,R,
dần,R,
được,V,
hình_thành,V,
trên,E,
nền,N,
chùa,N,
Kim_tôn,V,
–,N,
Thiền,Np,
việc,N,
Trúc_lâm,V,
Tuệ_Đức,Np,
(,F,
xã,N,
Đồng_Quế,Np,
",",F,
huyện,N,
Sông,Np,
Lô,Np,
",",F,
tỉnh,N,
Vĩnh_Phúc,Np,
),F,
.,F,
