Nằm,V,
ở,E,
vùng_đất,N,
cổ,A,
trong,E,
lòng,N,
di_sản,N,
văn_hóa,N,
xứ,N,
Đoài,Np,
của,E,
Việt_nam,N,
",",F,
xã,N,
An,Np,
Tường,Np,
",",F,
huyện,N,
Vĩnh_Tường,Np,
–,V,
Vĩnh_Phúc,Np,
có,V,
4,M,
ngôi,Nc,
đình,N,
được,V,
xếp_hạng,V,
di_tích,N,
",",F,
với,E,
kiến_trúc,N,
nghệ_thuật,N,
độc_đáo,A,
có,V,
giá_trị,N,
về,E,
mặt,N,
khoa_học,N,
và,C,
lịch_sử,N,
",",F,
đã,R,
tồn_tại,V,
gần,A,
300,M,
năm,N,
nay,P,
.,F,
Đình,Np,
Cam_Giá,Np,
(,F,
được,V,
xây,V,
năm,N,
1811,M,
),F,
là,V,
một,M,
trong,E,
số,N,
3,M,
ngôi,Nc,
đình,N,
nơi,N,
đây,P,
đã,R,
được,V,
Bộ,Np,
VHTTDL,Ny,
xếp_hạng,V,
"""",F,
Di_tích,N,
văn_hóa,N,
",",F,
lịch_sử,N,
cấp,N,
quốc_gia,N,
"""",F,
từ,E,
năm,N,
1996,M,
.,F,
Đình,Np,
Cam_Giá,Np,
thờ,V,
2,M,
vị,Nc,
thành_hoàng,N,
là,V,
Cao_Sơn_đại,N,
vương,N,
và,C,
Cự,Np,
Hải,Np,
đại,V,
vương,N,
.,F,
Theo,E,
truyền_thuyết,N,
",",F,
hai,M,
ông,N,
là,V,
Bộ_tướng,N,
của,E,
Tản_Viên,Np,
Sơn_Thánh,Np,
có,V,
công,N,
đánh,V,
giặc,N,
Thục,Np,
thời,N,
Hùng,Np,
Vương,Np,
và,C,
có,V,
công,N,
mở,V,
đất,N,
",",F,
âm,N,
phù,V,
",",F,
bảo_hộ,V,
cho,E,
vùng_đất,N,
Cam_Giá,Np,
.,F,
Hàng,N,
năm,N,
",",F,
cứ,R,
vào,V,
ngày,N,
mồng,N,
Bảy,Np,
đến,V,
mồng,N,
Chín,Np,
tháng,N,
Giêng,Np,
",",F,
nhân_dân,N,
Cam_Giá,Np,
lại,R,
tưng_bừng,A,
mở,V,
hội,N,
làng,N,
để,E,
tưởng_nhớ,V,
và,C,
tôn_vinh,V,
công_lao,N,
của,E,
các,L,
vị,Nc,
thành_hoàng,N,
.,F,
Trong,E,
lễ_hội,N,
có,V,
các,L,
nghi_thức,N,
rước,V,
nước,N,
“,F,
mộc_dục,V,
”,F,
và,C,
nghi_lễ,N,
“,F,
tế,V,
bông,N,
”,F,
mang,V,
đậm,A,
yếu_tố,N,
phồn_thực,N,
",",F,
cầu,N,
mùa,N,
",",F,
cầu_an,V,
rất,R,
đặc_sắc,A,
.,F,
Đình,Np,
được,V,
xây_dựng,V,
năm,N,
1811,M,
dưới,E,
triều,N,
Gia_Long,Np,
",",F,
có,V,
mặt_bằng,N,
kiến_trúc,V,
hình,N,
“,F,
chữ,N,
Đinh,Np,
”,F,
với,E,
đại,N,
đình,N,
5,M,
gian,N,
",",F,
có,V,
khám,V,
thờ,V,
được,R,
bưng,V,
kín,A,
bằng,E,
ván,N,
đố,V,
lụa,N,
tạo,V,
không_gian,N,
riêng,A,
rất,R,
kín_đáo,A,
nơi,N,
thánh,V,
ngự,N,
.,F,
Đình,Np,
Cam_Giá,Np,
cũng,R,
có_hậu_cung,V,
hai,M,
tầng,N,
mái,N,
với,E,
phần,N,
mái,N,
thấp,A,
tạo,V,
thành,V,
hành_lang,N,
hai,M,
bên,N,
đi,V,
vào,E,
hậu_cung,N,
",",F,
phần,N,
mái,N,
cao,A,
nối,V,
sâu,A,
vào,E,
gian,N,
giữa,E,
đại,N,
đình,N,
tạo,V,
kiểu,N,
ống,N,
muống,N,
làm,V,
nơi,N,
bày,V,
đồ,N,
tự,P,
