Chương_Mỹ,N,I-LOC
là,V,I-HCD
huyện,N,B-HCD
cửa_ngõ,V,I-HCD
phía,N,B-HCD
Tây_Nam,Np,I-HCD
Hà_Nội,Np,I-LOC
.,F,O
Thiên_nhiên,N,O
đã,R,O
hào_phóng,A,O
ban_tặng,V,O
cho,E,O
vùng_đất,N,O
này,P,O
một,M,O
địa_hình,N,O
đa_dạng,A,O
",",F,O
vừa,R,O
có,V,O
đặc_trưng,N,O
của,E,O
vùng,N,B-HCD
đồng_bằng,N,I-HCD
châu_thổ,N,I-HCD
",",F,O
vừa,R,O
có,V,B-HCD
đặc_trưng,N,I-HCD
của,E,B-RHD
vùng,N,I-RHD
bán,V,I-RHD
sơn_địa,N,I-RHD
với,E,B-RHD
núi,N,I-RHD
",",F,O
sông,N,I-RHD
",",F,O
đồng,N,I-RHD
bãi,V,I-RHD
",",F,O
hồ,N,I-RHD
",",F,O
hang_động,V,I-RHD
…,F,O
cùng,A,B-HCD
dệt,V,I-HCD
nên,C,B-HCD
bức,Nc,I-HCD
tranh,N,I-HCD
sơn_thủy,N,I-HCD
hữu_tình,A,I-HCD
.,F,O
Bên,N,O
cạnh,N,O
cảnh_quan,N,B-HCD
thiên_nhiên,N,I-HCD
",",F,O
Chương_Mỹ,N,I-LOC
là,V,B-HCD
vùng_đất,N,I-HCD
có,V,B-HCD
bề,N,I-HCD
dày,A,I-HCD
lịch_sử,V,I-HCD
và,C,O
chiều,N,B-HCD
sâu,N,I-HCD
văn_hóa,N,I-HCD
với,E,O
hơn,A,B-HCD
30,M,I-HCD
di_tích,N,I-HCD
cấp,B-APL
quốc_gia,N,I-APL
",",F,O
hơn,A,B-HCD
100,M,I-HCD
di_tích,N,I-HCD
cấp,B-APL
thành_phố,N,I-APL
;,F,O
trong,E,O
đó,P,O
có,V,O
nhiều,A,B-HCD
đền,N,I-HCD
",",F,O
chùa,N,I-HCD
đẹp,A,I-HCD
",",F,O
linh_thiêng,N,I-HCD
.,F,O
Chùa,N,B-HCN
cổ,N,I-HCN
Hoàn_Phúc,Np,I-HCN
ở,E,B-LOC
Trần_Phú,Np,I-LOC
",",F,O
Chương,Np,I-LOC
Mỹ,Np,I-LOC
",",F,O
Hà_Nội,Np,I-LOC
.,F,O
Chùa,N,B-HCN
cổ,N,I-HCN
Hoàn_Phúc,Np,I-HCN
tọa_lạc,V,B-RIL
tại,E,I-RIL
xã,N,I-RIL
Trần_Phú,Np,I-RIL
",",F,O
huyện,N,B-RIL
Chương,Np,I-RIL
Mỹ,Np,I-RIL
được,V,O
xây_dựng,V,B-HCD
tựa,V,I-HCD
vào,E,I-HCD
dãy,Nc,B-RIL
núi,N,I-RIL
Rặng,Np,I-RIL
(,F,O
còn,R,B-RHN
gọi,V,I-RHN
là,C,I-RHN
núi,N,B-RHN
Chùa,Np,I-RHN
),F,O
với,E,O
hệ_thống,N,B-HCD
hang,N,I-HCD
động,N,I-HCD
đẹp,A,I-HCD
và,C,B-HCD
kì_bí,N,I-HCD
cùng,A,B-HCD
hệ_thống,N,I-HCD
tượng,N,I-HCD
La_Hán,Np,I-HCD
bằng,E,B-RHD
đá_ong,N,I-RHD
rất,R,I-RHD
độc_đáo,A,I-RHD
",",F,O
xung_quanh,N,B-HCD
chùa,N,I-HCD
trồng,V,I-HCD
hàng,N,I-HCD
vài,L,I-HCD
trăm,M,I-HCD
loại,Nc,I-HCD
lan,N,I-HCD
quý,N,I-HCD
.,F,O
Tại,E,O
ngôi,Nc,B-HCN
chùa,N,I-HCN
này,P,I-HCD
đã,R,B-HCD
tìm,V,I-HCD
thấy,V,I-HCD
nhiều,A,I-HCD
cổ_vật,N,I-HCD
từ,E,B-HCD
thời,N,I-HCD
Hai,M,I-HCD
Bà,Nc,I-HCD
Trưng,Np,I-HCD
",",F,O
Ô,Ny,I-HCD
Mã_Nhi,Np,I-HCD
cách,V,B-RHD
ngày_nay,N,I-RHD
khoảng,A,B-RHD
2000,M,I-RHD
năm,N,I-RHD
",",F,O
đặc_biệt,A,O
là,C,O
phát_hiện,V,B-RHD
trống_đồng,N,I-RHD
cổ,N,I-RHD
Miếu_Môn,Np,I-RHD
",",F,O
hiện,N,O
đang,R,O
được,V,B-HCP
lưu_giữ,V,I-HCP
tại,E,B-HCP
Bảo_tàng,N,I-HCP
Lịch_sử,N,I-HCP
quốc_gia,N,I-HCP
.,F,O
Sư_thầy,Nc,B-PER
Thích,Np,I-PER
Đàm_Đăng,Np,I-PER
đã,R,I-PER
về,V,I-PER
Trụ_trì,V,B-PER
ngôi,Nc,B-HCN
chùa,N,I-HCN
này,P,I-HCN
từ,E,B-RHD
năm,N,I-RHD
2004,M,I-RHD
.,F,O
Hơn,A,O
10,M,O
năm,N,O
qua,V,O
",",F,O
bên,N,O
cạnh,N,O
vai_trò,N,B-JOB
truyền,V,I-JOB
trì,N,I-JOB
mạng,N,I-JOB
mạch,N,I-JOB
phật,V,I-JOB
pháp,A,I-JOB
",",F,O
chịu,V,B-JOS
trách_nhiệm,N,I-JOS
trước,E,I-JOS
Giáo_hội,N,I-JOS
về,E,I-JOS
việc,N,I-JOS
hướng_dẫn,V,B-JOB
tăng_ni,V,I-JOB
phật,V,I-JOB
tử,V,I-JOB
tu,V,I-JOB
học,V,I-JOB
đúng,A,I-JOB
pháp,N,I-JOB
",",F,O
đúng,A,I-JOB
luật,N,I-JOB
",",F,O
sư_thầy,N,B-PER
Thích,Np,I-PER
Đàm_Đăng,Np,I-PER
đã,R,O
có,V,O
những,L,O
hoạt_động,N,B-JOS
tích_cực,A,I-JOS
trong,E,I-JOS
công_tác,N,I-JOS
từ_thiện,A,I-JOS
ở,E,B-HCN
chùa,N,I-HCN
và,C,O
các,L,O
địa_phương,N,O
lân_cận,A,O
;,F,O
mở,V,B-JOB
các,L,O
lớp_học,N,I-JOB
bồi_dưỡng,V,I-JOB
văn_hóa,N,I-JOB
",",F,O
truyền,V,B-JOB
giảng,N,I-JOB
phật,V,I-JOB
pháp,N,I-JOB
cho,E,I-JOB
phật_tử,V,I-PER
.,F,O
Một,M,B-PER
sư_thầy,N,I-PER
truyền,V,B-JOB
giảng,N,I-JOB
phật,V,I-JOB
pháp,N,I-JOB
cho,E,I-JOB
phật_tử,V,I-JOB
.,F,O
Trải,V,O
qua,V,O
các,L,O
cuộc,N,O
chiến_tranh_giành,V,O
độc_lập,N,O
của,E,O
dân_tộc,N,O
và,C,O
cùng,A,O
với,E,O
dòng_chảy,N,O
của,E,O
thời_gian,N,O
",",F,O
ngôi,Nc,B-HCN
chùa,N,I-HCN
cổ,A,I-HCN
đã,R,B-HCS
bị,V,I-HCS
xuống_cấp,V,I-HCS
nghiêm_trọng,A,I-HCS
",",F,O
tượng,N,B-HCS
phật,N,I-HCS
mất_mát,V,I-HCS
.,F,O
Với,E,O
chí_nguyện,N,B-RHP
”,F,O
Hoằng_dương,N,I-RHP
Phật,Np,I-RHP
pháp,V,I-RHP
”,F,O
cùng,A,B-RHP
tâm_nguyện,N,I-RHP
trùng,N,I-RHP
hưng,V,I-RHP
lại,R,I-RHP
toàn_bộ,L,I-RHP
ngôi,Nc,B-HCN
chùa,N,I-HCN
với,E,O
các,L,B-RHP
công_trình,N,I-RHP
Nhà_Tổ,Np,I-RHP
",",F,O
cổng,N,B-HCN
Tam_quan,N,I-HCN
",",F,O
nhà,N,B-HCN
Tứ_ân,V,I-HCN
và,C,O
một_số,L,B-RHP
công_trình,N,I-RHP
khác,A,I-RHP
",",F,O
đặc_biệt,A,O
là,C,O
phục_dựng,V,B-HCP
lại,R,I-HCP
trống_đồng,N,I-HCP
cổ,N,I-HCP
Miếu_Môn,Np,I-HCP
để,E,O
lưu_giữ,V,O
ở,E,O
chùa,N,I-HCN
cho,V,B-RHD
thêm,V,I-RHD
phần,N,I-RHD
trang_nghiêm,V,I-RHD
tố,N,I-RHD
hảo,A,I-RHD
",",F,O
chùa,N,B-HCN 
cổ,N,I-HCN
Hoàn_Phúc,Np,I-HCN
cần,V,O
lắm,R,O
những,L,O
tấm,Nc,O
lòng,N,O
phát,V,O
tâm,V,O
công_đức,N,O
để,E,B-RHP
trùng_tu,V,I-RHP
",",F,O
tôn_tạo,V,I-RHP
lại,R,O
ngôi,Nc,B-HCN
chùa,N,I-HCN
cổ,A,I-HCN
.,F,O
Cổ_Đức,Np,B-PER
từng,R,I-JOS
dạy,V,I-JOS
:,F,O
Xưa,N,B-SAY
trưởng,N,I-SAY
giả,A,I-SAY
bỏ,V,I-SAY
vàng,N,I-SAY
mua,V,I-SAY
đấtVì,N,I-SAY
Phật_ân,N,I-SAY
xây_cất,V,I-SAY
đạo,N,I-SAY
tràngKỳ,N,I-SAY
viên,Nc,I-SAY
tịnh_xá,N,I-SAY
mở,V,I-SAY
mangKinh,N,I-SAY
thành_xá,V,I-SAY
vệ,N,I-SAY
huy_hoàng,V,I-SAY
pháp,N,I-SAY
đăngNay,V,I-SAY
phật,V,I-SAY
tử,V,I-SAY
ân_cần,N,I-SAY
tiếp,V,I-SAY
bướcVì,N,I-SAY
Pháp_âm,N,I-SAY
tạo,V,I-SAY
phúc,N,I-SAY
xây,V,I-SAY
chùa,N,I-SAY
Hoàn,N,I-SAY
Phúc,Np,I-SAY
tự,P,I-SAY
ngày,N,I-SAY
một,M,I-SAY
khang,N,I-SAY
trangNguyện,N,I-SAY
cầu,N,I-SAY
Tam_Bảo,Np,I-SAY
luôn,R,I-SAY
ban,N,I-SAY
phúc,N,I-SAY
lành,N,I-SAY
Một,V,O
góc,N,O
không_gian,N,O
trong,E,O
chùa,N,O
.,F,O
Tạm,A,O
lánh,V,O
những,L,O
bon_chen,N,O
",",F,O
áp_lực,N,O
trong,E,O
cuộc_sống,N,O
",",F,O
đến,V,O
với,E,O
chùa,N,B-HCN
cổ,N,I-HCN
Hoàn_Phúc,Np,I-HCN
",",F,O
du_khách,N,O
sẽ,R,O
được,V,O
thả,V,B-RHD
hồn,N,I-RHD
trong,E,I-RHD
không_gian,N,I-RHD
thanh_tĩnh,N,I-RHD
của,E,I-RHD
sông,N,I-RHD
",",F,O
nước,N,I-RHD
",",F,O
cây_cối,N,I-RHD
",",F,O
cảm_nhận,V,B-RHD
được,R,I-RHD
không_khí,N,I-RHD
trầm_mặc,A,I-RHD
linh_thiêng,N,I-RHD
của,E,I-RHD
chốn,N,I-RHD
cửa,N,I-RHD
Phật,Np,I-RHD
.,F,O
Sự,Nc,B-RHD
tĩnh_lặng,V,I-RHD
của,E,I-RHD
ngôi,Nc,B-HCN
chùa,N,I-HCN
cùng,A,B-HCD
khung_cảnh,N,I-HCD
yên_tĩnh,A,I-HCD
sẽ,R,O
khiến,V,O
những,L,O
muộn_phiền,Nc,O
hàng,N,O
ngày,N,O
trong,E,O
du_khách,N,O
biến,V,O
mất,V,O
.,F,O
Cảm_giác,N,O
ấy,P,O
khiến,V,O
ai,P,O
đã,R,O
đến,V,O
một,M,O
lần,N,O
còn,V,O
mãi,R,O
nhớ,V,O
…,F,O
Ngôi,Nc,B-HCN
chùa,N,I-HCN
có,V,O
vị_trí,N,O
đẹp,A,O
lý_tưởng,N,O
",",F,O
gần,A,B-LOC
sông,N,I-LOC
",",F,O
gần,A,B-LOC
núi,N,I-LOC
cần,V,B-HCP
sớm,N,I-HCP
được,V,I-HCP
tôn_tạo,V,I-HCP
để,E,O
phục_vụ,V,O
nhu_cầu,N,O
tín_ngưỡng,N,O
của,E,O
nhân_dân,N,O
địa_phương,N,O
và,C,O
du_khách,N,O
thập_phương,N,O
;,F,O
là,C,O
điểm,N,O
tham_quan,V,O
",",F,O
hành_hương,V,O
đầy,A,O
ý_nghĩa,N,O
cho,E,O
du_khách,N,O
.,F,O
Một_vài,L,O
hình_ảnh,N,O
thường_ngày,V,O
khác,A,O
tại,E,B-HCD
chùa,N,I-HCN
.,F,O
Quang_Vinh,Np,O
